N	2gram	Tiupa_Narr	PoTuStor
1	может быть	25	17
2	и в	19	16
3	в этом	17	9
4	и только	2	9
5	прежде всего	4	9
6	и с	4	8
7	точки зрения	10	8
8	совершенно не	2	8
9	не может	10	8
10	и его	5	8
11	сказать что	4	7
12	не только	32	7
13	с его	6	7
14	с точки	2	6
15	самом деле	2	6
16	для него	2	6
17	при этом	9	6
18	ни в	3	5
19	все эти	2	5
20	как бы	4	5
21	нуждается в	5	5
22	еще не	7	5
23	отношение к	2	5
24	как мы	3	4
25	и на	3	4
26	его в	2	4
27	в его	9	4
28	и ее	2	4
29	но и	23	4
30	и не	20	4
31	и все	2	4
32	но в	6	4
33	в этой	5	4
34	с ее	3	4
35	только в	4	4
36	в нем	4	4
37	хотя бы	4	4
38	можно сказать	5	4
39	так и	9	4
40	отнюдь не	5	4
41	и даже	3	4
42	матери и	4	3
43	что в	3	3
44	даже не	3	3
45	жизни и	3	3
46	и как	5	3
47	и потому	2	3
48	а в	11	3
49	в том	18	3
50	между ними	2	3
51	в области	2	3
52	те же	4	3
53	и есть	2	3
54	в конечном	3	3
55	отношения к	2	3
56	как это	6	3
57	то что	11	3
58	мира и	2	3
59	могут быть	3	3
60	к себе	5	3
61	и др	2	3
62	том что	14	3
63	в основе	5	3
64	один из	3	2
65	никогда не	3	2
66	что мы	2	2
67	же как	3	2
68	и для	2	2
69	что не	4	2
70	в область	2	2
71	все то	2	2
72	что это	3	2
73	не менее	3	2
74	на первый	2	2
75	не существует	3	2
76	было бы	4	2
77	сводится к	3	2
78	о том	6	2
79	то же	4	2
80	они не	2	2
81	как и	7	2
82	что он	6	2
83	так же	2	2
84	говорить о	2	2
85	себя и	2	2
86	ни было	3	2
87	из этих	3	2
88	но как	2	2
89	не на	2	2
90	в частности	14	2
91	он не	3	2
92	у него	4	2
93	во всей	2	2
94	при всей	4	2
95	оно не	2	2
96	не есть	3	2
97	всех его	2	2
98	что на	2	2
99	конечном счете	2	2
100	нет и	2	2
101	в пределах	2	2
102	и т.п	8	2
103	быть может	2	2
104	есть в	2	2
105	не будет	3	2
106	на протяжении	6	2
107	между собой	2	2
