N	3gram	Bakhtin_Pr	Problema
1	тем не менее	3	56
2	в том что	3	37
3	то же самое	2	30
4	в данном случае	4	28
5	той или иной	2	26
6	с точки зрения	6	25
7	с другой стороны	4	25
8	в этом смысле	3	19
9	для того чтобы	2	17
10	в то же	3	17
11	на самом деле	3	13
12	можно было бы	3	13
13	того или иного	2	13
14	не может быть	11	12
15	можно сказать что	2	12
16	и в частности	2	12
17	бы то ни	3	11
18	с одной стороны	3	11
19	не только в	2	10
20	и тем самым	2	10
21	может быть только	3	8
22	но и в	2	7
23	то или иное	2	7
24	но отнюдь не	7	6
25	так и в	2	6
26	то ни было	2	6
27	на первый план	2	6
28	в самом деле	3	6
29	в этом отношении	2	6
30	сказать и о	2	5
31	и прежде всего	5	5
32	в чем не	2	5
33	ни в чем	2	5
34	в какой мере	2	5
35	в коем случае	2	4
36	то есть чисто	2	4
37	ни в коем	2	4
38	мы имеем дело	2	4
39	мы здесь не	2	3
40	и в то	2	3
41	далеко не всегда	3	3
42	как мы увидим	3	3
43	в отличие от	5	3
44	не во всех	2	2
45	по отношению к	19	2
46	в его чисто	2	2
47	в основе своей	3	2
48	только там где	2	2
49	мы можем говорить	2	2
50	в том же	2	2
51	и не может	2	2
52	не совпадает с	2	2
53	никогда не может	2	2
54	в других искусствах	2	2
55	и т п	13	2
56	между тем как	5	2
57	как и для	2	2
58	художественное произведение в	3	2
