N	3gram	Savitsky_E	Freidism
1	с точки зрения	16	15
2	не может быть	2	14
3	в том что	6	9
4	во всяком случае	3	8
5	как мы видели	2	8
6	и прежде всего	3	7
7	в то же	15	6
8	то же время	14	6
9	в большинстве случаев	2	5
10	можно сказать что	3	5
11	мы можем сказать	2	5
12	в этом отношении	3	4
13	в данном случае	2	4
14	в свою очередь	2	4
15	бы то ни	4	3
16	но в то	2	3
17	прежде всего к	2	3
18	так и в	2	3
19	для того чтобы	5	3
20	к тому чтобы	2	3
21	и притом в	2	3
22	то ни было	4	2
23	в применении к	3	2
24	хотя бы и	3	2
25	заключается в том	2	2
26	с одной стороны	8	2
27	в этом смысле	3	2
