N	3gram	Vinokur_Vv	DiskursI
1	в том что	15	28
2	в отличие от	4	26
3	по отношению к	4	17
4	с одной стороны	4	14
5	не может быть	10	12
6	в данном случае	4	12
7	той или иной	3	10
8	то же время	6	10
9	о том что	13	9
10	в то же	6	8
11	в этом отношении	4	8
12	состоит в том	2	8
13	по крайней мере	4	6
14	в соответствии с	2	6
15	с точки зрения	4	6
16	то же самое	3	5
17	одной стороны и	3	5
18	что же касается	2	5
19	подобно тому как	2	5
20	не только в	4	5
21	с другой стороны	5	5
22	дело в том	3	5
23	в свою очередь	2	5
24	в свое время	3	4
25	тем не менее	9	4
26	одного и того	2	4
27	не в том	2	4
28	можно сказать что	3	4
29	в этом случае	6	4
30	и того же	2	4
31	одно и то	2	3
32	можно говорить о	3	3
33	и то же	2	3
34	значении этого термина	2	3
35	также и в	3	3
36	во всяком случае	5	3
37	как будто бы	2	3
38	не говоря уже	2	3
39	на том что	2	2
40	и той же	2	2
41	как мы видели	3	2
42	большей или меньшей	3	2
43	а также и	2	2
44	дело не с	2	2
45	это еще не	2	2
46	тем или иным	2	2
47	в той мере	6	2
48	мере в какой	6	2
49	и т.д в	2	2
50	и в том	4	2
51	одной и той	2	2
52	и в особенности	4	2
53	только в том	2	2
54	той мере в	6	2
55	как уже было	2	2
56	обратим внимание на	2	2
57	уже было сказано	2	2
58	обратить внимание на	2	2
59	то что могло	2	2
60	и то что	3	2
61	в том чтобы	5	2
