N	2gram	Losev_Prob	Literetu
1	а не	28	50
2	и не	56	47
3	не только	33	46
4	и в	62	44
5	может быть	39	43
6	при этом	9	41
7	но и	20	41
8	в том	35	39
9	в этом	25	38
10	том что	25	32
11	в частности	4	30
12	такого рода	14	30
13	то что	42	29
14	в качестве	10	27
15	то же	23	26
16	как и	15	23
17	в то	18	23
18	в стихотворении	2	23
19	не в	21	22
20	так и	16	22
21	того что	10	22
22	себя в	4	22
23	не может	14	22
24	в себе	23	20
25	прежде всего	13	19
26	как бы	11	18
27	то есть	63	17
28	точки зрения	14	17
29	в его	10	17
30	с другой	14	17
31	в этой	10	16
32	тем самым	9	15
33	не менее	24	15
34	в целом	9	15
35	только в	33	15
36	что он	16	14
37	однако в	3	14
38	и даже	21	14
39	в своем	7	13
40	как это	4	13
41	с одной	3	13
42	но не	6	13
43	уже не	12	13
44	и его	12	13
45	в данном	14	12
46	в своей	8	12
47	а также	6	12
48	еще не	12	12
49	одним из	2	12
50	о том	14	12
51	одной стороны	2	12
52	никогда не	7	11
53	данном случае	12	11
54	это не	10	11
55	в другом	4	11
56	отличие от	3	11
57	и сам	6	11
58	не столько	2	11
59	как в	10	11
60	в отличие	2	11
61	а в	9	11
62	или иначе	2	11
63	в основе	3	11
64	вместе с	3	11
65	даже в	2	10
66	для себя	6	10
67	в области	2	10
68	что в	11	10
69	так или	2	10
70	отнюдь не	16	10
71	в ее	6	10
72	из них	4	10
73	и на	4	10
74	потому что	40	10
75	жизни и	7	10
76	к тому	4	9
77	же в	6	9
78	связи с	10	9
79	в начале	3	9
80	с этой	3	9
81	искусства и	3	9
82	вплоть до	3	8
83	в конце	7	8
84	едва ли	8	8
85	все же	10	8
86	в искусстве	4	8
87	по существу	2	8
88	xix века	2	8
89	но в	17	8
90	того же	2	8
91	уже в	5	8
92	не говоря	2	8
93	что не	4	8
94	для него	4	8
95	и как	4	8
96	слова и	3	8
97	а именно	12	8
98	тем что	8	8
99	в своих	2	8
100	той же	2	8
101	с точки	9	8
102	о себе	2	8
103	как раз	11	8
104	из того	3	7
105	для всех	3	7
106	в их	2	7
107	друг друга	5	7
108	и тем	16	7
109	на свою	2	7
110	в художественном	5	7
111	для этого	9	7
112	другой стороны	11	7
113	и для	5	7
114	перестает быть	3	7
115	у нас	17	7
116	именно в	4	7
117	в самом	4	7
118	и с	11	7
119	в одном	4	7
120	он и	3	7
121	тому как	2	7
122	в нем	13	7
123	он не	10	7
124	еще и	10	6
125	его в	4	6
126	в виду	20	6
127	казалось бы	3	6
128	самом деле	6	6
129	и он	3	6
130	было бы	14	6
131	не было	6	6
132	и то	17	6
133	то в	4	6
134	то и	9	6
135	во всех	4	6
136	с ее	5	6
137	и наконец	2	6
138	как о	6	6
139	подобно тому	3	6
140	произведения искусства	2	6
141	в ней	12	6
142	и только	10	6
143	как на	2	6
144	как будто	11	6
145	в слове	4	6
146	тем же	2	6
147	или иной	20	5
148	с собой	6	5
149	в литературе	3	5
150	так как	14	5
151	этот путь	2	5
152	от себя	2	5
153	как он	2	5
154	так что	21	5
155	и за	2	5
156	он сам	7	5
157	к этой	2	5
158	несмотря на	4	5
159	этой точки	2	5
160	что и	11	5
161	в связи	9	5
162	эти слова	2	5
163	самого себя	4	5
164	хотя бы	6	5
165	мы не	15	5
166	на свете	2	5
167	тем не	23	5
168	ни было	5	5
169	но уже	4	5
170	в нашем	13	5
171	свое собственное	2	5
172	и если	11	5
173	и к	9	5
174	не к	2	5
175	но с	2	5
176	однако не	4	5
177	входит в	3	4
178	себе и	4	4
179	для нас	23	4
180	не является	19	4
181	и прежде	3	4
182	все время	2	4
183	только на	6	4
184	с тем	9	4
185	общего с	3	4
186	и все	13	4
187	на том	3	4
188	могли бы	6	4
189	могут быть	2	4
190	в них	6	4
191	более не	2	4
192	во всей	3	4
193	в природе	2	4
194	хотя и	9	4
195	как мы	12	4
196	во всяком	14	4
197	бы то	5	4
198	самим собою	2	4
199	нет ничего	6	4
200	то это	13	4
201	но это	13	4
202	за пределы	6	4
203	к этому	2	4
204	бы не	2	4
205	от самого	2	4
206	художественное произведение	9	4
207	для того	5	4
208	совершенно не	7	4
209	что его	3	4
210	ни к	3	4
211	в пределах	3	4
212	то он	3	4
213	все они	5	4
214	можно сказать	10	4
215	на то	6	4
216	жизни не	2	4
217	не вполне	3	4
218	жизни а	4	4
219	свидетельствует о	2	4
220	вовсе не	62	4
221	из этого	5	4
222	и что	9	4
223	то ни	7	4
224	таким образом	13	4
225	и есть	9	4
226	отношения к	3	4
227	о которой	2	4
228	оказывается не	2	4
229	и нет	2	4
230	на самом	13	3
231	вопрос о	2	3
232	не знали	2	3
233	ничего не	4	3
234	имеется в	7	3
235	и потому	13	3
236	от всего	3	3
237	для его	4	3
