N	2gram	Tiupa_Disk	NovoeSre
1	а не	35	17
2	и в	27	16
3	не может	17	16
4	нового времени	2	12
5	и не	25	11
6	и есть	2	10
7	в эпоху	5	9
8	что в	8	9
9	жизни и	2	8
10	как не	3	8
11	в том	29	8
12	он не	4	8
13	может быть	29	7
14	как и	27	7
15	в этом	29	7
16	никогда не	3	6
17	лишь в	4	6
18	ни в	7	6
19	не в	8	6
20	не знает	4	6
21	но это	3	6
22	с его	9	6
23	не только	36	5
24	в жизни	2	5
25	все это	2	5
26	в нем	16	5
27	с ее	3	5
28	в ней	2	5
29	истории в	2	5
30	и к	4	5
31	должно быть	2	4
32	по своему	3	4
33	в них	6	4
34	прежде всего	17	4
35	не менее	6	4
36	не было	9	4
37	и потому	3	4
38	эпохи и	2	4
39	то что	10	4
40	о том	12	4
41	это не	5	4
42	потому что	7	4
43	и все	5	4
44	наше время	4	4
45	в мире	9	3
46	тому как	5	3
47	но и	22	3
48	подобно тому	4	3
49	в наше	4	3
50	с другой	14	3
51	в ее	4	3
52	к тому	6	3
53	к лицу	2	3
54	лицом к	2	3
55	жизни в	4	3
56	в своей	10	3
57	еще не	20	3
58	к ним	3	3
59	жизни не	2	3
60	в истории	5	3
61	должна быть	2	3
62	как в	16	3
63	не есть	3	3
64	за пределы	2	3
65	сказать что	4	3
66	во всех	6	3
67	вопрос о	2	3
68	это было	2	3
69	стремится к	3	3
70	в основе	11	3
71	зависит от	2	2
72	в себе	22	2
73	и должно	2	2
74	как будто	3	2
75	и с	2	2
76	том чтобы	2	2
77	себя в	8	2
78	но не	17	2
79	и т.п	18	2
80	и от	2	2
81	нашего времени	2	2
82	роль в	10	2
83	и это	3	2
84	хотя бы	3	2
85	в новом	2	2
86	а в	5	2
87	но в	15	2
88	том что	27	2
89	не к	3	2
90	можно назвать	2	2
91	и на	8	2
92	с этим	3	2
93	есть в	3	2
94	и что	2	2
95	все эти	2	2
96	мы не	2	2
97	на протяжении	2	2
98	и было	3	2
99	не имеют	2	2
100	это и	2	2
101	переходе от	2	2
102	времени в	3	2
103	мира и	3	2
104	времени и	5	2
105	уже не	7	2
106	с их	3	2
107	как это	2	2
108	другой стороны	5	2
109	так и	14	2
110	ни к	11	2
111	такого рода	11	2
112	могут быть	5	2
113	жизни как	2	2
114	но для	2	2
115	одной стороны	12	2
116	обращение к	2	2
117	но она	3	2
118	в то	8	2
119	к содержанию	3	2
120	хотя и	3	2
121	мысли и	2	2
122	должно было	2	2
123	с одной	12	2
124	место в	2	2
125	и даже	4	2
126	вместе с	3	2
