N	3gram	Voloshinov	VLabPisa
1	в этом отношении	4	14
2	не может быть	14	8
3	по отношению к	11	7
4	в конечном счете	3	5
5	в то же	6	5
6	в том что	9	5
7	то же время	6	5
8	в зависимости от	4	5
9	хотя бы и	2	5
10	к тому что	2	4
11	можно сказать что	5	4
12	равно как и	2	4
13	не могут быть	4	4
14	мы видели что	3	3
15	для того чтобы	3	3
16	о том что	3	3
17	это и есть	2	3
18	в конце концов	2	2
19	с одной стороны	2	2
20	во всяком случае	8	2
21	только то что	3	2
22	в чем же	2	2
23	и не может	3	2
24	мы знаем что	6	2
25	до сих пор	3	2
26	что все эти	3	2
27	таким образом в	2	2
28	в другом месте	2	2
