N	2gram	Voloshinov	Sovremen
1	не может	13	17
2	точки зрения	11	12
3	может быть	13	12
4	таким образом	8	11
5	мы не	9	9
6	в каждом	4	8
7	и в	42	7
8	в этом	10	7
9	и не	14	6
10	ничего не	8	6
11	как и	12	6
12	только одна	2	6
13	мы можем	7	6
14	что же	8	5
15	с точки	5	5
16	все эти	3	5
17	и наконец	5	5
18	прежде всего	22	5
19	нет и	3	4
20	вопрос о	2	4
21	мы видели	5	4
22	зависимости от	7	4
23	это не	3	4
24	не только	28	4
25	в том	3	4
26	в зависимости	7	4
27	мы должны	10	4
28	как бы	30	4
29	их в	3	4
30	так как	8	4
31	точку зрения	6	4
32	если мы	4	4
33	в дальнейшем	2	4
34	в целом	4	4
35	жизни и	3	4
36	вместе с	5	4
37	а в	5	4
38	из них	3	4
39	с помощью	6	4
40	для нас	3	3
41	и т.д	21	3
42	видели что	3	3
43	когда мы	6	3
44	и потому	2	3
45	но в	5	3
46	с самого	4	3
47	при этом	9	3
48	из двух	2	3
49	но мы	2	3
50	не в	6	3
51	все же	9	3
52	было бы	7	3
53	в области	6	3
54	уже в	5	3
55	в себе	10	3
56	еще не	3	3
57	у нас	4	3
58	и все	4	3
59	все это	4	3
60	в нем	6	3
61	в наших	2	3
62	между собой	2	3
63	а не	7	3
64	и к	4	3
65	в этой	6	3
66	то же	16	3
67	мы называем	4	3
68	в одном	4	3
69	самого начала	4	3
70	отнюдь не	10	3
71	в конце	6	3
72	ясно что	2	3
73	но все	5	2
74	на его	6	2
75	на этот	2	2
76	не знаем	4	2
77	же самое	5	2
78	роль в	3	2
79	а на	2	2
80	той же	7	2
81	мы видим	4	2
82	в его	6	2
83	к чему	2	2
84	он должен	3	2
85	с этим	2	2
86	и пр	4	2
87	что такое	4	2
88	свою очередь	4	2
89	из этих	2	2
90	тот или	2	2
91	так сказать	4	2
92	в самом	5	2
93	еще более	2	2
94	времени и	2	2
95	совершенно не	3	2
96	в которой	7	2
97	самом деле	5	2
98	в живом	5	2
99	еще мало	2	2
100	уже не	4	2
101	в свою	6	2
102	в нашем	5	2
103	теперь же	2	2
104	жизни мы	2	2
105	же мы	5	2
106	тот же	2	2
107	как мы	10	2
108	что это	4	2
109	или иной	6	2
110	из которых	3	2
111	и даже	3	2
112	тем же	4	2
113	развития в	2	2
