N	2gram	Vinokur_Ku	PoTuStor
1	может быть	25	17
2	и в	44	16
3	и пр	23	12
4	мы можем	2	9
5	в этом	31	9
6	и только	2	9
7	таким образом	17	9
8	прежде всего	14	9
9	и с	11	8
10	точки зрения	25	8
11	совершенно не	4	8
12	не может	13	8
13	и его	8	8
14	сказать что	5	7
15	не только	29	7
16	с его	4	7
17	и это	3	6
18	с точки	16	6
19	конечно не	3	6
20	самом деле	17	6
21	для него	2	6
22	при этом	6	6
23	ни в	3	5
24	все эти	17	5
25	что такое	8	5
26	как бы	11	5
27	только для	3	5
28	нуждается в	5	5
29	еще не	10	5
30	в чем	2	5
31	отношение к	2	5
32	как мы	2	4
33	и на	8	4
34	все это	10	4
35	на самом	3	4
36	в его	16	4
37	но и	13	4
38	и не	23	4
39	и все	4	4
40	но в	11	4
41	в этой	8	4
42	так как	16	4
43	и их	2	4
44	и может	3	4
45	только в	15	4
46	в нем	7	4
47	а потому	6	4
48	хотя бы	19	4
49	с ними	6	4
50	можно сказать	6	4
51	так и	10	4
52	отнюдь не	5	4
53	и даже	5	4
54	что в	25	3
55	и как	3	3
56	и потому	6	3
57	на этой	4	3
58	тех же	2	3
59	а в	7	3
60	в том	47	3
61	никаких оснований	2	3
62	по сравнению	3	3
63	и вот	4	3
64	в общем	4	3
65	между ними	2	3
66	в области	15	3
67	до сих	5	3
68	крайней мере	11	3
69	и есть	3	3
70	но оно	2	3
71	большинстве случаев	3	3
72	в большинстве	3	3
73	в этих	5	3
74	пр и	2	3
75	в конечном	3	3
76	отношения к	2	3
77	с их	3	3
78	как это	6	3
79	то что	14	3
80	только как	3	3
81	если б	2	3
82	по крайней	11	3
83	могут быть	5	3
84	сих пор	5	3
85	на язык	4	3
86	всяком случае	8	3
87	вместе с	8	3
88	учение о	4	3
89	в одном	4	3
90	этом смысле	8	3
91	к себе	4	3
92	на этом	4	3
93	мы знаем	3	3
94	во всяком	8	3
95	и значение	2	3
96	том что	30	3
97	один из	8	2
98	никогда не	2	2
99	для нас	6	2
100	что мы	6	2
101	может иметь	3	2
102	в них	10	2
103	с историей	2	2
104	в каком	6	2
105	к ним	2	2
106	в одно	2	2
107	для этого	6	2
108	же как	3	2
109	и для	3	2
110	что не	10	2
111	в область	2	2
112	что это	11	2
113	аналогии с	3	2
114	и по	4	2
115	вообще не	2	2
116	а на	3	2
117	что и	5	2
118	не менее	12	2
119	ее в	2	2
120	и мы	2	2
121	было бы	28	2
122	не могут	5	2
123	как не	4	2
124	сводится к	3	2
125	о том	10	2
126	то же	12	2
127	они не	4	2
128	с этим	6	2
129	как и	3	2
130	что он	7	2
131	так же	8	2
132	говорить о	5	2
133	того же	6	2
134	но ведь	3	2
135	в науке	4	2
136	в своей	4	2
137	из этих	5	2
138	но как	2	2
139	в самом	20	2
140	находится в	2	2
141	знаем что	3	2
142	с этой	4	2
143	в свое	4	2
144	не на	4	2
145	в частности	6	2
146	что можно	4	2
147	связанные с	3	2
148	он не	4	2
149	у него	3	2
150	ту же	6	2
151	за счет	2	2
152	между собою	3	2
153	если мы	5	2
154	как с	2	2
155	и о	3	2
156	оно не	5	2
157	не есть	4	2
158	к этому	4	2
159	что на	2	2
160	конечном счете	2	2
161	только и	3	2
162	меньше всего	2	2
163	с помощью	12	2
164	связанных с	2	2
165	не знает	4	2
166	в пределах	8	2
167	что оно	6	2
168	есть в	6	2
169	только то	2	2
170	на основе	2	2
171	с ним	5	2
172	но это	4	2
173	социального и	2	2
174	но зато	2	2
