N	2gram	Bakhtin_Fr	slovoVRo
1	и в	68	92
2	в романе	24	89
3	то есть	31	64
4	в нем	12	59
5	может быть	10	59
6	и его	26	59
7	и не	25	51
8	не только	21	44
9	не может	5	41
10	но и	17	39
11	до конца	10	37
12	в этом	28	36
13	а не	6	34
14	во всех	8	32
15	так и	8	30
16	точки зрения	8	30
17	и др	9	29
18	в его	21	27
19	слова в	3	26
20	все это	6	25
21	слово в	3	24
22	слова и	3	24
23	как бы	7	24
24	то же	14	23
25	и на	16	22
26	не в	2	21
27	в сущности	15	21
28	как в	4	21
29	вовсе не	18	21
30	в то	14	20
31	прежде всего	23	19
32	как мы	18	19
33	или иной	2	18
34	как и	17	18
35	язык и	2	18
36	себя в	2	18
37	же время	13	18
38	с ним	3	18
39	все же	6	17
40	все эти	16	17
41	в истории	5	17
42	в основе	7	17
43	и даже	7	17
44	в большинстве	3	17
45	таким образом	22	17
46	отличие от	3	16
47	при этом	5	16
48	в них	19	16
49	но в	20	16
50	там где	6	15
51	той или	2	15
52	и с	15	15
53	в той	7	15
54	с точки	4	15
55	в отличие	3	14
56	узком смысле	2	14
57	в узком	3	14
58	так сказать	7	14
59	только в	9	14
60	это не	5	13
61	и следовательно	3	13
62	рядом с	5	13
63	с его	6	13
64	в особенности	6	13
65	и для	6	13
66	с другой	8	13
67	в слове	2	13
68	никогда не	2	12
69	в отношении	3	12
70	и потому	6	12
71	отношение к	11	12
72	а в	3	12
73	или в	3	12
74	во всяком	2	12
75	и наконец	5	12
76	еще не	3	12
77	и к	4	12
78	в плане	3	11
79	один из	9	11
80	большинстве случаев	3	11
81	на его	4	11
82	с ними	4	11
83	одной стороны	4	11
84	в этих	8	11
85	с одной	5	11
86	для него	7	11
87	все они	5	10
88	в своем	11	10
89	и их	5	10
90	в том	12	10
91	и все	16	10
92	в себе	5	10
93	всех этих	5	10
94	лишь в	3	10
95	в языке	2	10
96	далеко не	3	10
97	уже не	2	10
98	его в	7	9
99	и от	4	9
100	одним из	2	9
101	и других	7	9
102	в основном	7	9
103	к нему	4	9
104	здесь в	6	9
105	в их	6	9
106	в своей	11	9
107	сказать что	3	9
108	одна из	3	9
109	так как	7	9
110	поэтому и	4	9
111	но не	4	9
112	романа в	3	9
113	конечно не	4	9
114	он не	11	9
115	быть и	2	9
116	в одной	3	8
117	для понимания	5	8
118	в ней	6	8
119	не на	2	8
120	все время	3	8
121	с этим	2	8
122	в значительной	3	8
123	в самом	6	8
124	входит в	2	8
125	всяком случае	2	8
126	на мир	2	8
127	перед нами	4	7
128	том что	6	7
129	друг друга	2	7
130	но именно	3	7
131	по преимуществу	3	7
132	о нем	3	7
133	того же	4	7
134	но здесь	3	7
135	в целом	3	7
136	связи с	8	7
137	например в	2	7
138	у него	14	7
139	значительной степени	2	7
140	здесь не	5	7
141	но все	5	7
142	также и	6	7
143	связанные с	4	7
144	еще более	5	7
145	жизни и	6	7
146	не было	7	7
147	в таком	2	7
148	кроме того	5	7
149	же и	4	7
150	во всем	4	7
151	мы уже	19	7
152	даже в	4	6
153	ничего не	4	6
154	которые в	2	6
155	наконец в	3	6
156	роль в	7	6
157	на этом	3	6
158	а также	6	6
159	xix века	5	6
160	одновременно и	3	6
161	что в	14	6
162	ни в	6	6
163	дело с	2	6
164	большей или	3	6
165	или меньшей	3	6
166	в качестве	2	6
167	мы сказали	2	6
168	можно сказать	2	6
169	другой стороны	5	6
170	и здесь	5	6
171	стороны и	2	6
172	хотя бы	2	6
173	конечно и	3	6
174	связан с	6	6
175	он в	2	6
176	именно в	5	6
177	в свою	3	6
178	в одном	7	6
179	со всею	5	6
180	эпохи и	3	6
181	слов и	4	6
182	мира и	4	6
183	между тем	3	6
184	только на	4	5
185	меньшей степени	2	5
186	характерно что	2	5
187	почти вовсе	5	5
188	не менее	2	5
189	но оно	2	5
190	отношению к	2	5
191	остается в	2	5
192	и форм	2	5
193	а затем	2	5
194	мы не	3	5
195	и по	4	5
196	в других	4	5
197	хотя и	2	5
198	особенно в	6	5
199	для этого	3	5
200	в данном	5	5
201	и при	2	5
202	по отношению	3	5
203	с их	5	5
204	этом отношении	4	5
205	для того	5	5
206	и более	2	5
207	на протяжении	7	5
208	они не	4	5
209	в дальнейшем	4	5
210	о том	5	5
211	той же	9	5
212	уже в	4	5
213	и сам	5	5
214	как его	2	5
215	но он	9	5
216	с помощью	5	5
217	вместе с	4	5
218	следовательно и	2	4
219	в различных	2	4
220	так же	3	4
221	его на	2	4
222	но как	5	4
223	образом в	3	4
224	и ее	3	4
225	в другом	3	4
226	в понимании	2	4
227	что и	3	4
228	в виду	8	4
229	что он	7	4
230	том же	4	4
231	свою очередь	2	4
232	в виде	2	4
233	влияние на	2	4
234	в частности	4	4
235	того что	3	4
236	мы видели	6	4
237	до сих	6	4
238	сочетается с	3	4
239	но конечно	5	4
240	речи и	2	4
241	все его	2	4
242	те же	6	4
243	даже и	3	4
244	так в	4	4
245	в чем	3	4
246	точном смысле	2	4
247	не были	3	4
248	того чтобы	6	4
249	и во	6	4
250	всех своих	2	4
251	одной из	3	4
252	характер и	3	4
253	с этими	2	4
254	но эти	4	4
255	но это	5	4
256	всех сторон	2	4
257	дело не	3	4
258	в которой	6	4
259	и слово	2	4
260	и как	5	4
261	и образ	2	4
262	если бы	3	4
263	в условиях	3	4
264	со всеми	5	4
265	и о	5	4
266	сих пор	6	4
267	в литературе	10	4
268	значение в	4	4
269	в другой	2	4
270	выражение в	2	4
271	из них	8	4
272	влияния на	2	4
273	уже сказали	2	4
274	из этого	3	4
275	с образом	2	4
276	отношения к	2	4
277	в себя	2	4
278	в большей	2	4
279	как раз	8	4
280	чем он	2	4
281	в системе	3	4
282	данном случае	3	3
283	нуждается в	4	3
284	его так	2	3
285	еще раз	2	3
286	материал и	2	3
287	в духе	11	3
288	включает в	2	3
289	не был	4	3
290	и стиль	2	3
291	такого рода	5	3
292	форм и	2	3
293	xviii века	6	3
294	в разных	3	3
295	на котором	2	3
296	они были	4	3
297	в свете	3	3
298	всем этим	3	3
299	на том	2	3
300	в более	4	3
301	у рабле	29	3
302	смысле слова	5	3
303	от языка	2	3
304	не была	2	3
305	отметить что	2	3
