N	3gram	Trubetskoy	DiskursI
1	в том что	16	28
2	по отношению к	11	17
3	с одной стороны	2	14
4	не может быть	4	12
5	в данном случае	3	12
6	то же время	2	10
7	о том что	4	9
8	в то же	2	8
9	как и в	2	7
10	с точки зрения	8	6
11	к тому же	5	6
12	что же касается	2	5
13	с другой стороны	4	5
14	и может быть	2	5
15	в свою очередь	2	5
16	тем не менее	4	4
17	а с другой	2	4
18	одного и того	3	4
19	в этом случае	4	4
20	и того же	3	4
21	в том случае	4	3
22	более или менее	8	3
23	во всяком случае	2	3
24	то ни было	3	2
25	бы то ни	3	2
26	он не может	2	2
27	том случае если	4	2
28	из того же	2	2
29	заключает в себе	2	2
30	и в том	2	2
31	в том и	2	2
32	только то что	2	2
33	все же не	3	2
34	как и все	2	2
35	и то что	3	2
