N	2gram	Voloshinov	Formalny
1	и в	16	95
2	и не	4	78
3	может быть	17	66
4	в этом	9	61
5	не может	8	57
6	и пр	12	53
7	таким образом	9	52
8	и его	8	51
9	так и	4	50
10	точки зрения	8	47
11	в нем	4	42
12	в его	4	42
13	прежде всего	9	41
14	с точки	6	40
15	как и	2	39
16	в самом	2	35
17	но и	4	33
18	то же	2	32
19	самом деле	6	32
20	не только	7	30
21	в пределах	2	28
22	в том	3	26
23	отнюдь не	4	26
24	то что	3	25
25	на самом	4	24
26	при этом	6	24
27	в своей	2	24
28	было бы	2	23
29	с помощью	2	23
30	и ее	4	22
31	как бы	5	21
32	что в	3	21
33	и с	8	21
34	не менее	2	20
35	между ними	3	20
36	как мы	4	20
37	не могут	2	19
38	все это	4	19
39	хотя бы	4	19
40	и все	4	18
41	все эти	5	18
42	с его	7	18
43	и их	4	18
44	только в	4	18
45	так же	2	16
46	во всяком	3	16
47	совершенно не	8	16
48	всяком случае	3	16
49	его в	4	15
50	но в	4	15
51	с другими	3	15
52	так как	4	15
53	во всех	3	15
54	и на	4	15
55	что он	2	14
56	только на	3	14
57	еще не	5	14
58	в жизни	2	14
59	в этой	4	14
60	если мы	2	14
61	и потому	3	14
62	жизни и	3	14
63	вместе с	3	14
64	а в	3	13
65	могут быть	3	13
66	что и	2	13
67	сводится к	2	13
68	ни в	5	13
69	как это	3	12
70	и для	2	12
71	оно не	2	12
72	никогда не	2	11
73	они не	2	11
74	в общем	3	11
75	в основе	3	11
76	в большинстве	3	11
77	для него	6	11
78	не есть	2	10
79	его целом	2	10
80	и др	3	10
81	мы не	2	10
82	с ее	4	10
83	и как	3	10
84	большинстве случаев	3	10
85	и теперь	3	10
86	конечно не	6	10
87	он не	2	10
88	совсем не	2	9
89	но это	2	9
90	и может	4	9
91	и даже	4	9
92	но ведь	2	9
93	ни было	2	9
94	говорить о	2	9
95	мы знаем	3	9
96	отношения к	3	9
97	между собой	2	8
98	до сих	3	8
99	в них	2	8
100	в области	3	8
101	же как	2	8
102	для этого	2	8
103	что это	2	8
104	с этим	2	8
105	сих пор	3	8
106	и к	6	8
107	на основе	2	8
108	том что	3	7
109	в систему	2	7
110	не на	2	7
111	войти в	2	7
112	сказать что	7	7
113	к этому	2	7
114	пр и	3	7
115	и наконец	4	7
116	и только	9	7
117	только и	2	7
118	за счет	2	7
119	и лишь	2	6
120	отношение к	5	6
121	на этом	3	6
122	и других	2	6
123	в частности	2	6
124	и это	6	6
125	в этих	3	6
126	те же	3	6
127	один из	2	6
128	ее в	2	6
129	из этих	2	6
130	за пределы	2	6
131	мы полагаем	3	6
132	нет и	2	6
133	о том	2	6
134	их в	3	6
135	полагаем что	3	6
136	с ним	2	6
137	учение о	3	6
138	не можем	2	5
139	что оно	2	5
140	в основном	3	5
141	мы уже	2	5
142	субъективного сознания	2	5
143	в него	5	5
144	что не	2	5
145	и по	2	5
146	даже не	3	5
147	можно сказать	4	5
148	на язык	3	5
149	по аналогии	2	5
150	мы можем	9	5
151	с этой	2	5
152	для нас	2	5
153	этом смысле	3	5
154	и притом	3	4
155	а на	2	4
156	к другим	2	4
157	никаких оснований	3	4
158	того же	2	4
159	не будет	2	4
160	аналогии с	2	4
161	самого начала	4	4
162	во всей	2	4
163	с самого	4	4
164	только как	3	4
165	тех же	3	4
166	только то	2	4
167	нам кажется	2	4
168	едва ли	3	4
169	и содержание	2	4
170	как не	2	4
171	и о	2	4
172	на протяжении	2	4
173	что такое	5	4
174	знаем что	2	4
175	и этим	2	4
176	и действительно	2	4
177	всех других	2	3
178	для всех	4	3
179	в каком	2	3
180	не нуждается	2	3
181	в науке	2	3
182	в развитии	2	3
183	со всеми	2	3
184	может иметь	2	3
185	это последнее	2	3
186	но как	2	3
187	и этот	2	3
188	что на	2	3
189	нуждается в	5	3
190	и через	2	3
191	мы видим	2	3
192	все остальные	2	3
193	кажется что	2	3
194	поэтому и	2	3
195	к следующему	2	3
196	на первый	2	3
197	в чем	5	3
198	вообще не	2	3
199	сознания и	2	3
200	в одном	3	3
201	можно назвать	2	3
202	ту же	2	3
203	с их	3	3
204	не имеющие	2	3
205	но оно	3	3
206	художественного творчества	4	3
207	почти совершенно	2	2
208	но отнюдь	2	2
209	связанных с	2	2
210	и исключительно	2	2
211	с историей	2	2
212	с нею	2	2
213	и вся	2	2
214	не знает	2	2
215	остается и	2	2
216	к ним	2	2
217	мира и	3	2
218	почти не	2	2
219	здесь же	2	2
220	с ними	4	2
221	находится в	2	2
222	на этих	2	2
223	все то	2	2
224	нет никаких	2	2
225	в душе	2	2
226	в этот	2	2
227	таким путем	2	2
228	организма и	2	2
229	и вот	3	2
230	и так	2	2
231	как с	2	2
232	характерно для	2	2
233	что мы	2	2
234	все что	4	2
235	и есть	3	2
236	является по	2	2
237	момент в	2	2
