N	2gram	Savitsky_P	Komedia
1	и в	14	77
2	и не	12	47
3	в том	9	44
4	том что	4	42
5	т е	3	33
6	но и	6	32
7	может быть	5	30
8	из них	2	29
9	в то	7	28
10	в этом	10	27
11	потому что	3	27
12	не только	17	25
13	что в	4	23
14	если бы	4	22
15	а в	4	21
16	то же	9	21
17	в его	2	20
18	со стороны	2	19
19	и т	3	17
20	в нем	3	17
21	же время	7	17
22	не менее	2	16
23	тот же	3	16
24	в своем	4	15
25	не в	5	15
26	точки зрения	3	15
27	между тем	3	15
28	прежде всего	3	15
29	было бы	6	15
30	iii в	2	14
31	все это	2	14
32	и с	2	14
33	столь же	3	14
34	то что	4	13
35	но в	9	13
36	в них	2	13
37	как раз	2	13
38	с другой	5	12
39	для того	3	12
40	в качестве	9	12
41	хотя и	3	12
42	в начале	2	12
43	не может	4	12
44	но не	3	12
45	в котором	4	12
46	наряду с	3	11
47	в частности	2	11
48	с тем	3	11
49	в отношении	10	10
50	г и	2	10
51	мы не	3	10
52	же в	4	10
53	с этим	2	10
54	тем более	2	10
55	с одной	3	10
56	как бы	4	10
57	более чем	2	10
58	одной стороны	3	9
59	а также	4	9
60	говорить о	2	9
61	только в	7	9
62	в ней	6	9
63	и других	2	8
64	да и	2	8
65	в которых	5	8
66	не было	2	8
67	во всех	2	8
68	в себе	3	7
69	и к	4	7
70	и о	5	7
71	и это	2	7
72	если в	2	7
73	хотя бы	8	7
74	и вот	2	7
75	отнюдь не	2	7
76	ii в	2	7
77	для нас	2	7
78	в силу	2	6
79	и тем	2	6
80	в области	11	6
81	том числе	2	6
82	могут быть	3	6
83	и как	3	6
84	еще более	2	6
85	главным образом	2	6
86	с точки	3	6
87	а не	2	6
88	и если	4	5
89	это не	3	5
90	вслед за	3	5
91	что из	2	5
92	и мы	2	5
93	и без	3	5
94	в ее	2	5
95	в мире	2	5
96	именно в	2	5
97	друг другу	2	5
98	не о	2	4
99	не столько	2	4
100	к началу	2	4
101	по сравнению	2	4
102	например в	2	4
103	одна из	2	4
104	стороны и	2	4
105	в пределах	8	4
106	в последние	2	4
107	что мы	3	4
108	и потому	4	3
109	на пути	4	3
110	в эту	2	3
111	для них	2	3
112	в виде	2	3
113	с ними	3	3
114	было в	2	3
115	и и	2	3
116	отношения к	2	3
117	по себе	4	3
118	и право	2	3
119	и есть	2	3
120	как на	2	3
121	не к	2	3
122	тем самым	3	2
123	помнить что	2	2
124	где в	2	2
125	никак не	2	2
126	е и	3	2
127	того что	2	2
128	теперь в	2	2
129	европейской культуры	4	2
130	в общем	2	2
131	т а	2	2
132	в которую	2	2
133	ей в	3	2
134	в с	4	2
135	образом на	2	2
136	между прочим	2	2
137	в порядке	3	2
138	я и	3	2
139	в тот	2	2
140	отношении к	5	2
141	в жизни	2	2
142	точек зрения	2	2
143	в смысле	6	2
144	сводится к	3	2
145	бы ни	2	2
146	одних и	2	2
