N	3gram	Trubetskoy	Dialekti
1	с точки зрения	8	46
2	в том что	16	25
3	не может быть	4	18
4	тем не менее	4	16
5	то же время	2	15
6	в то же	2	14
7	о том что	4	12
8	с другой стороны	4	12
9	на то что	7	11
10	в самом деле	5	10
11	только то что	2	8
12	в то время	2	8
13	в связи с	3	7
14	так или иначе	5	7
15	более или менее	8	6
16	для того чтобы	7	6
17	может быть и	4	6
18	во всяком случае	2	6
19	как и все	2	6
20	с одной стороны	2	6
21	на самом деле	7	5
22	в конце концов	4	5
23	ничего общего с	2	5
24	до сих пор	15	5
25	по сравнению с	5	5
26	так же как	3	4
27	в данном случае	3	4
28	и может быть	2	4
29	к тому же	5	4
30	то ясно что	4	4
31	не может не	3	4
32	бы то ни	3	3
33	он не может	2	3
34	несмотря на то	2	3
35	как и в	2	3
36	принять во внимание	2	3
37	но все же	2	3
38	но так как	2	2
39	том что все	2	2
40	друг к другу	2	2
41	друг с другом	9	2
42	мы сказали что	2	2
43	не более как	2	2
44	лишь тогда когда	2	2
45	никогда не будет	3	2
46	друг от друга	6	2
47	не в состоянии	3	2
48	нечего и говорить	3	2
49	и в том	2	2
50	в вопросе о	2	2
51	в свою очередь	2	2
52	и то что	3	2
