N	3gram	Bakhtin_Pr	Formalny
1	с точки зрения	21	40
2	не может быть	8	29
3	на самом деле	4	21
4	то же время	10	20
5	в то же	10	20
6	во всяком случае	3	16
7	по отношению к	17	12
8	в самом деле	5	11
9	в этом отношении	7	11
10	бы то ни	3	10
11	в его целом	8	10
12	в зависимости от	5	10
13	в большинстве случаев	3	9
14	и не может	3	9
15	с другой стороны	3	9
16	как мы видели	3	8
17	для того чтобы	3	8
18	до сих пор	3	8
19	сами по себе	4	7
20	то ни было	2	7
21	в высшей степени	2	7
22	и в этом	8	7
23	в данном случае	3	6
24	смысле этого слова	2	6
25	и в то	3	6
26	раз и навсегда	2	6
27	в том что	10	6
28	в этом смысле	12	5
29	в отличие от	3	5
30	как раз и	2	4
31	не входит в	3	4
32	видения и понимания	3	4
33	в конце концов	7	4
34	с самого начала	3	4
35	и до конца	4	4
36	в нем и	2	4
37	подобно тому как	5	4
38	в лучшем случае	3	4
39	в одной плоскости	7	4
40	сама по себе	3	4
41	в той же	3	4
42	дело идет о	4	4
43	но все же	3	4
44	в самом произведении	2	3
45	же время не	3	3
46	но в то	5	3
47	друг с другом	4	3
48	начала и до	2	3
49	только то что	2	3
50	потому что он	2	3
51	нам кажется что	2	3
52	с начала и	2	3
53	то же что	3	3
54	а не как	4	3
55	именно в том	2	3
56	мы имеем в	2	2
57	все то что	3	2
58	не совпадает с	2	2
59	нужно сказать что	2	2
60	и входит в	2	2
61	они никогда не	2	2
62	так же как	4	2
63	может быть только	3	2
64	там где она	2	2
65	этой точки зрения	3	2
66	выходит за пределы	2	2
67	не потому что	3	2
68	к нему и	2	2
69	между тем как	4	2
70	друг от друга	2	2
71	не только в	2	2
72	именно потому что	3	2
73	и не входит	2	2
74	хотя бы и	3	2
75	в своей книге	2	2
76	и в том	2	2
77	все эти определения	2	2
78	лишь одним из	2	2
79	в целом ряде	2	2
80	она не может	3	2
81	имеем в виду	2	2
