N	2gram	Vinokur_Ku	Poddanst
1	не только	29	17
2	и в	44	14
3	и не	23	12
4	в области	15	11
5	в этом	31	10
6	в отношении	2	10
7	но в	11	9
8	то же	12	9
9	в том	47	9
10	в качестве	12	9
11	хотя бы	19	8
12	в пределах	8	8
13	в то	4	7
14	только в	15	7
15	же время	4	7
16	но и	13	6
17	было бы	28	6
18	в смысле	2	6
19	в ней	6	6
20	xix века	5	6
21	с другой	14	5
22	не в	18	5
23	и о	3	5
24	в которых	8	5
25	и пр	23	5
26	может быть	25	5
27	по себе	10	4
28	что в	25	4
29	если бы	21	4
30	но также	6	4
31	и потому	6	4
32	тех кто	2	4
33	в своем	4	4
34	том что	30	4
35	а также	3	4
36	мы должны	2	4
37	в котором	4	4
38	как бы	11	4
39	и если	4	4
40	то что	14	4
41	не может	13	4
42	а в	7	4
43	же в	5	4
44	что мы	6	3
45	и как	3	3
46	с тем	5	3
47	но не	11	3
48	тем самым	5	3
49	это не	13	3
50	т е	54	3
51	с точки	16	3
52	сводится к	3	3
53	сами по	2	3
54	столь же	2	3
55	для того	23	3
56	в себе	4	3
57	точки зрения	25	3
58	потому что	40	3
59	одной стороны	2	3
60	в нем	7	3
61	между тем	11	3
62	и без	2	3
63	она есть	2	3
64	могут быть	5	3
65	прежде всего	14	3
66	и т	62	3
67	хотя и	7	3
68	тот же	7	3
69	с одной	3	3
70	с ними	6	3
71	заключается в	3	3
72	наряду с	2	3
73	для нас	6	2
74	должно быть	6	2
75	переход от	4	2
76	да и	5	2
77	в них	10	2
78	было в	2	2
79	если в	2	2
80	есть не	2	2
81	отношения к	2	2
82	которое в	2	2
83	для них	2	2
84	никак не	5	2
85	в русском	14	2
86	и мы	2	2
87	и это	3	2
88	есть нечто	2	2
89	слова но	3	2
90	в статье	3	2
91	и тем	7	2
92	в его	16	2
93	с этим	6	2
94	по сравнению	3	2
95	и вот	4	2
96	в общем	4	2
97	не менее	12	2
98	говорить о	5	2
99	время в	2	2
100	со стороны	8	2
101	в европе	2	2
102	именно в	7	2
103	тем более	2	2
104	все это	10	2
105	в частности	6	2
106	как на	4	2
107	а не	17	2
108	не было	6	2
109	и есть	3	2
110	например в	5	2
111	и с	11	2
112	может и	2	2
113	в ее	2	2
114	между прочим	4	2
115	как раз	10	2
116	есть в	6	2
117	в сфере	3	2
118	нужно было	3	2
119	того что	11	2
120	в силу	16	2
121	главным образом	3	2
122	так называемые	5	2
123	из них	4	2
124	не столько	2	2
125	отнюдь не	5	2
