N	2gram	Voloshinov	Russkaja
1	не может	40	22
2	и не	42	19
3	в том	13	17
4	в этом	27	17
5	с другом	2	14
6	и в	32	14
7	друг с	2	14
8	то что	12	13
9	точки зрения	48	11
10	то же	19	11
11	таким образом	29	11
12	в то	7	10
13	но и	17	10
14	же время	7	10
15	не только	18	9
16	том что	12	9
17	может быть	50	9
18	в себе	5	9
19	с точки	31	9
20	во всяком	8	9
21	того чтобы	9	8
22	как на	2	8
23	прежде всего	19	8
24	и с	4	7
25	к тому	8	7
26	о том	4	7
27	в данном	8	7
28	мы должны	4	7
29	и если	2	7
30	не будет	7	7
31	отнюдь не	14	7
32	ни к	3	7
33	самом деле	18	7
34	на самом	10	6
35	и для	15	6
36	для всех	2	6
37	в своих	2	6
38	и к	3	6
39	если бы	12	6
40	всяком случае	4	6
41	все это	4	6
42	для того	8	6
43	и при	3	6
44	что он	5	6
45	в своем	3	6
46	для него	18	6
47	вопрос о	6	5
48	или иной	8	5
49	а в	5	5
50	на то	4	5
51	было бы	8	5
52	хотя бы	8	5
53	из которых	2	5
54	между собой	3	5
55	и на	8	5
56	потому что	2	5
57	лишь при	2	5
58	при этом	13	5
59	в нем	17	5
60	жизни в	5	5
61	в своей	5	5
62	себя и	2	5
63	конечно не	9	5
64	только в	14	5
65	никогда не	7	5
66	и только	2	5
67	он не	5	5
68	сих пор	10	5
69	между тем	8	5
70	во всех	13	5
71	до сих	10	5
72	и то	4	4
73	что в	5	4
74	но не	2	4
75	его в	7	4
76	все же	13	4
77	себя в	2	4
78	не могут	4	4
79	к этой	2	4
80	не в	13	4
81	как и	19	4
82	более или	3	4
83	как бы	31	4
84	можно было	2	4
85	приводит к	3	4
86	так как	5	4
87	тогда когда	2	4
88	что же	5	4
89	и т.д	6	4
90	жизни и	4	4
91	в его	10	4
92	со стороны	2	4
93	в их	5	4
94	то ни	12	4
95	точку зрения	4	4
96	в этой	3	4
97	в совершенно	2	4
98	себе и	2	4
99	вместе с	2	4
100	от того	4	4
101	бы то	11	4
102	в корне	6	4
103	или менее	3	4
104	одной из	5	3
105	одна из	6	3
106	и этот	2	3
107	в большинстве	7	3
108	что все	3	3
109	что это	3	3
110	точке зрения	2	3
111	этом случае	3	3
112	в сознании	2	3
113	себя от	2	3
114	именно в	6	3
115	из этих	3	3
116	она может	3	3
117	должно быть	4	3
118	не есть	6	3
119	всех этих	2	3
120	и потому	7	3
121	что оно	3	3
122	в другом	5	3
123	в значительной	3	3
124	главным образом	2	3
125	в конце	5	3
126	из них	3	3
127	но если	2	3
128	в самом	14	3
129	и как	8	3
130	для них	2	3
131	что и	5	3
132	конце концов	3	3
133	или в	4	3
134	сводится к	5	3
135	лишь в	17	3
136	из этого	2	3
137	и во	2	3
138	говорить о	2	3
139	той или	5	3
140	связи с	22	3
141	еще не	7	3
142	того что	5	3
143	в качестве	4	3
144	друг друга	10	3
145	не было	6	3
146	и ни	2	3
147	мы говорили	3	3
148	тем что	3	3
149	а следовательно	2	3
150	то в	3	3
151	и от	6	2
152	чтобы понять	3	2
153	не так	2	2
154	не к	3	2
155	с этим	6	2
156	были бы	2	2
157	или иного	2	2
158	и те	7	2
159	следовательно и	4	2
160	большинстве случаев	7	2
161	ее в	2	2
162	для себя	4	2
163	тому что	6	2
164	к нему	5	2
165	на этой	6	2
166	она не	2	2
167	только с	3	2
168	но в	13	2
169	того или	2	2
170	в роде	2	2
171	политической жизни	2	2
172	ни в	7	2
173	которой она	2	2
174	в котором	6	2
175	что такое	3	2
176	остается в	2	2
177	так же	10	2
178	на почве	14	2
179	в начале	7	2
180	сама по	2	2
181	в настоящее	6	2
182	т.е к	2	2
183	даже и	2	2
184	в ней	5	2
185	уже не	2	2
186	этот вопрос	5	2
187	в результате	9	2
188	благодаря этому	2	2
189	по отношению	10	2
190	но для	4	2
191	настоящее время	6	2
192	отношении к	8	2
193	и даже	4	2
194	а не	15	2
195	и тот	4	2
196	исторической роли	2	2
197	по себе	5	2
198	от него	4	2
199	мы можем	6	2
200	целый ряд	3	2
201	место в	5	2
202	зависит от	2	2
203	– не	11	2
204	и тем	4	2
205	ведь в	2	2
206	и является	4	2
207	и вот	2	2
208	и что	2	2
209	другом и	2	2
210	все эти	8	2
211	совершенно не	6	2
212	и тогда	2	2
213	является не	9	2
214	не просто	2	2
215	в этих	2	2
216	только на	7	2
217	в частности	2	2
218	в таком	8	2
219	и есть	3	2
220	так что	2	2
221	во время	2	2
222	друг другу	2	2
223	именно на	3	2
224	должна быть	6	2
225	его и	3	2
226	отношения к	2	2
227	касается до	2	2
228	в области	3	2
229	если же	2	2
230	всем этим	2	2
231	быть и	9	2
232	у него	2	2
233	к данному	2	2
234	там и	3	2
235	мы уже	7	2
236	культуры и	2	2
237	и более	6	2
238	ясно что	6	2
