N	2gram	Nazirov_Tr	KulturaY
1	и в	18	84
2	в том	2	74
3	потому что	2	68
4	не только	8	60
5	в этом	9	57
6	и не	7	52
7	может быть	7	47
8	том что	4	44
9	что в	4	44
10	в самом	2	41
11	не в	2	30
12	прежде всего	4	30
13	в его	3	30
14	все же	5	29
15	все эти	3	28
16	уже не	2	26
17	не может	5	25
18	то что	4	25
19	вопрос о	2	24
20	еще не	4	24
21	так и	5	23
22	то же	5	23
23	но и	4	20
24	и что	4	20
25	что он	6	19
26	но в	6	19
27	тем что	2	19
28	о том	2	19
29	все это	4	18
30	к тому	2	18
31	с тем	2	18
32	как бы	7	18
33	и с	7	18
34	это не	5	17
35	как это	3	17
36	что это	5	17
37	ничего не	2	16
38	в русском	2	16
39	что и	2	16
40	один из	3	15
41	при этом	3	15
42	в данном	2	15
43	должно быть	3	15
44	я не	4	14
45	и на	7	14
46	не могут	2	13
47	что она	2	13
48	не случайно	2	13
49	в этой	4	13
50	и его	6	13
51	как в	3	12
52	в своем	3	11
53	в нем	4	11
54	и здесь	2	11
55	и то	2	11
56	уже в	3	11
57	он не	2	11
58	тем самым	3	10
59	в письмах	2	10
60	так же	4	10
61	в то	5	10
62	как и	5	10
63	бы и	2	10
64	вряд ли	2	10
65	несмотря на	5	10
66	в первом	2	10
67	не просто	2	10
68	в целом	4	9
69	что все	2	9
70	но это	4	9
71	не имеет	2	9
72	ни в	2	9
73	в частности	2	8
74	с его	2	8
75	своего рода	3	8
76	то и	2	8
77	и как	3	8
78	об этом	4	8
79	но все	2	8
80	что я	4	8
81	отнюдь не	3	8
82	в таком	2	8
83	до конца	2	7
84	столь же	2	7
85	с ним	3	7
86	в одном	2	7
87	перед нами	2	6
88	данном случае	2	6
89	в себе	4	6
90	отличие от	2	6
91	в отличие	2	6
92	в ее	2	6
93	что с	3	6
94	что эти	2	6
95	как будто	3	6
96	по поводу	2	6
97	же время	6	6
98	никогда не	2	5
99	как же	2	5
100	да здравствует	2	5
101	в конце	3	5
102	так что	2	5
103	не так	2	5
104	и он	3	5
105	и даже	4	5
106	у него	6	5
107	отношение к	2	5
108	только о	2	5
109	его в	2	4
110	о чем	3	4
111	еще раз	2	4
112	в виде	2	4
113	и все	4	4
114	к нему	3	4
115	это уже	2	4
116	мог бы	3	4
117	если б	2	4
118	точно так	2	4
119	в году	9	4
120	по словам	2	4
121	и это	2	4
122	что за	3	4
123	не мог	2	4
124	с первого	2	3
125	а что	2	3
126	в это	2	3
127	который в	2	3
128	а как	2	3
129	в романе	10	3
130	знает что	2	3
131	о его	2	3
132	под влиянием	2	3
133	и я	2	3
134	из самых	2	3
135	в дальнейшем	5	3
136	говорит что	2	3
137	из своих	2	3
138	как у	2	3
139	для него	3	3
140	раз и	2	3
141	к жизни	5	3
142	в ходе	2	2
143	в силах	2	2
144	она должна	2	2
145	в глаза	2	2
146	не был	2	2
147	вместе со	2	2
148	состоит из	2	2
149	в основном	3	2
150	одном из	2	2
151	ничем не	2	2
152	что этот	2	2
153	у достоевского	5	2
154	и до	2	2
155	было в	2	2
156	никто не	3	2
157	одна из	2	2
158	первого же	2	2
159	нет в	2	2
160	имеет в	2	2
161	только к	2	2
162	я все	2	2
163	в известной	2	2
164	но они	2	2
165	русской литературы	2	2
166	в глазах	2	2
167	он и	2	2
168	это был	2	2
