N	2gram	Vinokur_St	Komedia
1	и в	61	77
2	и не	23	47
3	в том	56	44
4	том что	49	42
5	т е	21	33
6	в г	10	33
7	о том	30	33
8	но и	28	32
9	может быть	16	30
10	таким образом	16	29
11	из них	11	29
12	в то	10	28
13	и его	11	28
14	в этом	37	27
15	потому что	13	27
16	что он	23	26
17	к тому	9	26
18	не только	36	25
19	тому же	2	25
20	вместе с	5	25
21	так как	7	24
22	как и	11	23
23	ни в	5	23
24	что в	41	23
25	что и	8	22
26	если бы	11	22
27	в самом	14	22
28	в конце	5	21
29	так и	15	21
30	а в	18	21
31	то же	7	21
32	ясно что	10	21
33	в его	19	20
34	по адресу	3	19
35	со стороны	7	19
36	во время	5	19
37	к этому	4	19
38	молодой человек	2	18
39	в этой	13	18
40	и т	36	17
41	тем что	6	17
42	еще не	4	17
43	и здесь	2	17
44	в нем	9	17
45	же время	5	17
46	все же	12	16
47	у него	3	16
48	не менее	8	16
49	при этом	4	16
50	тот же	2	16
51	и сам	4	16
52	сих пор	12	16
53	он не	11	16
54	до сих	13	16
55	его в	4	15
56	в своем	8	15
57	не в	15	15
58	точки зрения	16	15
59	между тем	7	15
60	прежде всего	11	15
61	на себя	3	15
62	было бы	21	15
63	в которой	13	15
64	и на	7	15
65	ли не	2	14
66	к нему	2	14
67	все это	13	14
68	об этом	9	14
69	и с	6	14
70	столь же	5	14
71	о чем	4	13
72	то что	27	13
73	так что	8	13
74	самом деле	14	13
75	но в	16	13
76	того же	4	13
77	в них	2	13
78	того чтобы	15	13
79	в двух	4	13
80	что она	5	13
81	в одном	7	13
82	как раз	10	13
83	так же	7	12
84	с другой	11	12
85	для того	15	12
86	т п	11	12
87	как это	6	12
88	уже в	3	12
89	несмотря на	4	12
90	не по	5	12
91	в качестве	7	12
92	в истории	5	12
93	хотя и	4	12
94	в начале	5	12
95	не может	10	12
96	как в	15	12
97	но не	5	12
98	в котором	11	12
99	по отношению	3	11
100	в их	3	11
101	в частности	6	11
102	с тем	3	11
103	речь идет	6	11
104	то время	2	11
105	и даже	8	11
106	на этот	5	11
107	и для	4	11
108	в отношении	11	10
109	в целом	5	10
110	отношение к	3	10
111	г и	3	10
112	ничего не	6	10
113	на основании	2	10
114	одной из	4	10
115	и все	3	10
116	в чем	4	10
117	что касается	4	10
118	на его	2	10
119	мы не	3	10
120	он был	5	10
121	с его	3	10
122	с этим	6	10
123	тем более	4	10
124	на него	3	10
125	с одной	3	10
126	как бы	8	10
127	еще в	3	10
128	более чем	3	10
129	и что	8	10
130	в тех	5	9
131	тому что	8	9
132	одной стороны	2	9
133	в образе	3	9
134	ответ на	4	9
135	и по	6	9
136	даже не	5	9
137	из его	3	9
138	в своей	12	9
139	того как	8	9
140	а также	4	9
141	больше чем	3	9
142	судя по	2	9
143	отношению к	3	9
144	время как	2	9
145	но все	9	9
146	вовсе не	24	9
147	говорить о	3	9
148	только в	11	9
149	в ней	9	9
150	первую очередь	2	8
151	возможно что	4	8
152	идет о	3	8
153	как он	3	8
154	то ни	2	8
155	такого рода	2	8
156	по своему	2	8
157	с самого	4	8
158	место в	2	8
159	не знает	2	8
160	то это	3	8
161	связи с	3	8
162	да и	4	8
163	по поводу	13	8
164	что ни	2	8
165	другой стороны	9	8
166	можно было	14	8
167	бы в	2	8
168	с этой	5	8
169	в течение	7	8
170	что у	8	8
171	что для	4	8
172	г в	10	8
173	в которых	5	8
174	меньше всего	3	8
175	если не	4	8
176	не было	7	8
177	во всех	8	8
178	вопрос о	9	7
179	в первую	2	7
180	до конца	4	7
181	в себе	3	7
182	в другом	5	7
183	и у	2	7
184	это время	3	7
185	и к	5	7
186	самого начала	3	7
187	себе в	2	7
188	и о	4	7
189	в руках	2	7
190	в других	2	7
191	так или	3	7
192	но если	5	7
193	обращает на	2	7
194	и это	4	7
195	и во	3	7
196	этот раз	2	7
197	что они	9	7
198	во всяком	8	7
199	бы то	2	7
200	если в	2	7
201	из этих	7	7
202	хотя бы	8	7
203	в результате	5	7
204	дело с	2	7
205	целый ряд	3	7
206	должен был	5	7
207	не является	5	7
208	в этих	5	7
209	не имеет	5	7
210	или иначе	3	7
211	к его	2	7
212	конце концов	2	7
213	для нас	7	7
214	всяком случае	8	7
215	даже в	5	6
216	за то	5	6
217	не хочет	2	6
218	в виду	6	6
219	и тем	3	6
220	уже о	6	6
221	в области	16	6
222	на вопрос	7	6
223	не приходится	5	6
224	том числе	3	6
225	не говоря	2	6
226	о которых	3	6
227	могут быть	5	6
228	что не	3	6
229	говоря уже	2	6
230	в сущности	2	6
231	до того	4	6
232	никто не	4	6
233	не зная	2	6
234	и он	2	6
235	на это	2	6
236	это было	2	6
237	к концу	3	6
238	тем не	4	6
239	и как	2	6
240	как правило	2	6
241	в середине	2	6
242	во второй	10	6
243	как будто	5	6
244	больше всего	2	6
245	в какой	4	6
246	после того	5	6
247	на то	5	6
248	в своих	2	6
249	еще более	5	6
250	которую он	3	6
251	с точки	10	6
252	в и	143	6
253	а не	19	6
254	не дает	2	6
255	не мог	3	6
256	никогда не	7	5
257	ему не	3	5
258	этом отношении	13	5
259	это не	8	5
260	из того	2	5
261	том как	4	5
262	в каждом	3	5
263	в обоих	2	5
264	одним из	2	5
265	ни одной	2	5
266	в развитии	2	5
267	одном из	4	5
268	по существу	3	5
269	не так	2	5
270	и без	4	5
271	мы имеем	2	5
272	что на	3	5
273	не могла	2	5
274	в ее	6	5
275	и я	5	5
276	в первом	2	5
277	сказать что	9	5
278	представление о	5	5
279	и от	2	5
280	для этого	2	5
281	что это	5	5
282	в сознании	2	5
283	в первой	12	5
284	за пределы	2	5
285	также в	2	5
286	т д	25	5
287	его современников	2	5
288	известно что	2	5
289	каждого из	3	5
290	из двух	3	5
291	отказаться от	2	5
292	в период	2	5
293	к своему	3	5
294	раз в	4	5
295	именно в	8	5
296	что я	3	5
297	в это	3	5
298	жизни и	6	5
299	и теперь	2	5
300	а на	4	5
301	конечно не	2	5
302	у меня	3	5
303	той же	5	5
304	тем же	3	5
305	но он	5	5
306	чем в	3	5
307	не о	2	4
308	что ему	2	4
309	которые в	2	4
310	нуждается в	2	4
311	в духе	2	4
312	по мнению	4	4
313	не столько	6	4
314	в трагедии	13	4
315	наконец в	2	4
316	в пользу	5	4
317	к которому	4	4
318	по своей	2	4
319	не всегда	2	4
320	в обеих	5	4
321	или менее	2	4
322	к сожалению	4	4
323	материал для	6	4
324	в политическом	2	4
