N	2gram	Berdyaev_O	EvropaiE
1	и в	19	37
2	что в	4	21
3	не только	11	18
4	хотя бы	3	15
5	в своем	2	14
6	но в	2	14
7	но и	13	14
8	и не	13	14
9	в этом	12	12
10	в том	5	11
11	так и	2	10
12	т е	4	9
13	не может	4	9
14	в себе	3	9
15	прежде всего	9	9
16	в ее	2	8
17	было бы	3	8
18	в своей	2	8
19	как и	6	7
20	так как	2	7
21	того что	3	7
22	том что	2	6
23	может быть	11	6
24	и на	2	6
25	того чтобы	4	6
26	для того	3	6
27	то что	5	6
28	как бы	3	6
29	и потому	2	5
30	в россии	5	5
31	не в	11	5
32	сказать что	2	4
33	вопрос о	10	4
34	не имеет	2	4
35	в самом	5	4
36	по себе	2	4
37	россии в	2	4
38	к ней	2	4
39	чем в	2	4
40	никогда не	9	3
41	с тем	2	3
42	и от	3	3
43	и для	2	3
44	о том	3	3
45	когда он	3	3
46	потребность в	2	3
47	и к	2	3
48	можно ли	2	3
49	что и	2	3
50	тем что	2	3
51	жизни в	2	3
52	потому что	9	3
53	ее в	2	3
54	в его	7	2
55	не есть	2	2
56	и то	2	2
57	к нему	3	2
58	не могут	3	2
59	а в	5	2
60	чем на	3	2
61	в своих	3	2
62	и с	2	2
63	могут быть	3	2
64	что все	2	2
65	что же	2	2
66	в этих	3	2
67	в других	2	2
68	а не	11	2
69	и все	10	2
70	в истории	2	2
71	он не	7	2
72	только одно	3	2
73	в этой	5	2
74	всего в	2	2
75	хотя и	2	2
76	он сам	4	2
