N	2gram	Berdyaev_O	Vvedenie
1	т е	4	40
2	в том	5	38
3	в этом	12	35
4	и в	19	35
5	том что	2	30
6	может быть	11	30
7	не только	11	26
8	для того	3	23
9	того чтобы	4	22
10	не может	4	19
11	то что	5	19
12	потому что	9	18
13	о том	3	16
14	так как	2	15
15	и не	13	13
16	что в	4	13
17	в самом	5	13
18	в нем	10	13
19	того что	3	12
20	в его	7	12
21	по себе	2	11
22	в ее	2	11
23	вопрос о	10	10
24	не в	11	10
25	прежде всего	9	10
26	но в	2	10
27	все же	2	9
28	в истории	2	9
29	это не	3	8
30	и то	2	7
31	о природе	3	7
32	как и	6	7
33	как бы	3	7
34	но и	13	7
35	было бы	3	7
36	сказать что	2	6
37	его в	2	6
38	не могут	3	6
39	хотя бы	3	6
40	тем что	2	6
41	с тем	2	6
42	а в	5	6
43	могут быть	3	6
44	и его	4	6
45	все это	6	6
46	что он	3	5
47	так что	2	5
48	что не	4	5
49	одно из	2	5
50	не есть	2	5
51	уже в	2	5
52	что и	2	5
53	а не	11	5
54	хотя и	2	5
55	должен был	2	4
56	любовь к	2	4
57	и ее	3	4
58	еще не	3	4
59	и для	2	4
60	не имеет	2	4
61	даже и	2	4
62	в себе	3	4
63	в своей	2	4
64	никогда не	9	3
65	до конца	7	3
66	в своем	2	3
67	к этому	2	3
68	в другом	2	3
69	отношение к	5	3
70	и вот	3	3
71	в этих	3	3
72	к нему	3	3
73	и на	2	3
74	и к	2	3
75	что же	2	3
76	совсем не	2	3
77	он сам	4	3
78	все эти	4	3
79	и есть	3	3
80	в этой	5	3
81	чем в	2	3
82	ничего не	2	2
83	и потому	2	2
84	же это	2	2
85	с чем	2	2
86	должно быть	2	2
87	мысли и	3	2
88	в этот	2	2
89	не могли	2	2
90	него в	5	2
91	так и	2	2
92	ни с	7	2
93	есть лишь	4	2
94	о которой	2	2
95	в своих	3	2
96	и с	2	2
97	и из	2	2
98	не было	9	2
99	природы и	2	2
100	что они	2	2
101	романов достоевского	2	2
102	учение о	2	2
