N	3gram	Bakhtin_Pr	slovoVRo
1	не может быть	8	19
2	в то же	8	18
3	то же время	8	18
4	той или иной	2	15
5	с точки зрения	13	15
6	в отношении к	2	12
7	в большинстве случаев	9	11
8	во всех его	2	10
9	более или менее	3	9
10	в пределах одного	6	9
11	в зависимости от	3	8
12	но в то	3	7
13	большей или меньшей	6	6
14	в одной плоскости	2	6
15	так и в	2	6
16	как мы сказали	4	6
17	с другой стороны	3	6
18	и в то	3	6
19	в том что	6	5
20	может быть и	2	5
21	хотя бы и	2	5
22	как мы уже	5	5
23	по отношению к	5	5
24	в дальнейшем развитии	2	4
25	в большей или	5	4
26	или меньшей степени	5	4
27	никогда не может	2	4
28	друг с другом	6	4
29	мы уже сказали	2	4
30	в новое время	4	4
31	а также и	3	4
32	и не может	6	4
33	до сих пор	8	4
34	можно сказать что	6	4
35	и в сущности	2	4
36	в широком смысле	2	3
37	как и в	4	3
38	человека и его	3	3
39	в собственном смысле	3	3
40	несколько слов о	3	3
41	тех или иных	2	3
42	сама по себе	2	3
43	почти вовсе не	2	3
44	и в нем	2	2
45	а следовательно и	2	2
46	мы уже говорили	3	2
47	нужно сказать что	2	2
48	о том что	3	2
49	хотя и не	3	2
50	можно было бы	2	2
51	но конечно не	2	2
52	в средние века	11	2
53	с самого начала	4	2
54	то есть от	2	2
55	и во всех	3	2
56	в последующем развитии	2	2
57	но и в	2	2
58	и в новое	2	2
59	тем не менее	2	2
60	диалогическое отношение к	3	2
61	и наконец в	2	2
62	а между тем	2	2
