N	2gram	Savitsky_E	Problema
1	и в	37	182
2	то есть	6	165
3	и не	14	152
4	вовсе не	6	145
5	то что	6	144
6	не есть	2	113
7	не только	18	104
8	потому что	3	89
9	в этом	12	88
10	может быть	6	82
11	том что	6	81
12	в том	11	81
13	только в	9	73
14	сказать что	4	72
15	но и	14	70
16	в виде	5	69
17	также и	7	68
18	и даже	6	66
19	по себе	4	64
20	о том	3	57
21	так и	10	56
22	а не	2	56
23	но в	14	55
24	для нас	4	50
25	отнюдь не	9	48
26	в себе	9	48
27	при помощи	2	47
28	было бы	8	46
29	в своей	8	45
30	прежде всего	9	45
31	что в	21	44
32	в его	2	44
33	не в	5	43
34	таким образом	2	42
35	то же	15	42
36	а именно	2	42
37	так как	7	40
38	и то	2	40
39	и что	2	40
40	не может	9	39
41	в этой	2	39
42	и тем	3	39
43	во всяком	3	39
44	как бы	6	39
45	той или	4	38
46	в данном	3	38
47	хотя бы	15	37
48	того что	7	37
49	точки зрения	23	36
50	и все	2	36
51	и с	2	34
52	как и	7	34
53	не является	3	33
54	или иной	4	33
55	в таком	3	33
56	в то	16	32
57	но не	5	32
58	в своем	14	31
59	так же	9	31
60	с другой	7	30
61	и для	3	30
62	как мы	5	29
63	можно сказать	4	29
64	данном случае	2	28
65	что же	2	28
66	мы не	4	28
67	а в	2	28
68	и как	2	27
69	хотя и	2	27
70	в результате	3	26
71	как будто	2	26
72	вместе с	2	26
73	другой стороны	2	26
74	тем самым	5	25
75	с точки	17	25
76	и на	6	25
77	мы можем	3	25
78	всяком случае	3	25
79	тем более	4	24
80	не имеет	4	24
81	с тем	3	24
82	и притом	4	23
83	на то	6	23
84	есть не	2	23
85	в качестве	14	23
86	по своему	7	23
87	никогда не	3	22
88	и если	2	22
89	что и	3	22
90	можно ли	3	22
91	и от	3	22
92	есть в	2	22
93	и к	3	22
94	мы должны	2	21
95	а также	7	21
96	в самом	4	21
97	и только	3	21
98	и потому	5	20
99	но как	2	20
100	для того	6	20
101	именно в	4	20
102	можно было	3	20
103	несмотря на	4	20
104	или в	2	20
105	тем что	3	20
106	в отношении	32	19
107	в каком	4	19
108	но если	5	19
109	того или	4	19
110	то в	4	19
111	если бы	2	19
112	это значит	2	19
113	он не	2	19
114	в них	3	19
115	как в	3	19
116	этом смысле	3	19
117	жизни и	2	19
118	того же	3	18
119	не будет	3	18
120	того чтобы	6	18
121	в ее	8	18
122	в этих	2	18
123	в ней	4	18
124	во всех	6	17
125	но даже	4	16
126	к тому	8	16
127	же в	2	16
128	далеко не	2	16
129	как это	4	16
130	и более	2	15
131	в частности	5	15
132	с этим	2	15
133	в той	5	15
134	что все	2	14
135	говорит о	3	14
136	уже и	3	14
137	в котором	2	14
138	с другими	2	14
139	то ни	4	14
140	дело в	3	13
141	в других	2	13
142	в их	11	13
143	бы и	3	13
144	в области	11	13
145	или иного	4	13
146	ни на	3	13
147	из них	3	13
148	но именно	2	12
149	при условии	2	12
150	не говоря	2	12
151	с одной	8	12
152	или по	2	12
153	для них	2	12
154	что это	2	12
155	в смысле	9	12
156	он сам	2	12
157	и можно	2	12
158	и во	2	11
159	в истории	2	11
160	вообще не	3	11
161	не могут	2	11
162	одной стороны	8	11
163	бы то	4	11
164	жизни в	3	11
165	к нему	2	11
166	заключается в	2	11
167	в одном	2	10
168	представление о	2	10
169	вопрос о	4	9
170	как же	2	9
171	тогда когда	2	9
172	она не	2	9
173	между прочим	7	9
174	и наконец	2	9
175	в своих	2	9
176	в которых	3	9
177	говоря уже	2	9
178	что если	2	9
179	бы в	2	9
180	не нужно	2	9
181	и тут	2	8
182	между собой	2	8
183	от этого	5	8
184	и по	5	8
185	если в	2	8
186	с этой	6	8
187	в силу	2	8
188	или вернее	2	8
189	во всей	2	8
190	и этот	2	8
191	ни было	4	8
192	что на	2	7
193	и поэтому	2	7
194	одной из	5	7
195	в значительной	2	7
196	еще более	2	7
197	в какой	2	7
198	в случае	2	7
199	даже в	4	7
200	во все	3	7
201	не на	4	7
202	себе в	3	7
203	мира и	3	7
204	же как	5	7
205	по преимуществу	2	7
206	на этот	2	7
207	ее в	3	7
208	не можем	2	7
209	в известном	3	6
210	ведь и	2	6
211	само по	4	6
212	только к	2	6
213	по своей	2	6
214	когда он	3	6
215	этот вопрос	2	6
216	в порядке	2	6
217	которую мы	5	6
218	и того	2	6
219	поскольку они	2	6
220	но с	2	6
221	стороны и	6	6
222	в общем	3	6
223	могут быть	2	6
224	независимо от	4	6
225	как оно	2	6
226	все другие	2	6
227	к ней	4	6
228	этом отношении	3	6
229	не к	2	6
230	как на	3	6
231	его на	2	5
232	и прежде	3	5
233	но по	2	5
234	из всех	3	5
235	нам кажется	7	5
236	ту или	3	5
237	себе не	3	5
238	в известной	3	5
239	чем больше	2	5
240	но еще	2	5
241	на одну	2	5
242	между тем	8	5
243	во многих	4	5
244	мы видели	3	5
245	утверждать что	2	5
246	на себя	3	5
247	там где	3	5
248	и еще	2	5
249	мира в	4	5
250	в пределах	25	5
251	наряду с	2	4
252	нас к	2	4
253	друг от	2	4
254	в эту	2	4
255	в предыдущем	4	4
256	во втором	2	4
257	которое в	2	4
258	то не	2	4
259	кажется что	2	4
260	что к	2	4
261	или точнее	2	4
262	и наиболее	2	4
263	именно потому	2	4
264	которого мы	2	4
265	или иную	3	4
266	поскольку он	2	4
267	от друга	2	4
268	она в	3	4
269	а тем	2	4
270	именно к	2	4
271	начиная с	2	4
272	но на	3	4
273	как нам	5	4
274	этой точки	5	4
275	что эти	2	4
276	к ним	3	4
277	в свою	3	4
278	на путях	4	4
279	мог бы	2	4
280	из того	2	3
281	относятся к	2	3
282	на месте	2	3
283	в свои	2	3
284	и та	2	3
285	сравнению с	2	3
286	например с	2	3
287	должна быть	2	3
288	отношений между	2	3
289	известном смысле	3	3
290	по сравнению	2	3
291	ли это	3	3
292	каких бы	2	3
293	в некотором	4	3
294	значение только	2	3
295	случаях когда	2	3
296	эти последние	2	3
297	думать что	8	3
298	столь же	5	3
299	в последние	6	3
300	это так	3	3
301	представляет собой	3	3
302	заметить что	2	3
303	и других	2	3
304	чем в	4	3
305	помнить что	2	3
306	если брать	2	3
307	со стороны	5	3
308	в россии	5	3
309	от них	3	3
310	происходит в	2	3
311	время в	3	3
312	поскольку она	2	3
313	к той	2	3
314	мы видим	2	3
315	и мы	3	3
316	т е	9	3
317	другой и	2	3
318	на основании	2	3
319	в процессе	4	3
320	место в	3	3
321	все более	9	2
322	россии как	3	2
323	тому чтобы	2	2
324	из числа	4	2
325	подходит к	2	2
326	или хотя	2	2
327	значения для	2	2
328	что согласно	3	2
329	такой же	2	2
330	с и	10	2
331	точка зрения	2	2
332	тому или	2	2
333	для этих	2	2
334	в существе	2	2
335	какой бы	2	2
336	и эта	2	2
337	тем в	3	2
338	всех случаях	3	2
339	россии в	4	2
340	или иному	2	2
341	оставить в	2	2
342	и со	3	2
343	и имеет	2	2
344	и таким	2	2
345	всех прочих	2	2
346	бы от	2	2
347	частности в	2	2
348	в стороне	3	2
349	будет ли	2	2
350	но поскольку	2	2
351	не дает	3	2
352	россии и	3	2
353	в определенном	3	2
354	в будущем	3	2
355	вслед за	6	2
356	наше внимание	2	2
357	дошла до	2	2
358	свою очередь	2	2
359	к которым	5	2
360	есть ли	2	2
361	в содержании	2	2
362	и чем	2	2
363	во многом	2	2
364	бы о	2	2
365	для понимания	2	2
366	а поскольку	2	2
367	даже при	2	2
368	этих областей	5	2
369	притом в	2	2
370	большинстве случаев	3	2
371	на них	2	2
372	и некоторые	3	2
373	известной степени	3	2
374	близко подходит	2	2
375	на язык	2	2
376	имеет в	2	2
377	исключительно в	2	2
378	в прошлом	3	2
379	также в	2	2
380	море и	2	2
381	но также	2	2
382	в данной	3	2
383	не означает	2	2
384	в год	2	2
385	участие в	2	2
386	нельзя ли	3	2
387	бы совершенно	2	2
388	и сейчас	2	2
389	с большой	2	2
390	океана и	2	2
391	не из	3	2
392	ко всему	2	2
393	бы ни	3	2
394	только одно	2	2
395	на основе	2	2
