N	2gram	Nazirov_Tr	Komedia
1	и в	18	77
2	и не	7	47
3	в том	2	44
4	том что	4	42
5	о том	2	33
6	но и	4	32
7	может быть	7	30
8	в то	5	28
9	и его	6	28
10	в этом	9	27
11	потому что	2	27
12	что он	6	26
13	к тому	2	26
14	не только	8	25
15	как и	5	23
16	ни в	2	23
17	что в	4	23
18	что и	2	22
19	в самом	2	22
20	в конце	3	21
21	так и	5	21
22	то же	5	21
23	в его	3	20
24	в этой	4	18
25	тем что	2	17
26	еще не	4	17
27	и здесь	2	17
28	в нем	4	17
29	же время	6	17
30	все же	5	16
31	у него	6	16
32	при этом	3	16
33	и сам	3	16
34	он не	2	16
35	его в	2	15
36	в своем	3	15
37	не в	2	15
38	прежде всего	4	15
39	один из	3	15
40	и на	7	15
41	к нему	3	14
42	iii в	3	14
43	все это	4	14
44	об этом	4	14
45	и с	7	14
46	столь же	2	14
47	о чем	3	13
48	то что	4	13
49	так что	2	13
50	но в	6	13
51	что она	2	13
52	в одном	2	13
53	так же	4	12
54	как это	3	12
55	уже в	3	12
56	несмотря на	5	12
57	не может	5	12
58	как в	3	12
59	в частности	2	11
60	с тем	2	11
61	и даже	4	11
62	с ним	3	11
63	в целом	4	10
64	отношение к	2	10
65	ничего не	2	10
66	и все	4	10
67	в глазах	2	10
68	он был	2	10
69	с его	2	10
70	тут же	2	10
71	как бы	7	10
72	еще в	2	10
73	и что	4	10
74	отличие от	2	9
75	в образе	6	9
76	о его	2	9
77	но все	2	9
78	друг друга	2	9
79	и ее	2	8
80	по поводу	2	8
81	вопрос о	2	7
82	до конца	2	7
83	в себе	4	7
84	и это	2	7
85	не имеет	2	7
86	отнюдь не	3	7
87	никто не	3	6
88	в дальнейшем	5	6
89	и он	3	6
90	и как	3	6
91	как будто	3	6
92	в отличие	2	6
93	не мог	2	6
94	никогда не	2	5
95	это не	5	5
96	одном из	2	5
97	не так	2	5
98	в ее	2	5
99	и я	2	5
100	в первом	2	5
101	который в	2	5
102	что это	5	5
103	в мире	3	5
104	даже если	2	5
105	что я	4	5
106	он и	2	5
107	в это	2	5
108	ненависти к	2	5
109	отцом и	2	4
110	по мнению	2	4
111	в глаза	2	4
112	ничем не	2	4
113	времени в	2	4
114	что с	3	4
115	из самых	2	4
116	одна из	2	4
117	то и	2	4
118	я не	4	4
119	отца и	2	4
120	не случайно	2	4
121	дома и	2	4
122	мог бы	3	4
123	в поле	3	4
124	не могут	2	3
125	не был	2	3
126	а как	2	3
127	в году	9	3
128	этим объясняется	2	3
129	в известной	2	3
130	и за	2	3
131	в виде	2	3
132	было в	2	3
133	его дочь	2	3
134	но при	2	3
135	его за	2	3
136	с г	2	3
137	жизнь и	3	3
138	к людям	3	3
139	в таком	2	3
140	своего отца	3	3
141	перед нами	2	2
142	она должна	2	2
143	тем самым	3	2
144	как же	2	2
145	еще раз	2	2
146	что вы	3	2
147	даже на	2	2
148	в основном	3	2
149	в душе	2	2
150	что все	2	2
151	бросается в	2	2
152	точно так	2	2
153	и до	2	2
154	все эти	3	2
155	под влиянием	2	2
156	что эти	2	2
157	бы и	2	2
158	нет в	2	2
159	имеет в	2	2
160	это был	2	2
161	но это	4	2
162	с ее	3	2
163	но они	2	2
164	я ведь	2	2
165	для него	3	2
166	это уже	2	2
167	знает что	2	2
168	гораздо важнее	2	2
169	к жизни	5	2
170	говорит о	2	2
