N	2gram	Nazirov_Tv	EvropaiE
1	и в	40	37
2	что в	17	21
3	не только	16	18
4	в то	23	16
5	отношении к	2	15
6	хотя бы	5	15
7	то же	19	15
8	в своем	4	14
9	но в	11	14
10	но и	10	14
11	и не	12	14
12	же время	18	14
13	в качестве	2	14
14	в этом	11	12
15	в том	13	11
16	в их	5	11
17	так и	5	10
18	все более	2	9
19	так же	6	9
20	не может	9	9
21	отнюдь не	9	9
22	в себе	3	9
23	прежде всего	10	9
24	только в	7	9
25	между тем	2	8
26	в ее	3	8
27	было бы	2	8
28	в своей	8	8
29	с одной	2	8
30	к тому	2	8
31	с другой	4	7
32	как и	16	7
33	так как	6	7
34	того что	3	7
35	том что	14	6
36	вслед за	2	6
37	во всех	2	6
38	то есть	16	6
39	и даже	8	6
40	может быть	11	6
41	и на	12	6
42	с этой	4	6
43	то что	9	6
44	как бы	26	6
45	вовсе не	5	6
46	но не	7	5
47	тем самым	10	5
48	и по	5	5
49	и потому	4	5
50	столь же	2	5
51	в россии	5	5
52	но если	4	5
53	не в	3	5
54	в виде	4	5
55	в частности	4	5
56	же как	3	5
57	одной из	7	5
58	даже в	4	4
59	сказать что	3	4
60	и притом	2	4
61	не имеет	2	4
62	можно сказать	2	4
63	то в	2	4
64	именно в	6	4
65	в процессе	3	4
66	в самом	6	4
67	мы не	3	4
68	иными словами	2	4
69	в ней	2	4
70	по себе	2	4
71	мира в	2	4
72	к ней	3	4
73	в направлении	2	4
74	как это	2	4
75	никогда не	13	3
76	и от	8	3
77	ни на	3	3
78	и только	2	3
79	известном смысле	2	3
80	из всех	5	3
81	о том	9	3
82	ли это	2	3
83	в данном	2	3
84	того же	2	3
85	время в	3	3
86	в которых	3	3
87	в сфере	2	3
88	когда он	4	3
89	в свою	8	3
90	этот факт	2	3
91	не будет	2	3
92	из них	4	3
93	в известном	2	3
94	всяком случае	2	3
95	место в	6	3
96	на себя	2	3
97	что и	3	3
98	во второй	3	3
99	и тем	2	3
100	тем что	2	3
101	говорит о	3	3
102	по нашему	9	3
103	не является	3	3
104	жизни в	9	3
105	потому что	10	3
106	себе не	3	3
107	в таком	4	3
108	и со	2	3
109	представляет собой	4	3
110	как в	10	3
111	в стороне	2	3
112	в известной	4	3
113	как было	2	3
114	ее в	3	3
115	во всяком	2	3
116	дело в	4	3
117	данном случае	2	2
118	и если	3	2
119	представление о	9	2
120	в мире	8	2
121	на этот	3	2
122	если в	3	2
123	в его	19	2
124	отношений между	2	2
125	не есть	2	2
126	начиная с	2	2
127	человеческой культуры	2	2
128	при помощи	4	2
129	не могут	2	2
130	она не	2	2
131	а в	10	2
132	с этим	2	2
133	в котором	8	2
134	с большой	5	2
135	далеко не	3	2
136	в своих	8	2
137	и отчасти	3	2
138	и еще	2	2
139	и поэтому	2	2
140	во многом	8	2
141	и с	9	2
142	этот вопрос	4	2
143	не нужно	2	2
144	что на	3	2
145	могут быть	4	2
146	по преимуществу	4	2
147	каких бы	2	2
148	другой стороны	2	2
149	что все	4	2
150	не дают	2	2
151	и та	2	2
152	в одном	3	2
153	в сферу	2	2
154	и как	5	2
155	есть не	2	2
156	если бы	4	2
157	для них	2	2
158	в этих	2	2
159	жизни и	3	2
160	еще более	3	2
161	и того	2	2
162	а не	9	2
163	и тут	2	2
164	и других	5	2
165	мы видим	3	2
166	и рядом	2	2
167	и что	2	2
168	и наконец	3	2
169	имеет в	2	2
170	свою очередь	2	2
171	точка зрения	2	2
172	одном из	2	2
173	и все	6	2
174	влияние на	3	2
175	или в	2	2
176	наряду с	6	2
177	таким образом	14	2
178	в истории	2	2
179	он не	10	2
180	как будто	5	2
181	такой же	4	2
182	во всей	2	2
183	следовало бы	2	2
184	не к	2	2
185	в этой	7	2
186	не означает	4	2
187	между собой	2	2
188	хотя и	5	2
189	духовной жизни	2	2
190	вместе с	4	2
191	он сам	8	2
192	и более	2	2
193	культуры и	2	2
194	нашему мнению	9	2
