N	3gram	Bakhtin_Pr	VeschiIm
1	и т д	4	38
2	не может быть	8	24
3	то ни было	2	12
4	бы то ни	3	12
5	тем не менее	2	11
6	по крайней мере	2	10
7	в том что	6	9
8	т е в	3	7
9	в самом деле	6	7
10	на то что	2	7
11	сама по себе	5	7
12	с точки зрения	21	6
13	в то же	13	5
14	подобно тому как	3	5
15	не только в	2	5
16	т е не	2	5
17	не только не	2	4
18	более или менее	4	4
19	то время как	2	4
20	этой точки зрения	2	4
21	сам по себе	2	4
22	о том что	2	4
23	в то время	2	4
24	само по себе	4	4
25	то же время	13	4
26	можно сказать что	2	3
27	можно было бы	3	3
28	только то что	2	3
29	с другой стороны	6	3
30	сами по себе	4	3
31	и в то	2	3
32	все же не	3	3
33	все то что	3	2
34	как раз и	5	2
35	во всяком случае	4	2
36	что он есть	2	2
37	но все же	3	2
38	том или другом	2	2
39	в этом отношении	3	2
40	хотя бы и	3	2
41	том что он	5	2
42	с самим собою	2	2
43	в отношении к	3	2
44	в конце концов	7	2
45	друг с другом	3	2
46	в данном случае	2	2
47	в этом смысле	12	2
48	а следовательно и	2	2
49	и в этом	5	2
