N	3gram	Nazirov_Tv	Dialekti
1	и т д	10	75
2	по крайней мере	4	26
3	в том что	8	25
4	не может быть	2	18
5	тем не менее	2	16
6	то же время	18	15
7	в то же	19	14
8	в таком случае	2	14
9	о том что	6	12
10	с другой стороны	2	12
11	в самом деле	2	10
12	не значит что	2	8
13	и та же	2	8
14	можно сказать что	2	7
15	сами по себе	2	7
16	точно так же	3	7
17	в связи с	2	7
18	во всяком случае	2	6
19	и в то	3	6
20	на самом деле	2	5
21	но это не	2	4
22	в данном случае	2	4
23	и т п	4	4
24	не могут быть	2	4
25	это не значит	2	4
26	но в то	5	3
27	с самого начала	3	3
28	как и в	2	3
29	не только в	2	3
30	и не может	2	3
31	та же самая	2	2
32	у достоевского в	5	2
33	том что в	3	2
34	дело в том	4	2
35	в свою очередь	2	2
