N	2gram	Savitsky_P	Mirosoze
1	и в	14	97
2	может быть	5	64
3	не только	17	63
4	в этом	10	55
5	но и	6	54
6	а не	2	53
7	в нем	3	49
8	не может	4	49
9	и не	12	39
10	потому что	3	37
11	в ней	6	37
12	не было	2	36
13	не в	5	34
14	и есть	2	33
15	прежде всего	3	29
16	но в	9	27
17	в мире	2	27
18	и это	2	25
19	в своем	4	23
20	что в	4	23
21	в себе	3	20
22	в россии	3	19
23	как бы	4	19
24	в его	2	18
25	и потому	4	17
26	того что	2	17
27	в том	9	16
28	том что	4	16
29	то что	4	16
30	было бы	6	16
31	быть может	6	15
32	в котором	4	15
33	в русском	2	13
34	и вот	2	13
35	русский народ	2	13
36	это не	3	12
37	в них	2	12
38	все это	2	12
39	но не	3	12
40	с тем	3	11
41	хотя бы	8	11
42	только в	7	11
43	в русской	4	11
44	и к	4	11
45	духа и	2	11
46	есть не	2	10
47	то же	9	10
48	xix века	6	9
49	а в	4	9
50	должно быть	2	9
51	в отношении	10	8
52	т е	3	8
53	для того	3	8
54	отношении к	5	8
55	и с	2	8
56	она есть	3	7
57	более чем	2	7
58	точки зрения	3	7
59	в жизни	2	7
60	отношения к	2	7
61	на пути	4	6
62	в ее	2	6
63	было в	2	6
64	если бы	4	6
65	к чему	2	6
66	в которых	5	6
67	россии и	4	6
68	не к	2	6
69	и если	4	5
70	в то	7	5
71	на путях	4	5
72	тот же	3	5
73	да и	2	5
74	и мы	2	5
75	с этим	2	5
76	и как	3	5
77	думать что	2	5
78	может ли	2	4
79	есть в	2	4
80	по сравнению	2	4
81	могут быть	3	4
82	для них	2	4
83	в начале	2	4
84	заключает в	2	4
85	мы не	3	4
86	русской революции	2	4
87	еще более	2	4
88	культуры в	2	4
89	русская революция	4	4
90	в судьбах	6	3
91	в европе	2	3
92	является в	2	3
93	и тем	2	3
94	и достоевского	2	3
95	мы должны	4	3
96	европейской культуры	4	3
97	между тем	3	3
98	хотя и	3	3
99	в значительной	2	3
100	мысль о	2	3
101	но также	4	3
102	я и	3	3
103	для нас	2	3
104	в пределах	8	3
105	во всех	2	3
106	не о	2	2
107	если в	2	2
108	и других	2	2
109	начала и	2	2
110	нужно было	2	2
111	только это	2	2
112	не менее	2	2
113	мира с	2	2
114	тем самым	3	2
115	и без	3	2
116	не столько	2	2
117	xix век	2	2
118	во всей	2	2
119	столь же	3	2
120	переход от	2	2
121	россии в	5	2
122	и о	5	2
123	православия и	2	2
124	в е	2	2
125	с другой	5	2
126	в сфере	2	2
127	но к	2	2
128	в смысле	6	2
129	что мы	3	2
130	по себе	4	2
131	бы ни	2	2
132	революция есть	4	2
