N	3gram	Bakhtin_fo	Problemy
1	то же время	13	26
2	в то же	10	26
3	с точки зрения	9	25
4	по отношению к	3	18
5	и т п	18	18
6	к себе самому	7	18
7	с самим собою	4	14
8	не может быть	4	14
9	в большинстве случаев	2	12
10	но в то	2	11
11	до сих пор	4	10
12	с самим собой	2	9
13	с самого начала	3	9
14	в его целом	2	8
15	друг с другом	5	8
16	в том что	4	8
17	как раз и	2	7
18	и в то	7	7
19	мы уже говорили	6	7
20	и в этом	2	7
21	и т д	3	7
22	себе самому и	2	6
23	в отличие от	3	6
24	бы он ни	2	5
25	той или иной	3	5
26	к тому же	2	5
27	он ни был	2	5
28	но все же	3	5
29	в той или	2	5
30	на протяжении всего	2	4
31	и прежде всего	4	4
32	то что было	2	4
33	как если бы	2	4
34	друг к другу	2	4
35	может быть и	4	4
36	о том что	2	4
37	как и в	3	4
38	сами по себе	2	4
39	в этом отношении	5	4
40	вполне понятно что	4	4
41	друг на друга	4	4
42	все то что	2	3
43	и то же	4	3
44	в то время	3	3
45	и для себя	2	3
46	и в других	4	3
47	в данном случае	2	3
48	как мы уже	11	3
49	и до конца	2	3
50	как мы увидим	2	3
51	одно и то	4	3
52	то время как	2	3
53	можно прямо сказать	2	2
54	прежде всего в	3	2
55	же как и	2	2
56	одна и та	2	2
57	в разрезе одного	2	2
58	и та же	2	2
59	в чем не	3	2
60	друг за другом	2	2
61	но в этом	2	2
62	в пределах отдельных	4	2
63	таким образом и	2	2
64	друг от друга	2	2
65	не только в	6	2
66	здесь не место	2	2
67	в нем не	3	2
68	а следовательно и	3	2
69	в том же	3	2
70	в его мире	2	2
71	человека и его	8	2
72	протяжении всего романа	2	2
73	между этими двумя	3	2
74	вместе с тем	3	2
75	ни в чем	3	2
76	дело в том	2	2
77	для того чтобы	11	2
78	но все эти	2	2
79	и в сущности	3	2
