N	2gram	Potebnia_M	formyVre
1	и в	58	148
2	в этом	18	73
3	то есть	69	70
4	в нем	26	51
5	прежде всего	8	46
6	и т	10	40
7	и не	34	37
8	в его	7	36
9	и его	7	36
10	вовсе не	13	35
11	но и	26	33
12	то же	13	32
13	т п	6	32
14	не только	32	32
15	но в	12	31
16	жизни и	3	31
17	так и	17	29
18	может быть	47	27
19	не в	23	26
20	как мы	3	26
21	как и	16	25
22	как бы	12	25
23	точки зрения	8	24
24	в то	6	23
25	человека в	3	23
26	времени и	3	23
27	только в	36	23
28	то что	24	22
29	в том	38	22
30	все эти	3	21
31	связи с	6	21
32	во всех	12	21
33	же время	4	21
34	в своем	3	19
35	и для	8	19
36	и на	8	19
37	у него	3	18
38	и все	6	18
39	еще не	9	18
40	таким образом	21	18
41	человека и	2	17
42	с этим	11	17
43	те же	4	17
44	при этом	17	17
45	так как	29	17
46	все же	11	16
47	того же	13	16
48	и во	6	16
49	в связи	2	16
50	не может	30	16
51	и их	6	16
52	никогда не	7	15
53	в разных	2	15
54	в них	7	15
55	лишь в	2	15
56	так сказать	5	15
57	в одном	13	15
58	с точки	4	15
59	с его	3	15
60	вместе с	12	15
61	так же	7	14
62	все это	3	14
63	всех этих	2	14
64	и как	11	14
65	и с	3	14
66	а не	38	14
67	в их	3	13
68	а в	11	13
69	того чтобы	4	13
70	же в	7	13
71	во время	5	13
72	для того	8	13
73	как в	18	13
74	в котором	5	13
75	в самом	5	13
76	с ним	7	13
77	ничего не	2	12
78	в истории	8	12
79	значение и	4	12
80	не было	7	12
81	но не	19	12
82	потому что	89	12
83	он не	4	12
84	что в	34	12
85	его в	3	11
86	и у	3	11
87	между ними	2	11
88	в ней	9	11
89	хотя и	6	11
90	ни в	2	11
91	из них	2	11
92	уже в	5	11
93	влияние на	4	10
94	и проч	11	10
95	здесь не	2	10
96	в ее	2	10
97	тот же	5	10
98	сих пор	5	10
99	уже не	4	10
100	и того	6	10
101	до сих	5	10
102	могут быть	17	9
103	одного и	6	9
104	и других	6	9
105	в других	6	9
106	и следовательно	4	9
107	том что	21	9
108	должно быть	9	9
109	и даже	4	9
110	и это	3	9
111	с другой	13	9
112	для него	13	9
113	но все	4	9
114	есть в	4	9
115	в самой	5	9
