N	2gram	Tiupa_Disk	Hudozhes
1	в качестве	45	31
2	то есть	29	26
3	в мире	9	24
4	и в	27	23
5	не только	36	20
6	состоит в	20	20
7	в том	29	20
8	может быть	29	19
9	при этом	22	19
10	в частности	18	18
11	и не	25	16
12	тогда как	28	15
13	внутренней речи	5	14
14	но и	22	14
15	в рамках	11	13
16	литературного произведения	3	13
17	а в	5	13
18	в себе	22	13
19	я в	2	13
20	но не	17	13
21	в тексте	5	13
22	а не	35	13
23	то же	12	12
24	такого рода	11	12
25	в этом	29	12
26	и его	4	12
27	так и	14	12
28	эстетического отношения	2	11
29	как бы	9	11
30	точки зрения	6	11
31	представляет собой	24	11
32	в его	9	11
33	сводится к	7	11
34	но в	15	10
35	по отношению	13	10
36	отношению к	13	10
37	не в	8	9
38	или иной	8	9
39	том что	27	9
40	коммуникативного события	19	9
41	художественного письма	13	9
42	присутствия в	2	9
43	не может	17	9
44	с другой	14	9
45	не сводится	7	9
46	своего рода	15	9
47	особого рода	3	8
48	в то	8	8
49	себя в	8	8
50	в принципе	4	8
51	в области	3	8
52	в самом	4	7
53	и т.п	18	7
54	по своей	15	7
55	отношение к	6	7
56	я и	3	7
57	лишь в	4	7
58	в своей	10	7
59	только в	9	7
60	же время	9	7
61	как это	2	7
62	что в	8	7
63	отличие от	13	7
64	в отличие	13	7
65	в основе	11	7
66	не столько	3	7
67	более или	2	6
68	мы имеем	4	6
69	уже не	7	6
70	другой стороны	5	6
71	по сути	6	6
72	приводит к	4	6
73	а также	15	6
74	в нем	16	6
75	с ее	3	6
76	можно сказать	7	6
77	в ее	4	6
78	с его	9	6
79	или менее	2	6
80	я с	2	5
81	тем самым	6	5
82	речевая маска	3	5
83	ни в	7	5
84	высказывания в	7	5
85	той или	6	5
86	картина мира	7	5
87	конечном счете	2	5
88	могут быть	5	5
89	в конечном	2	5
90	и одновременно	3	5
91	место в	2	5
92	как к	2	5
93	не предполагает	4	5
94	эстетическая деятельность	3	5
95	иначе говоря	5	5
96	в виду	2	5
97	в ходе	5	5
98	со стороны	17	5
99	в их	5	5
100	не является	5	5
101	героя и	2	5
102	что он	6	5
103	не на	3	5
104	то что	10	5
105	не менее	6	5
106	прежде всего	17	5
107	того что	4	5
108	для него	9	5
109	личности в	3	4
110	и то	4	4
111	сказать что	4	4
112	или иного	2	4
113	далеко не	10	4
114	это не	5	4
115	для себя	6	4
116	того или	3	4
117	к тому	6	4
118	речи и	2	4
119	значении этого	4	4
120	на почве	3	4
121	воспринимающего сознания	2	4
122	между тем	5	4
123	входит в	2	4
124	в данном	9	4
125	и т.д	5	4
126	с позиций	5	4
127	во втором	5	4
128	жизни как	2	4
129	в форме	2	4
130	в другом	5	4
131	не знает	4	4
132	однако в	3	4
133	в силу	5	4
134	и как	9	4
135	еще не	20	4
136	к которому	2	4
137	и тем	2	4
138	и что	2	4
139	говорить о	3	4
140	силу своей	2	4
141	сознания в	2	4
142	в этих	4	4
143	на смену	3	4
144	он не	4	4
145	не следует	4	4
146	и о	4	4
147	отношения к	2	4
148	например в	4	4
149	в себя	7	4
150	в своем	11	4
151	хотя и	3	4
152	со своей	2	4
153	объекта и	3	3
154	в жизни	2	3
155	сказания или	5	3
156	по своему	3	3
157	одно и	2	3
158	как уже	5	3
159	в произведении	3	3
160	и ее	5	3
161	не случайно	2	3
162	произведения как	2	3
163	в контексте	3	3
164	чем и	2	3
165	оказывается в	2	3
166	как и	27	3
167	в акте	3	3
168	того же	5	3
169	их в	2	3
170	потому что	7	3
171	художественной целостности	2	3
172	о чем	4	3
173	одной стороны	12	3
174	по преимуществу	2	3
175	слова в	2	3
176	в русской	4	3
177	том числе	3	3
178	в целом	5	3
179	в противоположность	6	3
180	являет собой	5	3
181	говорит и	2	3
182	к его	5	3
183	в свою	3	3
184	человеческой жизни	2	3
185	и к	4	3
186	во всех	6	3
187	рамках которого	2	3
188	одного и	5	3
189	к содержанию	3	3
190	эстетического субъекта	2	3
191	о литературе	2	3
192	картины мира	8	3
193	в культуре	3	3
194	из этих	3	3
195	связи с	4	3
196	и на	8	3
197	тому как	5	3
198	в той	2	3
199	и прежде	2	3
200	другого в	2	3
201	текст и	2	3
202	с точки	3	3
203	сути дела	3	3
204	и адресата	3	3
205	и того	6	3
206	подобно тому	4	3
207	тот или	2	3
208	не обязательно	4	3
209	или даже	2	3
210	себя и	2	3
211	несет в	3	3
212	с этой	2	3
213	к области	2	3
214	таким образом	4	3
215	в притче	6	3
216	и сам	2	3
217	есть в	3	3
218	в которой	2	3
219	в момент	2	3
220	однако при	2	3
221	в рассказе	6	3
222	и составляет	3	3
223	сути своей	2	3
224	принадлежит к	3	3
225	как правило	5	3
226	на языке	3	3
227	в пределах	4	3
228	в одном	5	3
