N	2gram	Voloshinov	Morfolog
1	может быть	28	61
2	и пр	29	45
3	таким образом	34	26
4	могут быть	9	21
5	так как	15	20
6	мы имеем	6	19
7	не может	30	19
8	в этом	28	18
9	в этих	5	17
10	представляет собой	2	17
11	и в	28	17
12	и не	34	16
13	мы видим	3	15
14	с этим	8	14
15	прежде всего	26	14
16	при помощи	2	12
17	и др	9	12
18	чаще всего	3	11
19	а не	9	11
20	заметить что	2	11
21	вопрос о	2	10
22	но если	2	10
23	мы увидим	4	10
24	то же	12	10
25	в том	10	10
26	не всегда	4	10
27	то что	17	10
28	так и	14	10
29	что в	7	10
30	что и	5	10
31	все же	8	9
32	но и	10	9
33	с другой	2	9
34	не только	10	8
35	в результате	3	8
36	но не	7	8
37	а в	8	8
38	мы не	9	8
39	в качестве	2	8
40	как мы	18	8
41	не могут	7	7
42	том что	12	7
43	по отношению	13	7
44	тем не	4	7
45	или же	2	7
46	не менее	6	7
47	отношению к	11	7
48	как это	5	7
49	а также	2	7
50	и этим	3	7
51	точки зрения	31	7
52	во втором	3	7
53	один из	10	7
54	потому что	4	7
55	это не	5	6
56	но это	4	6
57	во всех	13	6
58	и как	3	6
59	во время	6	6
60	и другие	2	6
61	также и	2	6
62	в нашем	3	6
63	о том	3	6
64	если мы	7	6
65	с точки	15	6
66	как бы	19	6
67	вовсе не	16	6
68	одна из	4	5
69	ничего не	5	5
70	в поле	2	5
71	они и	2	5
72	и ее	7	5
73	хотя бы	7	5
74	не будем	3	5
75	мы можем	20	5
76	было бы	8	5
77	об этом	7	5
78	то мы	2	5
79	со стороны	5	5
80	что он	12	5
81	как в	4	5
82	далеко не	5	5
83	тому что	5	5
84	к тому	6	5
85	из которых	2	5
86	между тем	3	5
87	в целом	4	5
88	главным образом	4	5
89	между собой	4	5
90	там где	2	5
91	все эти	15	5
92	он не	10	5
93	по их	2	5
94	в первом	2	5
95	если же	2	5
96	учение о	6	5
97	ясно что	2	5
98	сказать что	11	4
99	на самом	6	4
100	его в	11	4
101	тех же	5	4
102	независимо от	3	4
103	три года	2	4
104	так же	4	4
105	в то	7	4
106	к этому	9	4
107	на него	4	4
108	есть и	2	4
109	не является	7	4
110	еще не	8	4
111	самом деле	14	4
112	из них	7	4
113	но в	13	4
114	но все	2	4
115	и для	7	4
116	как и	13	4
117	оно может	3	4
118	входит в	2	4
119	уже не	9	4
120	этот вопрос	4	4
121	и к	7	4
122	на этом	8	4
123	смысле слова	4	4
124	того чтобы	5	4
125	говорить о	5	4
126	в некоторых	2	4
127	случае не	3	4
128	от того	5	4
129	мы уже	10	4
130	в таких	4	3
131	то в	2	3
132	но эти	2	3
133	мы должны	9	3
134	но как	2	3
135	в которой	5	3
136	а на	2	3
137	пр и	2	3
138	в собственном	4	3
139	то ни	4	3
140	это было	2	3
141	что это	5	3
142	и их	2	3
143	и у	7	3
144	друг друга	2	3
145	если бы	4	3
146	в последнем	4	3
147	возникает вопрос	2	3
148	это и	4	3
149	на первый	5	3
150	связана с	2	3
151	и тем	2	3
152	он должен	2	3
153	не в	10	3
154	для того	6	3
155	и при	3	3
156	у нас	3	3
157	собственном смысле	3	3
158	к ней	4	3
159	в пределах	6	3
160	в какой	3	3
161	того что	7	3
162	приводит к	3	3
163	ее в	5	3
164	к нему	9	3
165	это уже	3	3
166	они не	3	3
167	ни в	12	3
168	реагирует на	2	3
169	что такое	6	3
170	если это	3	3
171	но мы	6	3
172	что при	2	3
173	в большинстве	5	3
174	но для	3	3
175	не существует	4	3
176	большинстве случаев	6	3
177	совсем не	6	3
178	и что	6	3
179	и по	5	3
180	и его	22	3
181	только в	11	3
182	и есть	3	3
183	и только	6	3
184	в этой	7	3
185	по всему	2	3
186	бы то	3	3
187	с его	9	3
188	в одну	2	2
189	данном случае	4	2
190	самого себя	2	2
191	в каком	7	2
192	себя в	3	2
193	в данном	4	2
194	выпадает из	2	2
195	в круг	2	2
196	или другими	2	2
197	из этих	6	2
198	одной стороны	2	2
199	таких случаях	2	2
200	дело не	2	2
201	бы в	2	2
202	во второй	5	2
203	ответ на	3	2
204	в глаза	2	2
205	к себе	3	2
206	в другом	4	2
207	также в	2	2
208	и даже	3	2
209	и тот	3	2
210	что она	5	2
211	и таким	3	2
212	роль в	7	2
213	очень важный	3	2
214	превращается в	2	2
215	этом отношении	4	2
216	только для	2	2
217	ни было	2	2
218	одним из	3	2
219	этого не	3	2
220	а вовсе	3	2
221	ничем не	2	2
222	и за	4	2
223	вот как	2	2
224	между собою	2	2
225	его и	2	2
226	в чем	9	2
227	не знает	5	2
228	наших дней	3	2
229	с одной	2	2
230	а потому	4	2
231	всех других	2	2
232	должна быть	2	2
233	а с	2	2
234	увидим что	5	2
235	на работу	2	2
236	можно сделать	2	2
237	на этот	3	2
238	наука о	2	2
239	не так	3	2
240	и этот	2	2
241	сказать о	3	2
242	в самых	3	2
243	не имеет	2	2
244	но так	2	2
245	вообще не	2	2
246	где оно	3	2
247	во сне	3	2
248	она не	6	2
249	их в	3	2
250	могли бы	2	2
251	в своих	5	2
252	в различных	2	2
253	оно не	3	2
254	быть и	7	2
255	не входит	2	2
256	о мотивах	3	2
257	от других	2	2
258	с другими	8	2
259	если он	6	2
260	для нас	2	2
261	очень много	2	2
262	в основу	3	2
263	что мы	3	2
264	что же	10	2
265	в одной	2	2
266	всяком случае	8	2
267	должны быть	4	2
268	на другие	3	2
269	себя и	4	2
270	все это	12	2
271	в основе	6	2
272	у него	4	2
273	можно сказать	6	2
274	в совершенно	3	2
275	для него	12	2
276	в одном	3	2
277	во всяком	9	2
278	по своему	4	2
279	тем же	3	2
