N	2gram	Losev_Vesc	Poddanst
1	не только	48	17
2	и в	44	14
3	и не	57	12
4	в этом	17	10
5	в отношении	7	10
6	но в	8	9
7	то же	12	9
8	в том	15	9
9	в качестве	4	9
10	хотя бы	9	8
11	в то	11	7
12	только в	23	7
13	же время	4	7
14	быть может	3	6
15	но и	19	6
16	было бы	24	6
17	в смысле	22	6
18	в ней	14	6
19	а я	3	5
20	с другой	8	5
21	не в	14	5
22	и о	4	5
23	отношении к	4	5
24	и пр	10	5
25	может быть	37	5
26	по себе	22	4
27	что в	11	4
28	если бы	8	4
29	и потому	8	4
30	тех кто	2	4
31	в своем	9	4
32	том что	13	4
33	мы должны	5	4
34	в котором	4	4
35	как бы	19	4
36	и если	5	4
37	то что	47	4
38	не может	44	4
39	в с	2	4
40	а в	6	4
41	что мы	17	3
42	и как	12	3
43	с тем	8	3
44	но не	9	3
45	тем самым	2	3
46	это не	9	3
47	т е	79	3
48	с точки	6	3
49	сводится к	4	3
50	сами по	3	3
51	в россии	2	3
52	мы не	8	3
53	я и	8	3
54	для того	3	3
55	в себе	23	3
56	точки зрения	10	3
57	потому что	25	3
58	одной стороны	3	3
59	в нем	6	3
60	и без	4	3
61	она есть	12	3
62	прежде всего	17	3
63	и т	37	3
64	е и	2	3
65	хотя и	5	3
66	тот же	4	3
67	с одной	3	3
68	с ними	4	3
69	заключается в	3	3
70	наряду с	2	3
71	для нас	2	2
72	должно быть	8	2
73	переход от	2	2
74	не о	2	2
75	да и	5	2
76	что из	3	2
77	является в	2	2
78	в жизни	5	2
79	было в	3	2
80	одна из	6	2
81	есть не	17	2
82	отношения к	3	2
83	не к	3	2
84	никак не	7	2
85	стороны и	2	2
86	и мы	5	2
87	только это	4	2
88	и это	17	2
89	есть нечто	12	2
90	которую мы	2	2
91	и тем	7	2
92	в его	5	2
93	с этим	4	2
94	по сравнению	8	2
95	и вот	4	2
96	не менее	11	2
97	говорить о	9	2
98	для тех	3	2
99	бы ни	3	2
100	со стороны	9	2
101	в последние	2	2
102	именно в	2	2
103	знать что	2	2
104	в виде	3	2
105	еще более	4	2
106	тем более	3	2
107	все это	7	2
108	но к	2	2
109	в частности	3	2
110	в а	3	2
111	а не	34	2
112	не было	4	2
113	и есть	40	2
114	и с	11	2
115	может и	3	2
116	может ли	2	2
117	во всех	5	2
118	в ее	8	2
119	но о	2	2
120	в полной	2	2
121	не нужно	3	2
122	между прочим	4	2
123	реальность и	2	2
124	как раз	16	2
125	есть в	4	2
126	в сфере	6	2
127	нужно было	3	2
128	к чему	2	2
129	того что	16	2
130	в силу	4	2
131	главным образом	3	2
132	из них	7	2
133	не столько	2	2
134	отнюдь не	8	2
