N	3gram	Bakhtin_Pr	StatiiOP
1	в том что	3	47
2	в этом отношении	2	24
3	для того чтобы	2	19
4	и т п	13	19
5	с точки зрения	6	14
6	с другой стороны	4	13
7	не может быть	11	11
8	в то же	3	9
9	в самом деле	3	9
10	то же время	3	9
11	можно было бы	3	9
12	на самом деле	3	8
13	тем не менее	3	8
14	не только в	2	8
15	в данном случае	4	7
16	по отношению к	19	6
17	так и в	2	6
18	в этом смысле	3	6
19	и в области	2	5
20	в том же	2	5
21	но и в	2	5
22	в применении к	3	4
23	с одной стороны	3	4
24	того или иного	2	4
25	бы то ни	3	3
26	можно сказать что	2	3
27	в лучшем случае	2	3
28	то или иное	2	3
29	то же самое	2	2
30	и др в	2	2
31	той или иной	2	2
32	и в то	2	2
33	в отличие от	5	2
34	то ни было	2	2
35	между тем как	5	2
36	в иных случаях	3	2
37	в области изучения	2	2
