N	2gram	Losev_Dial	Narrotol
1	не только	35	62
2	и не	50	50
3	при этом	7	47
4	но и	14	45
5	а не	39	38
6	в частности	3	31
7	может быть	30	30
8	и в	34	30
9	в том	17	29
10	том что	18	28
11	в этом	14	28
12	а в	3	27
13	только в	10	25
14	в данном	6	24
15	как и	14	24
16	не в	11	23
17	то что	25	23
18	не может	29	20
19	данном случае	3	17
20	в себе	8	17
21	так и	11	17
22	со стороны	5	16
23	в его	6	16
24	но в	3	15
25	можно сказать	5	15
26	к тому	4	15
27	в жизни	4	14
28	и его	8	14
29	в своем	7	13
30	в своей	4	13
31	то же	9	13
32	у него	2	13
33	о том	11	13
34	уже не	9	13
35	перед нами	5	12
36	все же	4	12
37	прежде всего	20	12
38	как в	2	12
39	как бы	19	12
40	тем самым	3	11
41	и тем	3	11
42	отличие от	2	11
43	об этом	8	11
44	в нем	7	11
45	в этой	3	11
46	если бы	10	11
47	в мире	2	11
48	хотя и	9	11
49	никогда не	9	10
50	в то	9	10
51	ничего не	29	10
52	как это	8	10
53	точки зрения	43	10
54	того что	22	10
55	и все	17	10
56	но не	3	10
57	жизни и	8	10
58	тому же	2	10
59	с его	7	10
60	еще не	7	9
61	что он	18	9
62	что в	12	9
63	отнюдь не	16	9
64	тем не	10	9
65	той или	3	9
66	для него	4	9
67	потому что	21	9
68	с ним	3	9
69	как раз	11	9
70	или иной	4	8
71	о чем	2	8
72	самом деле	7	8
73	не менее	11	8
74	одна из	4	8
75	мы имеем	3	8
76	и он	3	8
77	этом отношении	2	8
78	у нас	7	8
79	и для	5	8
80	в самом	9	8
81	и к	5	8
82	же время	5	8
83	в таком	15	8
84	он не	8	8
85	не мог	3	8
86	это не	13	7
87	в конце	2	7
88	едва ли	2	7
89	в чем	11	7
90	в ней	4	7
91	на себя	3	7
92	в ее	5	7
93	же в	2	7
94	в силу	5	7
95	также и	6	7
96	с другой	5	7
97	в котором	2	7
98	и на	6	7
99	или в	4	7
100	одной стороны	3	6
101	вплоть до	2	6
102	о нем	6	6
103	они не	3	6
104	что и	8	6
105	о ней	3	6
106	например в	3	6
107	сказать что	7	6
108	никак не	3	6
109	то в	5	6
110	то и	5	6
111	из этих	5	6
112	здесь не	2	6
113	в результате	7	6
114	с одной	4	6
115	что у	2	6
116	на то	5	6
117	все что	3	6
118	таким образом	14	6
119	в слове	3	6
120	двух или	5	6
121	имеем дело	2	6
122	от его	2	5
123	на самом	2	5
124	том как	2	5
125	и у	3	5
126	не всегда	3	5
127	а именно	7	5
128	и о	9	5
129	о котором	4	5
130	а для	2	5
131	к нему	4	5
132	место в	2	5
133	точка зрения	5	5
134	мира и	3	5
135	было бы	13	5
136	мы не	11	5
137	я не	11	5
138	и здесь	3	5
139	да и	4	5
140	и то	7	5
141	и от	4	5
142	что это	20	5
143	или не	10	5
144	с ними	3	5
145	тем более	5	5
146	бы и	2	5
147	себя в	3	5
148	с ее	10	5
149	и даже	21	5
150	стало быть	23	5
151	только что	7	5
152	подобно тому	5	5
153	для того	4	5
154	их в	2	5
155	именно в	5	5
156	в своих	3	5
157	но для	3	5
158	если не	3	5
159	из них	4	5
160	тому как	5	5
161	в одном	3	5
162	не было	6	5
163	и уже	5	5
164	как будто	3	5
165	не о	6	4
166	бытия в	2	4
167	и ее	8	4
168	эти два	3	4
169	в виду	12	4
170	как он	4	4
171	только на	8	4
172	друг друга	3	4
173	по своему	2	4
174	в них	6	4
175	тому что	5	4
176	она не	10	4
177	это уже	2	4
178	а то	2	4
179	все его	2	4
180	так в	2	4
181	что на	3	4
182	не будет	5	4
183	и когда	4	4
184	и по	2	4
185	не на	7	4
186	что они	2	4
187	в первом	2	4
188	начало и	2	4
189	как мы	4	4
190	в основе	6	4
191	быть и	7	4
192	но зато	2	4
193	от этих	2	4
194	хотя бы	9	4
195	к этому	3	4
196	это было	5	4
197	и как	13	4
198	которая не	2	4
199	не имеет	18	4
200	со всеми	2	4
201	но они	3	4
202	для себя	2	4
203	строго говоря	2	4
204	зависит от	4	4
205	не вполне	2	4
206	что я	3	4
207	и мира	4	4
208	и притом	10	4
209	в сфере	3	4
210	оно не	7	4
211	и с	10	4
212	истории не	2	4
213	не существует	10	4
214	для нас	2	4
215	по себе	31	4
216	мог бы	2	4
217	несмотря на	2	4
218	всяком случае	3	4
219	во всяком	5	4
220	не говорит	6	4
221	нового времени	2	4
222	в себя	4	4
223	вместе с	3	4
224	еще и	2	3
225	ее и	2	3
226	ни о	8	3
227	и потому	6	3
228	так же	7	3
229	сознания в	2	3
230	но как	3	3
231	и сама	6	3
232	событие как	2	3
233	как к	2	3
234	с этой	7	3
235	а как	2	3
236	к ее	2	3
237	к чему	2	3
238	в виде	11	3
239	этого не	2	3
240	и вот	13	3
241	его не	3	3
242	не знает	4	3
243	одно из	8	3
244	одной из	3	3
245	в него	2	3
246	и это	12	3
247	своей истории	2	3
248	ни одного	2	3
249	точно так	3	3
250	что не	8	3
251	же как	4	3
252	говорить и	2	3
253	иметь в	3	3
254	все эти	4	3
255	той же	6	3
256	связи с	3	3
257	и тогда	6	3
258	в связи	3	3
259	более не	2	3
260	и т	41	3
261	или иного	3	3
262	в зависимости	3	3
263	все время	4	3
264	того или	6	3
265	я уже	9	3
266	но это	10	3
267	бы быть	2	3
268	только к	3	3
269	что она	13	3
270	если она	4	3
271	дело не	2	3
272	первых двух	2	3
273	его внутренней	2	3
274	даже если	3	3
275	зависимости от	4	3
276	и уж	2	3
277	в этих	3	3
278	все равно	5	3
279	о себе	2	3
280	быть не	3	3
281	он и	3	3
282	что мы	10	3
283	собственно говоря	5	3
284	только не	10	3
285	с точки	25	3
286	говорит о	5	3
287	и что	21	3
288	говорить о	13	3
289	что было	2	3
290	не просто	20	3
291	но еще	2	3
292	по его	2	3
293	она в	3	3
294	и только	6	3
295	как на	6	3
296	что именно	10	3
297	но он	3	3
298	в каком	9	2
299	и смерть	3	2
300	вот как	2	2
301	от всего	6	2
302	когда же	2	2
303	только от	2	2
304	как именно	2	2
305	именно так	2	2
306	в это	4	2
307	даже не	8	2
308	история это	2	2
309	них как	2	2
310	также не	3	2
311	говоря о	3	2
312	что с	2	2
313	в их	2	2
314	от своего	2	2
315	после этого	2	2
316	так что	11	2
317	людей и	2	2
318	утверждает что	3	2
319	быть в	4	2
320	на основании	3	2
321	нем не	2	2
322	только потому	4	2
323	она была	3	2
324	не могу	2	2
325	в бытии	2	2
326	жизнь в	2	2
327	солнца и	2	2
328	могут быть	5	2
329	быть может	3	2
330	чего не	7	2
331	в процессе	2	2
332	можно ли	6	2
333	не предполагает	2	2
334	все остальное	4	2
