N	2gram	Berdyaev_M	TeoriaLi
1	– это	2	33
2	в мире	12	26
3	не только	42	24
4	и в	61	24
5	то есть	3	22
6	может быть	42	22
7	в том	9	20
8	– в	2	20
9	и не	26	17
10	а в	4	15
11	но и	34	14
12	так и	5	14
13	а не	36	14
14	в себе	12	14
15	но не	8	13
16	в этом	34	12
17	то же	4	12
18	но в	12	12
19	в его	10	12
20	том что	7	11
21	точки зрения	6	11
22	и его	13	11
23	по отношению	4	10
24	лишь в	8	10
25	отношению к	4	10
26	что в	12	10
27	не в	16	9
28	в то	2	9
29	только в	7	9
30	не может	39	8
31	по своей	4	8
32	– с	2	8
33	как бы	10	8
34	в своей	18	8
35	в своем	17	7
36	себя в	6	7
37	отношение к	9	7
38	на смену	3	7
39	в самом	15	7
40	место в	4	7
41	в нем	26	7
42	то что	10	6
43	как и	14	6
44	в русской	4	6
45	уже не	8	6
46	приводит к	2	6
47	в ее	3	6
48	в основе	4	6
49	с его	6	6
50	по преимуществу	4	5
51	как в	9	5
52	как к	2	5
53	ни в	3	5
54	в виду	2	5
55	для того	4	5
56	для него	28	5
57	на почве	3	5
58	– его	2	5
59	между тем	2	5
60	могут быть	2	5
61	того чтобы	4	5
62	того что	13	5
63	он не	34	5
64	никогда не	30	4
65	сказать что	5	4
66	в отношении	6	4
67	его в	6	4
68	это не	10	4
69	и ее	2	4
70	– не	6	4
71	в их	4	4
72	в этих	6	4
73	что он	16	4
74	по своему	3	4
75	к тому	6	4
76	мира и	6	4
77	входит в	3	4
78	в свою	5	4
79	личности и	3	4
80	личности в	4	4
81	со своей	2	4
82	отношении к	4	4
83	и что	4	4
84	отношения к	6	4
85	в нашем	2	4
86	не знает	12	4
87	хотя и	2	4
88	но он	17	4
89	и то	2	3
90	направленной на	2	3
91	и потому	17	3
92	во всех	3	3
93	– все	5	3
94	о чем	3	3
95	в которой	8	3
96	не все	3	3
97	и для	7	3
98	в иной	3	3
99	человека с	2	3
100	и как	3	3
101	если бы	5	3
102	роль в	2	3
103	мира в	2	3
104	он должен	4	3
105	подобно тому	2	3
106	одним из	2	3
107	с этой	4	3
108	в момент	3	3
109	и вот	7	3
110	ни к	2	3
111	никто не	3	3
112	есть в	3	3
113	в жизни	7	3
114	потому что	25	3
115	тому как	2	3
116	прежде всего	18	3
117	человеческой жизни	4	3
118	и к	9	3
119	мог бы	5	3
120	не будет	3	3
121	все эти	3	3
122	и по	4	3
123	человека к	10	3
124	принадлежит к	3	3
125	в этой	12	3
126	в каком	2	2
127	чтобы не	4	2
128	только и	7	2
129	но она	3	2
130	к одному	2	2
131	не от	3	2
132	не могут	6	2
133	значительной степени	2	2
134	то в	2	2
135	так же	5	2
136	если в	2	2
137	сознания в	2	2
138	личности к	2	2
139	человека и	19	2
140	что она	5	2
141	с их	2	2
142	за пределы	5	2
143	говорит что	3	2
144	свободы но	6	2
145	отличается от	2	2
146	об этом	2	2
147	но на	2	2
148	в конце	11	2
149	и здесь	6	2
150	лишь один	2	2
151	на деле	4	2
152	я и	3	2
153	это и	7	2
154	способность к	2	2
155	жизни в	3	2
156	в значительной	2	2
157	от своего	2	2
158	у нас	13	2
159	к своему	2	2
160	от свободы	5	2
161	у него	38	2
162	самом деле	2	2
163	ведет к	16	2
164	в чем	3	2
165	вместе с	7	2
166	с человеком	2	2
167	самим собою	2	2
168	к нему	8	2
169	тот кто	5	2
170	а для	2	2
171	и это	16	2
172	тому что	2	2
173	от всех	2	2
174	о том	5	2
175	в самой	8	2
176	что такое	2	2
177	о себе	3	2
178	и мира	3	2
179	оно не	3	2
180	должен быть	4	2
181	и на	9	2
182	на этом	5	2
183	к чему	5	2
184	всякий раз	2	2
185	он и	2	2
186	один из	9	2
187	в них	5	2
188	по себе	2	2
189	мира с	2	2
190	жизни а	3	2
191	в той	3	2
192	что и	6	2
193	перед ним	3	2
194	духовной жизни	3	2
195	в последней	2	2
196	к другому	4	2
197	себя и	6	2
198	все это	6	2
199	что они	4	2
200	как будто	4	2
201	анны карениной	2	2
202	жизни то	2	2
203	я не	4	2
204	не принадлежит	3	2
205	xix века	4	2
206	быть и	2	2
