N	2gram	Losev_Prob	VeschiIm
1	не есть	57	79
2	и не	56	57
3	вещи есть	3	55
4	не только	33	48
5	то что	42	48
6	не может	14	46
7	и в	62	45
8	вещи и	9	40
9	и есть	9	40
10	может быть	39	39
11	и т	20	39
12	т д	20	38
13	а не	28	37
14	значит что	13	32
15	это значит	12	30
16	потому что	40	25
17	было бы	14	24
18	не просто	36	24
19	в себе	23	23
20	что она	5	23
21	по себе	36	23
22	только в	33	23
23	сказать что	24	22
24	и что	9	22
25	в смысле	2	22
26	и следовательно	3	20
27	что такое	4	20
28	как бы	11	20
29	и ее	7	19
30	с нею	2	19
31	что это	3	19
32	но и	20	19
33	что же	9	19
34	есть только	5	18
35	все же	10	18
36	в этом	25	18
37	есть не	13	17
38	и это	11	17
39	прежде всего	13	17
40	так как	14	17
41	что мы	12	17
42	оно есть	2	16
43	того что	10	16
44	самой вещи	4	16
45	таким образом	13	16
46	как раз	11	16
47	от всего	3	15
48	в том	35	15
49	как и	15	15
50	в ней	12	15
51	уже не	12	15
52	не в	21	14
53	и то	17	14
54	но это	13	14
55	вещь есть	2	14
56	том что	25	13
57	а и	2	13
58	есть и	2	13
59	это и	11	13
60	не будет	3	13
61	и больше	4	13
62	и для	5	13
63	в самом	4	13
64	то ни	7	13
65	ничего не	4	12
66	иное как	6	12
67	но если	12	12
68	вещей и	2	12
69	совершенно не	7	12
70	есть ни	4	12
71	что в	11	12
72	больше ничего	3	12
73	точки зрения	14	12
74	она есть	2	12
75	что и	11	12
76	что они	8	12
77	есть то	5	12
78	и как	4	12
79	не что	6	12
80	то же	23	12
81	ни было	5	12
82	еще не	12	12
83	что иное	6	12
84	смысл вещи	3	12
85	между собою	5	12
86	и даже	21	12
87	о том	14	12
88	если мы	24	12
89	и с	11	12
90	есть нечто	22	12
91	не значит	3	12
92	бы то	5	12
93	еще и	10	11
94	в то	18	11
95	не менее	24	11
96	что не	4	11
97	вовсе не	62	11
98	содержит в	13	11
99	себя в	4	11
100	тем не	23	11
101	д и	5	11
102	также и	22	11
103	ни в	17	11
104	и только	10	11
105	крайней мере	9	10
106	сама вещь	2	10
107	в чем	5	10
108	что оно	4	10
109	с ее	5	10
110	по крайней	9	10
111	вещь не	2	10
112	ясно что	11	10
113	это не	10	9
114	нисколько не	2	9
115	так что	21	9
116	в своем	7	9
117	то и	9	9
118	она не	3	9
119	другими словами	9	9
120	бы и	7	9
121	хотя бы	6	9
122	бы в	3	9
123	в результате	8	9
124	если оно	3	9
125	у нас	17	9
126	на то	6	9
127	но не	6	9
128	ни с	5	9
129	но что	3	9
130	говорить о	7	9
131	и его	12	9
132	с ним	11	9
133	в отношении	4	8
134	его в	4	8
135	и потому	13	8
136	указывает на	13	8
137	даже не	3	8
138	что он	16	8
139	что тут	4	8
140	но в	17	8
141	в ее	6	8
142	мы не	15	8
143	все это	9	8
144	это есть	5	8
145	можно сказать	10	8
146	только и	9	8
147	по сравнению	3	8
148	с другими	6	8
149	мы имеем	7	8
150	отличается от	8	8
151	в свете	4	8
152	если бы	9	8
153	с тем	9	8
154	для него	4	8
155	с другой	14	8
156	со своим	2	8
