N	2gram	Vygotskiy_	TeoriaLi
1	в качестве	2	33
2	не только	24	24
3	и в	55	24
4	в частности	6	23
5	то есть	16	22
6	состоит в	3	22
7	может быть	34	22
8	в том	50	20
9	при этом	11	20
10	и не	19	17
11	а в	7	15
12	но и	16	14
13	так и	6	14
14	а не	16	14
15	в себе	13	14
16	но не	9	13
17	представляет собой	2	13
18	в этом	30	12
19	то же	16	12
20	произведение искусства	10	12
21	но в	7	12
22	сводится к	7	12
23	в его	8	12
24	том что	46	11
25	точки зрения	15	11
26	и его	10	11
27	по отношению	3	10
28	отношению к	2	10
29	как это	16	10
30	что в	43	10
31	в данном	4	9
32	не в	12	9
33	в искусстве	12	9
34	в душе	2	9
35	с другой	12	9
36	в то	6	9
37	только в	12	9
38	не может	15	8
39	как бы	33	8
40	в своей	8	8
41	же время	2	8
42	или иной	2	7
43	в своем	12	7
44	мы имеем	10	7
45	себя в	4	7
46	в области	2	7
47	отличие от	3	7
48	в самом	18	7
49	в отличие	3	7
50	в нем	13	7
51	другой стороны	8	6
52	конечном счете	2	6
53	в конечном	2	6
54	со стороны	3	6
55	героя и	9	6
56	еще не	6	6
57	то что	69	6
58	как и	9	6
59	приводит к	2	6
60	между ними	2	6
61	в состав	3	6
62	в ее	3	6
63	в основе	9	6
64	с его	6	6
65	данном случае	4	5
66	по преимуществу	2	5
67	художественного произведения	3	5
68	как в	4	5
69	ни в	5	5
70	в виду	5	5
71	и тем	6	5
72	не является	3	5
73	для того	45	5
74	и о	5	5
75	в пределах	3	5
76	для него	5	5
77	искусства в	7	5
78	между тем	4	5
79	могут быть	8	5
80	в художественном	4	5
81	того чтобы	43	5
82	того что	12	5
83	он не	10	5
84	в себя	2	5
85	можно сказать	4	5
86	никогда не	15	4
87	сказать что	14	4
88	в отношении	2	4
89	его в	2	4
90	в воображении	3	4
91	это не	9	4
92	во времени	2	4
93	так в	4	4
94	искусства но	2	4
95	в форме	2	4
96	в другом	3	4
97	в силу	3	4
98	в их	3	4
99	одного и	2	4
100	в этих	3	4
101	что он	30	4
102	эстетический объект	3	4
103	далеко не	4	4
104	к тому	12	4
105	речи и	2	4
106	для читателя	2	4
107	того же	5	4
108	в свою	3	4
109	в целом	7	4
110	произведения искусства	2	4
111	и того	2	4
112	и что	45	4
113	отношения к	2	4
114	в нашем	3	4
115	не знает	2	4
116	но он	6	4
117	даже в	2	3
118	и то	12	3
119	перед нами	5	3
120	и потому	8	3
121	во всех	6	3
122	из этих	4	3
123	одной стороны	15	3
124	о чем	4	3
125	в которой	4	3
126	не все	3	3
127	в противоположность	3	3
128	и для	13	3
129	и как	10	3
130	области искусства	3	3
131	если бы	21	3
132	или в	6	3
133	он должен	8	3
134	художественное произведение	5	3
135	как говорит	6	3
136	в таком	4	3
137	с этой	5	3
138	и вот	7	3
139	была бы	4	3
140	в романе	2	3
141	никто не	4	3
142	между собой	2	3
143	с одной	15	3
144	и др	2	3
145	а с	7	3
146	не с	2	3
147	и составляет	4	3
148	в жизни	2	3
149	искусства и	8	3
150	столь же	3	3
151	их в	4	3
152	именно в	9	3
153	потому что	48	3
154	в сторону	2	3
155	тому как	3	3
156	прежде всего	6	3
157	к его	2	3
158	и к	5	3
159	этом смысле	4	3
160	только не	5	3
161	мог бы	3	3
162	от себя	2	3
163	не будет	3	3
164	с точки	5	3
165	все эти	5	3
166	о ней	2	3
167	той или	2	3
168	связи с	2	3
169	таким образом	35	3
170	например в	2	3
171	в этой	15	3
172	имеет место	3	3
173	в одном	5	3
174	как раз	19	3
175	вовсе не	8	3
176	вслед за	3	3
177	одно и	3	2
178	в каком	7	2
179	но она	3	2
180	не могли	4	2
181	видим в	2	2
182	могла бы	4	2
183	не могут	4	2
184	так же	19	2
185	но как	3	2
186	с чем	3	2
187	дело в	4	2
188	что она	10	2
189	искусства как	5	2
190	говорит что	13	2
191	это было	4	2
192	в глаза	2	2
193	отличается от	4	2
194	об этом	5	2
195	и даже	4	2
196	в конце	10	2
197	и здесь	11	2
198	сама по	3	2
199	на деле	9	2
200	в катарсисе	7	2
201	но во	2	2
202	это и	7	2
203	события в	3	2
204	превращается в	2	2
205	времени и	5	2
206	это делает	3	2
207	казалось бы	11	2
208	искусство есть	6	2
209	у нас	7	2
210	только на	4	2
211	и другие	3	2
212	у него	9	2
213	это может	2	2
214	самом деле	17	2
215	в рассказе	2	2
216	может и	2	2
217	вместе с	16	2
218	не могло	2	2
219	в какой	5	2
220	здесь мы	2	2
221	одной из	2	2
222	для понимания	3	2
223	жизни но	3	2
224	вытекает из	2	2
225	и является	2	2
226	искусства если	2	2
227	и это	13	2
228	ее в	2	2
229	тому что	11	2
230	могло быть	2	2
231	о том	24	2
232	однако эта	2	2
233	что такое	2	2
234	строго говоря	2	2
235	могли бы	6	2
236	есть как	2	2
237	мы легко	5	2
238	если мы	24	2
239	образом и	3	2
240	оно не	2	2
241	должен быть	3	2
242	в прозе	2	2
243	и на	12	2
244	этой точки	3	2
245	на этом	11	2
246	из которых	5	2
247	всякий раз	6	2
248	в известном	2	2
249	один из	9	2
250	в них	7	2
251	в поэзии	5	2
252	по себе	13	2
253	что может	2	2
254	несмотря на	5	2
255	жизни а	2	2
256	в той	3	2
257	к жизни	2	2
258	мы в	3	2
259	что и	11	2
260	двоякого рода	3	2
261	перед ним	2	2
262	а затем	2	2
263	в последней	3	2
264	к другому	2	2
265	в стихе	4	2
266	и наоборот	2	2
267	имеет дело	4	2
268	себя и	3	2
269	заключается в	13	2
270	не просто	6	2
271	все это	8	2
272	только о	2	2
273	что они	11	2
274	как будто	7	2
275	во внешнем	2	2
276	этих двух	8	2
277	тем же	3	2
278	чем это	4	2
279	быть и	2	2
280	полагал что	2	2
