N	3gram	Bakhtin_Fr	VLabPisa
1	в этом отношении	7	14
2	с другой стороны	2	8
3	не может быть	4	8
4	более или менее	2	6
5	в то же	14	5
6	в том что	8	5
7	то же время	14	5
8	вместе с тем	2	4
9	можно сказать что	4	4
10	в связи с	5	4
11	мы видели что	2	3
12	подобно тому как	2	3
13	для того чтобы	8	3
14	и др в	2	3
15	и в то	3	3
16	хотя бы в	2	3
17	о том как	2	3
18	о том что	5	3
19	это и есть	2	3
20	во всех этих	2	2
21	с одной стороны	2	2
22	в том числе	6	2
23	не только для	2	2
24	в чем же	3	2
25	том числе и	3	2
26	до сих пор	3	2
27	также и в	2	2
28	таким образом в	3	2
29	в другом месте	3	2
30	можно было бы	2	2
