N	2gram	Voloshinov	KulturaY
1	и в	13	84
2	в том	2	74
3	не только	6	60
4	точки зрения	7	59
5	в этом	2	57
6	было бы	4	53
7	и не	8	52
8	может быть	8	47
9	том что	2	44
10	что в	3	44
11	в самом	2	41
12	самом деле	3	37
13	хотя бы	5	37
14	так как	3	36
15	с точки	5	36
16	в области	2	34
17	таким образом	6	33
18	а не	2	33
19	если бы	2	32
20	не в	3	30
21	прежде всего	9	30
22	в его	7	30
23	и пр	7	30
24	все же	5	29
25	не менее	2	28
26	все эти	2	28
27	в языке	2	26
28	не может	8	25
29	то что	6	25
30	вовсе не	2	25
31	с другой	2	24
32	так и	3	23
33	то же	4	23
34	только в	6	23
35	с помощью	2	23
36	но и	3	20
37	но в	4	19
38	языка и	5	19
39	зависимости от	2	19
40	тем что	2	19
41	что же	3	19
42	между тем	2	18
43	все это	4	18
44	к тому	2	18
45	как бы	6	18
46	другой стороны	2	17
47	о языке	2	17
48	слова и	2	17
49	в зависимости	2	16
50	тот же	2	16
51	по отношению	3	15
52	и тем	2	15
53	а в	2	15
54	при этом	2	15
55	в данном	2	15
56	лишь в	4	15
57	в них	2	14
58	в связи	2	14
59	отношению к	3	14
60	в ней	2	14
61	в пределах	3	13
62	там где	2	13
63	и его	12	13
64	вопроса о	4	12
65	с этой	2	12
66	как в	2	12
67	могут быть	2	12
68	говорить о	3	12
69	еще и	4	11
70	в их	3	11
71	языка как	3	11
72	те же	2	11
73	в нем	2	11
74	и то	3	11
75	уже в	2	11
76	так же	2	10
77	в общем	2	10
78	как и	3	10
79	вряд ли	3	10
80	того или	2	10
81	с этим	3	10
82	бы в	2	10
83	несмотря на	2	10
84	на фоне	4	10
85	в целом	2	9
86	и для	3	9
87	в своей	4	9
88	или иного	2	9
89	а также	2	9
90	в которой	3	9
91	не имеет	2	9
92	но для	3	9
93	в структуре	2	8
94	в своих	2	8
95	тех пор	4	8
96	в чем	2	8
97	с одной	2	8
98	в тех	2	8
99	что они	2	8
100	слов и	4	8
101	своего рода	2	8
102	да и	3	8
103	в процессе	5	7
104	в поэзии	5	7
105	одной стороны	2	7
106	языка но	2	7
107	с ними	2	7
108	речи не	2	7
109	до тех	4	7
110	в г	2	7
111	и должно	2	7
112	в одном	3	7
113	пор пока	3	7
114	учение о	2	7
115	данном случае	2	6
116	в себе	3	6
117	нуждается в	2	6
118	роль в	2	6
119	может иметь	2	6
120	от этого	2	6
121	не столько	3	6
122	в ее	3	6
123	не на	2	6
124	на язык	2	6
125	истории языка	2	6
126	за пределы	3	6
127	мы не	4	6
128	литературного языка	2	6
129	соответствии с	2	6
130	никогда не	3	5
131	в отношении	2	5
132	и к	2	5
133	мы должны	6	5
134	в другом	2	5
135	слово в	3	5
136	и при	2	5
137	смысле слова	2	5
138	в двух	4	5
139	не как	3	5
140	превращается в	3	5
141	и является	2	5
142	есть не	2	5
143	и их	7	5
144	к одному	3	4
145	в каждом	4	4
146	точку зрения	3	4
147	подойти к	2	4
148	говорить об	2	4
149	и все	3	4
150	мог бы	2	4
151	здесь мы	3	4
152	лингвистического вкуса	4	4
153	мы можем	4	4
154	социального общения	6	4
155	но ведь	5	4
156	связанные с	2	4
157	я хочу	3	4
158	в лингвистике	2	4
159	не мог	2	4
160	но мы	4	3
161	и следовательно	2	3
162	общения и	2	3
163	иное как	2	3
164	а как	2	3
165	языковых форм	2	3
166	в искусстве	3	3
167	который мы	2	3
168	но так	2	3
169	более того	2	3
170	и может	2	3
171	поставить вопрос	3	3
172	только и	4	3
173	которое мы	2	3
174	между собою	2	3
175	в целях	2	3
176	для него	2	3
177	школы и	2	3
178	и уже	3	3
179	поэтической речи	3	3
180	же слово	2	3
181	в действительности	2	2
182	конечно в	2	2
183	связанных с	2	2
184	не что	2	2
185	языком как	2	2
186	что иное	2	2
187	и др	2	2
188	поэтического языка	2	2
189	собственно говоря	2	2
190	грамматики и	2	2
191	об особой	2	2
192	пределах данной	2	2
193	к сожалению	2	2
194	думать что	2	2
195	форм но	2	2
196	мы получим	2	2
197	ее в	2	2
198	вслед за	2	2
199	отношений между	2	2
200	сознания и	2	2
201	имеет место	2	2
202	лингвистики в	2	2
203	общего с	3	2
204	не является	4	2
205	ничего общего	3	2
206	понятно что	3	2
207	с историей	2	2
208	ни один	3	2
209	языковых средств	5	2
210	языкового материала	2	2
211	разумеется что	2	2
212	что эта	2	2
213	и историей	2	2
214	поэтического произведения	3	2
215	во всем	2	2
216	чем же	2	2
217	связана с	3	2
218	материалом для	2	2
