N	2gram	Ircho_Kome	Hudozhes
1	в качестве	8	31
2	в мире	3	24
3	и в	40	23
4	не только	12	20
5	в том	19	20
6	может быть	16	19
7	при этом	5	19
8	в частности	7	18
9	и не	19	16
10	но и	14	14
11	в рамках	3	13
12	а в	9	13
13	в себе	3	13
14	но не	3	13
15	то же	7	12
16	такого рода	6	12
17	в этом	9	12
18	и его	17	12
19	так и	17	12
20	как бы	3	11
21	точки зрения	7	11
22	в его	8	11
23	но в	6	10
24	по отношению	5	10
25	отношению к	5	10
26	не в	8	9
27	том что	19	9
28	не может	3	9
29	с другой	7	9
30	в то	14	8
31	себя в	2	8
32	в принципе	3	8
33	в области	3	8
34	в самом	5	7
35	по своей	2	7
36	отношение к	3	7
37	в своей	3	7
38	только в	6	7
39	же время	5	7
40	как это	7	7
41	что в	12	7
42	отличие от	4	7
43	в отличие	3	7
44	в состав	2	6
45	другой стороны	6	6
46	а также	5	6
47	в нем	8	6
48	с ее	2	6
49	в ее	2	6
50	с его	4	6
51	или менее	2	6
52	ни в	9	5
53	или иначе	4	5
54	могут быть	3	5
55	и одновременно	3	5
56	место в	7	5
57	для того	3	5
58	того чтобы	4	5
59	в виду	2	5
60	а на	2	5
61	со стороны	3	5
62	в их	6	5
63	не является	2	5
64	что он	11	5
65	то что	8	5
66	не менее	6	5
67	прежде всего	8	5
68	в отношении	6	4
69	его в	6	4
70	это не	2	4
71	для себя	2	4
72	так в	6	4
73	к тому	15	4
74	между тем	9	4
75	в форме	2	4
76	в другом	5	4
77	однако в	4	4
78	в силу	4	4
79	и как	3	4
80	еще не	7	4
81	к которому	4	4
82	и тем	2	4
83	и что	2	4
84	говорить о	3	4
85	в этих	5	4
86	он не	5	4
87	не следует	2	4
88	и о	3	4
89	в себя	3	4
90	в своем	6	4
91	хотя и	6	4
92	со своей	3	4
93	так или	4	4
94	даже в	3	3
95	к нему	5	3
96	и для	4	3
97	по своему	5	3
98	и притом	2	3
99	и ее	5	3
100	как и	12	3
101	того же	4	3
102	потому что	8	3
103	о чем	2	3
104	одной стороны	5	3
105	том числе	4	3
106	в целом	6	3
107	в противоположность	2	3
108	к его	3	3
109	в свою	2	3
110	и к	2	3
111	во всех	4	3
112	тем не	3	3
113	из этих	5	3
114	связи с	3	3
115	и на	9	3
116	мог бы	3	3
117	если бы	4	3
118	в той	2	3
119	как раз	4	3
120	художественного мышления	4	3
121	с этой	3	3
122	в связи	3	3
123	таким образом	13	3
124	и сам	5	3
125	в которой	9	3
126	никто не	3	3
127	принадлежит к	2	3
128	как правило	5	3
129	этом смысле	2	3
130	в одном	10	3
131	с одной	5	3
132	перед лицом	5	3
133	но он	2	3
134	о том	12	2
135	одной из	6	2
136	в литературе	2	2
137	одна из	4	2
138	как в	8	2
139	не могли	2	2
140	право на	2	2
141	и это	3	2
142	ее в	2	2
143	могла бы	2	2
144	тому что	4	2
145	при всем	3	2
146	идет о	5	2
147	в самой	2	2
148	еще и	2	2
149	столь же	9	2
150	в чем	3	2
151	или в	5	2
152	со временем	2	2
153	именно в	5	2
154	времени в	2	2
155	не всегда	2	2
156	не все	2	2
157	вслед за	4	2
158	времени и	2	2
159	что она	3	2
160	с их	4	2
161	за пределы	2	2
162	я думаю	2	2
163	так же	4	2
164	об этом	2	2
165	может служить	2	2
166	из которых	5	2
167	и по	6	2
168	в известном	2	2
169	отнюдь не	2	2
170	один из	9	2
171	в них	7	2
172	по себе	2	2
173	в порядке	2	2
174	не вполне	2	2
175	речь идет	6	2
176	несмотря на	5	2
177	в комедии	36	2
178	роль в	2	2
179	на этом	3	2
180	мира в	5	2
181	все это	7	2
182	с ними	2	2
183	о его	5	2
184	из этого	2	2
185	что и	10	2
186	то ни	4	2
187	в году	3	2
188	ни было	4	2
189	и особенно	7	2
190	одним из	3	2
191	и другие	3	2
192	нового времени	7	2
193	а затем	4	2
194	в финале	2	2
195	и более	2	2
196	в нашем	2	2
197	в этой	9	2
198	который в	2	2
199	в какой	2	2
200	вовсе не	3	2
201	чем это	2	2
202	у него	6	2
203	бы то	4	2
