N	2gram	Bakhtin_Pr	Vvedenie
1	и т	14	45
2	в том	8	38
3	в этом	15	35
4	и в	38	35
5	том что	3	30
6	может быть	26	30
7	не только	9	26
8	для того	2	23
9	того чтобы	2	22
10	таким образом	10	21
11	также и	3	20
12	не может	27	19
13	то что	8	19
14	о том	4	16
15	только в	13	16
16	и не	42	13
17	что в	7	13
18	в самом	7	13
19	в нем	15	13
20	и именно	2	13
21	в их	10	12
22	того что	2	12
23	точки зрения	8	12
24	в его	43	12
25	этом смысле	3	11
26	в данном	4	11
27	то же	5	11
28	в ее	4	11
29	как мы	7	11
30	ясно что	3	11
31	не в	7	10
32	прежде всего	13	10
33	но в	4	10
34	между тем	7	10
35	тем не	3	9
36	и как	8	9
37	все же	6	9
38	но не	12	9
39	не менее	4	9
40	дело с	6	9
41	в истории	2	9
42	это не	5	8
43	можно было	4	8
44	о котором	2	8
45	с другой	7	8
46	а только	2	8
47	как нечто	3	8
48	самом деле	6	7
49	как и	7	7
50	как бы	22	7
51	смысле слова	2	7
52	но и	9	7
53	только как	6	7
54	было бы	8	7
55	в применении	3	7
56	сказать что	4	6
57	его в	9	6
58	не могут	2	6
59	хотя бы	4	6
60	и даже	3	6
61	применении к	3	6
62	тем что	2	6
63	в какой	2	6
64	и это	3	6
65	а в	6	6
66	могут быть	5	6
67	в то	4	6
68	и что	2	6
69	и его	16	6
70	все это	3	6
71	же время	3	6
72	вовсе не	2	6
73	данном случае	4	5
74	независимо от	13	5
75	дело в	2	5
76	имеет дело	9	5
77	в виду	4	5
78	и тем	3	5
79	а как	3	5
80	что он	2	5
81	т п	13	5
82	что не	4	5
83	как это	2	5
84	на почве	3	5
85	есть не	2	5
86	не есть	6	5
87	другой стороны	4	5
88	в них	5	5
89	в целом	3	5
90	что и	2	5
91	языка в	3	5
92	говорить о	3	5
93	а не	5	5
94	но с	3	5
95	хотя и	3	5
96	да и	3	4
97	мы имеем	2	4
98	одной стороны	3	4
99	и ее	2	4
100	в области	11	4
101	по отношению	21	4
102	в каждом	2	4
103	должен быть	2	4
104	в особенности	2	4
105	этом отношении	2	4
106	еще не	7	4
107	отношению к	19	4
108	в чем	2	4
109	отличие от	5	4
110	в отличие	5	4
111	с одной	3	4
112	одной из	3	4
113	и для	11	4
114	не имеет	9	4
115	об искусстве	3	4
116	в котором	2	4
117	в виде	2	4
118	в более	4	4
119	не вполне	2	4
120	здесь нет	2	4
121	в себе	4	4
122	с точки	6	4
123	в своей	7	4
124	можно сказать	2	4
125	никогда не	5	3
126	одна из	2	3
127	и вообще	2	3
128	что это	2	3
129	только по	4	3
130	или иной	2	3
131	в своем	5	3
132	в строгом	2	3
133	в начале	2	3
134	к этому	2	3
135	в другом	2	3
136	в значительной	2	3
137	отношение к	10	3
138	и здесь	2	3
139	если бы	3	3
140	в этих	2	3
141	язык в	2	3
142	в частности	2	3
143	как в	4	3
144	или как	3	3
145	здесь все	2	3
146	этой науки	2	3
147	не с	4	3
148	как такового	3	3
149	об отдельных	2	3
150	человеческой культуры	6	3
151	вообще не	7	3
152	можно говорить	2	3
153	к нему	10	3
154	и на	3	3
155	в известной	3	3
156	в ней	4	3
157	входит в	8	3
158	в конечном	4	3
159	и к	3	3
160	на этом	2	3
161	между ними	4	3
162	из которых	2	3
163	нуждается в	2	3
164	здесь не	4	3
165	при этом	5	3
166	все эти	5	3
167	той или	2	3
168	связи с	2	3
169	этой области	2	3
170	и есть	2	3
171	не следует	2	3
172	же самое	2	3
173	в слове	3	3
174	строгом смысле	2	3
175	и других	2	3
176	чем в	2	3
177	в таких	2	2
178	ничего не	6	2
179	о которых	2	2
180	у нас	2	2
181	и потому	4	2
182	иметь дело	2	2
183	мы должны	2	2
184	во всех	11	2
185	не совпадает	2	2
186	но как	2	2
187	для нее	8	2
188	есть только	2	2
189	должно быть	5	2
190	момента в	2	2
191	действительности в	2	2
192	не нужно	5	2
193	в форме	4	2
194	что оно	2	2
195	как явление	2	2
196	не могли	2	2
197	и те	2	2
198	в связи	2	2
199	том же	2	2
200	и при	2	2
201	и другие	2	2
202	в работах	2	2
203	так и	5	2
204	ни к	2	2
205	к своему	2	2
206	лишь как	4	2
207	и др	8	2
208	следует что	2	2
209	и должно	3	2
210	своего содержания	2	2
211	языка как	2	2
212	искусства и	3	2
213	ни с	2	2
214	имеют дело	3	2
215	есть лишь	3	2
216	на то	2	2
217	можно только	6	2
218	в своих	2	2
219	ни одна	2	2
220	в свою	2	2
221	и с	17	2
222	к действительности	3	2
223	произведения и	2	2
224	но это	3	2
225	мы можем	6	2
226	языка но	2	2
227	себя в	2	2
228	несмотря на	3	2
229	не было	2	2
230	познания и	30	2
231	в тех	3	2
232	природы и	3	2
233	как только	3	2
234	должна быть	4	2
235	случае не	2	2
236	например в	3	2
237	во всем	2	2
238	в дальнейшем	3	2
239	художественных произведений	2	2
240	не к	6	2
241	рядом с	5	2
242	по существу	2	2
243	со словом	5	2
244	с помощью	7	2
245	но зато	2	2
