N	2gram	Vinokur_St	Psycholo
1	то что	27	193
2	и в	61	190
3	в том	56	163
4	что в	41	123
5	потому что	13	114
6	том что	49	113
7	и что	8	108
8	может быть	16	107
9	таким образом	16	102
10	в этом	37	100
11	то есть	2	97
12	в самом	14	82
13	как бы	8	80
14	для того	15	78
15	того чтобы	15	78
16	что он	23	76
17	не только	36	75
18	на то	5	73
19	и не	23	73
20	что она	5	71
21	самом деле	14	70
22	и т	36	69
23	точки зрения	16	69
24	не может	10	68
25	так как	7	63
26	так же	7	63
27	было бы	21	56
28	если бы	11	55
29	то же	7	54
30	о том	30	54
31	при этом	4	52
32	как и	11	51
33	что и	8	50
34	а не	19	50
35	что это	5	49
36	заключается в	5	46
37	только в	11	46
38	в сущности	2	46
39	сказать что	9	46
40	по себе	3	46
41	к тому	9	45
42	говорит что	4	45
43	не в	15	45
44	в этой	13	43
45	ясно что	10	43
46	никогда не	7	42
47	и все	3	42
48	вместе с	5	41
49	как это	6	40
50	но и	28	40
51	при помощи	4	39
52	как раз	10	39
53	того что	14	39
54	т п	11	38
55	и это	4	37
56	и как	2	36
57	с тем	3	35
58	вовсе не	24	34
59	и его	11	34
60	как на	10	34
61	что все	3	33
62	все же	12	33
63	тому что	8	33
64	все это	13	32
65	в себе	3	32
66	в ней	9	31
67	мы не	3	31
68	в его	19	31
69	он не	11	31
70	для нас	7	31
71	как будто	5	30
72	как в	15	30
73	с одной	3	29
74	и для	4	29
75	с точки	10	29
76	одной стороны	2	29
77	в нем	9	29
78	что мы	5	28
79	что они	9	28
80	и то	6	28
81	в основе	4	27
82	с другой	11	27
83	в своих	2	27
84	а в	18	27
85	и на	7	27
86	в трагедии	13	26
87	так что	8	26
88	совершенно не	7	26
89	и здесь	2	25
90	жизни и	6	25
91	до конца	4	24
92	в целом	5	24
93	до сих	13	24
94	тем что	6	24
95	в своем	8	23
96	сих пор	12	23
97	для этого	2	23
98	целый ряд	3	23
99	могут быть	5	23
100	что оно	4	23
101	и даже	8	22
102	т д	25	22
103	что у	8	22
104	с этим	6	22
105	между тем	7	22
106	из них	11	22
107	всякий раз	2	22
108	в своей	12	21
109	в конце	5	21
110	но только	2	21
111	ни в	5	21
112	в котором	11	21
113	в которых	5	21
114	что эта	5	21
115	той же	5	21
116	и только	3	21
117	в двух	4	21
118	она не	3	20
119	все эти	7	20
120	в то	10	20
121	тот же	2	20
122	это не	8	20
123	дело с	2	20
124	несмотря на	4	20
125	там где	6	20
126	мы имеем	2	20
127	другой стороны	9	20
128	в ее	6	19
129	в какой	4	19
130	у него	3	19
131	в одном	7	19
132	что при	3	19
133	в каком	4	18
134	на самом	8	18
135	но в	16	18
136	что с	4	18
137	но не	5	18
138	в которой	13	18
139	с этой	5	18
140	можно было	14	18
141	зависимости от	2	18
142	в виду	6	17
143	что для	4	17
144	только не	2	17
145	во всяком	8	17
146	у нас	12	17
147	из этих	7	17
148	но это	9	17
149	и о	4	17
150	время как	2	17
151	так и	15	16
152	самого начала	3	16
153	не имеет	5	16
154	говорит о	5	16
155	и к	5	16
156	и тем	3	16
157	же как	5	16
158	то это	3	16
159	к этому	4	16
160	с самого	4	16
161	в таком	4	16
162	и потому	3	15
163	в зависимости	2	15
164	как говорит	3	15
165	еще не	4	15
166	не могут	2	15
167	о которых	3	15
168	что именно	2	15
169	в частности	6	15
170	в них	2	15
171	во всех	8	15
172	в результате	5	15
173	для него	10	15
174	и так	3	15
175	о котором	2	15
176	не просто	2	15
177	что на	3	14
178	с той	3	14
179	факт что	6	14
180	должна быть	3	14
181	хотя бы	8	14
182	столь же	5	14
183	по существу	3	14
184	есть только	2	14
185	это и	5	14
186	прежде всего	11	14
187	в области	16	14
188	того как	8	14
189	при таком	2	14
190	бы в	2	14
191	этом отношении	13	14
192	такой же	6	14
193	всяком случае	8	14
194	то время	2	14
195	этих двух	4	14
196	но он	5	14
197	должен был	5	13
198	как он	3	13
199	а с	6	13
200	могло бы	3	13
201	речь идет	6	13
202	именно в	8	13
203	этот вопрос	6	13
204	со стороны	7	13
205	и он	2	13
206	в той	9	13
207	но если	5	12
208	идет о	3	12
209	того же	4	12
210	что этот	3	12
211	в этих	5	12
212	их в	2	12
213	конце концов	2	12
214	ничего не	6	12
215	тот факт	5	12
216	и очень	5	12
217	не менее	8	12
218	и другие	3	12
219	в основу	5	12
220	что не	3	12
221	и до	2	12
222	например в	8	12
223	я не	13	12
224	это в	4	12
225	и уже	3	12
226	об этом	9	12
227	и с	6	12
228	бы мы	2	11
229	как к	3	11
230	он должен	2	11
231	были бы	2	11
232	оба эти	4	11
233	так например	12	11
234	и сейчас	6	11
235	поэзии и	3	11
236	этого слова	2	11
237	думать что	2	11
238	его в	4	11
239	по поводу	13	11
240	у шекспира	3	11
241	на все	2	11
242	была бы	10	11
243	с его	3	11
244	на это	2	11
245	есть в	2	11
246	на этот	5	11
247	раз в	4	11
248	уже в	3	11
249	не было	7	11
250	конечно не	2	11
251	данном случае	7	10
252	в тех	5	10
253	в другом	5	10
254	что ни	2	10
255	не так	2	10
256	это было	2	10
257	отличается от	2	10
258	не является	5	10
259	материала и	2	10
260	и их	3	10
261	в одной	3	10
262	и у	2	10
263	в их	3	10
264	совсем не	3	10
265	надо сказать	2	10
266	в данном	16	10
267	по мнению	4	10
268	сами по	2	10
269	ее в	2	10
270	и от	2	10
271	тому же	2	10
272	бы не	2	9
273	вопрос о	9	9
274	тем самым	2	9
275	на основании	2	9
276	который не	3	9
277	на его	2	9
278	и по	6	9
279	внимание на	5	9
280	на него	3	9
281	что трагедия	3	9
282	мысль о	2	9
283	каждого из	3	9
284	но все	9	9
285	должен быть	3	9
286	во внимание	2	9
287	и именно	2	9
288	о чем	4	9
289	в виде	3	9
290	но что	2	9
291	в чем	4	9
292	по своему	2	9
293	ответ на	4	9
294	по этому	5	9
295	точно так	2	9
296	можно сказать	2	9
297	из его	3	9
298	которые не	3	9
299	по его	5	9
300	не к	2	9
301	в процессе	3	8
302	точно и	2	8
303	смысле этого	2	8
304	ссылается на	2	8
305	из того	2	8
306	гораздо более	5	8
307	такое же	2	8
308	этому поводу	4	8
309	из которого	2	8
310	что же	6	8
311	и во	3	8
312	кажется что	5	8
313	в такой	2	8
314	и более	4	8
315	в сознании	2	8
316	тем же	3	8
317	представление о	5	8
318	том как	4	8
319	бы и	4	8
320	в общем	2	8
321	место в	2	8
322	во время	5	8
323	больше чем	3	8
324	из двух	3	8
325	к нему	2	8
326	ни на	3	8
327	и вообще	5	8
328	будто бы	4	8
329	меньше всего	3	8
330	этом смысле	2	8
331	здесь совершенно	3	8
332	не как	2	7
333	что здесь	2	7
334	и эти	2	7
335	одно из	3	7
336	в руках	2	7
337	от этого	2	7
338	они не	2	7
339	ни одного	4	7
340	если это	3	7
341	должны быть	4	7
342	связи с	3	7
343	того или	4	7
344	дело в	9	7
345	и почему	4	7
346	отказаться от	2	7
347	что только	2	7
348	что такое	2	7
349	это можно	3	7
350	а как	5	7
351	а на	4	7
352	и те	4	7
353	в качестве	7	7
354	времени и	4	7
355	со всеми	2	7
356	в течение	7	7
357	на тему	2	7
358	не существует	4	7
359	совпадает с	3	7
360	в каждом	3	7
361	в отношении	11	6
362	трагедии в	3	6
363	нисколько не	3	6
364	отношение к	3	6
365	еще более	5	6
366	смотреть на	2	6
367	материал для	6	6
368	и без	4	6
369	а потому	2	6
370	не могла	2	6
371	за пределы	2	6
372	почти все	2	6
373	в стихах	2	6
374	вот что	3	6
375	не все	3	6
376	тем не	4	6
377	что как	3	6
378	на нее	3	6
379	оно не	3	6
380	за основу	2	6
381	или менее	2	6
382	в сторону	2	6
383	те которые	2	6
384	у меня	3	6
385	не дает	2	6
386	без всякого	2	6
387	даже в	5	6
388	таким путем	2	6
389	которые в	2	6
390	нуждается в	2	6
391	не потому	3	6
392	или же	3	6
393	и вся	2	6
394	для понимания	2	6
395	только с	4	6
396	она была	2	6
397	гораздо больше	2	6
398	у пушкина	17	6
399	в русской	4	6
400	он был	5	6
401	да и	4	6
402	очень часто	3	6
403	или иного	4	6
404	значит что	3	6
405	всех этих	2	6
406	из нее	3	6
407	никто не	4	6
408	что касается	4	6
409	бы что	3	6
410	более или	2	6
411	что я	3	6
412	к его	2	6
413	смысл этого	2	6
414	говорить о	3	6
415	еще и	5	5
416	что ему	2	5
417	не имеют	2	5
418	на эту	5	5
419	евгения онегина	6	5
420	вернее сказать	2	5
421	столько же	3	5
422	что то	2	5
423	и всегда	2	5
424	нас к	2	5
425	том же	3	5
426	ни одной	2	5
427	точку зрения	3	5
428	на вопрос	7	5
429	в других	2	5
430	что тот	2	5
431	в известном	3	5
432	если в	2	5
433	и теперь	2	5
434	то в	3	5
435	и самый	2	5
436	бы это	2	5
437	это очень	5	5
438	здесь дело	2	5
439	но они	3	5
440	не мог	3	5
441	им в	2	5
442	том смысле	4	5
443	критики и	2	5
444	не знает	2	5
445	бы то	2	5
446	чем в	3	5
447	в очень	4	5
448	этой области	5	5
449	к которому	4	5
450	нас не	3	5
451	в романе	4	5
452	его не	3	5
453	нет никакого	3	5
454	и насколько	2	5
455	мы находим	4	5
456	можно ли	5	5
457	хотя и	4	5
458	из этой	2	5
459	дело не	4	5
460	то или	3	5
461	не значит	3	5
462	нет ни	3	5
463	и сам	4	5
464	а то	3	5
465	своей трагедии	13	5
466	в эту	3	5
467	которых он	2	5
468	и тогда	2	5
469	отношения к	2	5
470	быть не	2	5
471	и за	3	5
472	нигде не	2	4
473	вплоть до	6	4
474	с именем	2	4
475	этого вопроса	3	4
476	в поэме	3	4
477	также и	10	4
478	от своего	2	4
479	одном из	4	4
480	к своему	3	4
481	должна была	6	4
482	не по	5	4
483	для своего	2	4
484	к сожалению	4	4
485	в уста	3	4
486	обстоятельство что	4	4
487	в истории	5	4
488	в первом	2	4
489	в применении	3	4
490	которую он	3	4
491	что от	2	4
492	без всяких	2	4
493	не до	2	4
494	это вовсе	2	4
495	применении к	3	4
496	так называемой	2	4
497	не на	3	4
498	после того	5	4
499	его жизни	3	4
500	если не	4	4
501	к числу	3	4
502	говорят что	2	4
503	или иное	3	4
504	но к	2	4
505	разница между	3	4
506	за то	5	4
507	одним и	2	4
508	трагедии то	3	4
509	случае в	4	4
510	в настоящее	2	4
511	но для	3	4
512	я думаю	11	4
513	те или	2	4
514	с исчерпывающей	2	4
515	по отношению	3	4
516	в это	3	4
517	взглянуть на	2	4
518	ли не	2	4
519	что до	3	4
520	только потому	2	4
521	борьбу с	2	4
522	настоящее время	2	4
523	мне кажется	7	4
524	может не	2	4
525	не для	3	4
526	в первой	12	4
527	литературы и	3	4
528	с которыми	3	4
529	одной из	4	4
530	т е	21	4
531	как например	2	4
532	к концу	3	4
533	чтобы сделать	2	4
534	который как	2	4
535	вытекает из	2	4
536	для своей	2	4
537	где он	2	4
538	отношении к	3	4
539	в стих	3	4
540	хотел бы	2	4
541	а между	2	4
542	основана на	2	4
543	всех трех	2	4
544	не могу	2	4
545	можно назвать	3	4
546	в некоторых	3	4
547	же время	5	4
548	ничего общего	3	4
549	в слове	5	4
550	отступает от	2	4
551	не о	2	3
552	наших глазах	2	3
553	но ведь	8	3
554	одним из	2	3
555	этого произведения	2	3
556	для себя	3	3
557	доказать что	2	3
558	по словам	7	3
559	как можно	2	3
560	значение для	2	3
561	общего с	3	3
562	стремление к	3	3
563	естественно что	2	3
564	не была	2	3
565	иметь в	2	3
566	себе целью	4	3
567	при чем	6	3
568	отвращение к	2	3
569	очень хорошо	2	3
570	именно поэтому	2	3
571	шекспира но	2	3
572	не сумел	3	3
573	можно найти	3	3
574	а также	4	3
575	что так	3	3
576	однако и	2	3
577	в наши	2	3
578	не хотел	2	3
579	кроме того	3	3
580	превращается в	2	3
581	сцены в	2	3
582	ни один	2	3
583	на почве	2	3
584	справедливо указывает	2	3
