N	3gram	Bakhtin_Fr	Myslijsy
1	в том что	8	47
2	не может быть	4	19
3	то же время	14	13
4	в то же	14	13
5	с другой стороны	2	12
6	более или менее	2	12
7	до сих пор	3	12
8	подобно тому как	2	11
9	для того чтобы	8	11
10	в то время	3	10
11	с одной стороны	2	10
12	о том что	5	9
13	но и в	3	9
14	что и в	2	9
15	на самом деле	4	8
16	вместе с тем	2	8
17	можно сказать что	4	7
18	с точки зрения	5	7
19	то же самое	3	6
20	и как бы	2	6
21	с самого начала	3	6
22	удовольствия и неудовольствия	2	6
23	таким образом в	3	5
24	между тем как	2	5
25	все то что	5	4
26	и тот же	2	4
27	в данном случае	4	4
28	мы видели что	2	4
29	в этом отношении	7	4
30	далеко не все	2	4
31	дело в том	4	4
32	то есть в	4	3
33	в первом случае	3	3
34	можно было бы	2	3
35	между человеком и	2	3
36	как и во	2	3
37	потому что он	3	3
38	в большинстве случаев	5	3
39	в связи с	5	3
40	до известной степени	4	3
41	не только для	2	2
42	и во всех	3	2
43	так же как	4	2
44	мысли и слова	2	2
45	в нем есть	2	2
46	здесь как и	2	2
47	как мы видели	4	2
48	и не в	2	2
49	о том как	2	2
50	не нуждается в	2	2
