N	2gram	Voloshinov	Sotsiolo
1	истории литературы	2	10
2	все это	3	7
3	в том	6	5
4	в этом	4	5
5	социологический метод	2	4
6	метод в	2	4
7	для нас	7	3
8	как же	2	3
9	не только	4	3
10	в его	2	3
11	не в	4	3
12	и в	12	3
13	литературы и	4	2
14	должна быть	5	2
15	отношению к	11	2
16	по отношению	11	2
17	еще не	3	2
18	по природе	2	2
19	только в	6	2
20	что в	2	2
21	том что	5	2
22	таким образом	12	2
23	то же	5	2
24	и что	2	2
25	им не	2	2
26	как только	2	2
27	то что	5	2
28	как бы	13	2
29	но и	3	2
30	за пределы	4	2
31	может быть	14	2
