N	3gram	Ircho_Kome	Narrotol
1	в том что	13	18
2	по отношению к	5	11
3	в отличие от	3	11
4	о том что	6	9
5	к тому же	12	9
6	в то же	5	8
7	тем не менее	2	8
8	в этом отношении	3	8
9	в соответствии с	2	8
10	то же время	5	8
11	с одной стороны	5	6
12	для того чтобы	3	5
13	но и в	2	5
14	к тому что	3	4
15	во всяком случае	4	4
16	то же самое	2	3
17	речь идет о	5	3
18	а то и	3	3
19	в связи с	3	3
20	на себя внимание	4	3
21	едва ли не	6	3
22	до сих пор	3	3
23	на то что	2	3
24	обращает на себя	4	3
25	можно было бы	3	2
26	в частности в	2	2
27	и т п	7	2
28	только потому что	2	2
29	тому же в	5	2
30	на этот раз	5	2
31	что у него	3	2
