N	3gram	Bakhtin_Fr	EvropaiC
1	в том что	2	16
2	до сих пор	6	15
3	по отношению к	2	11
4	с точки зрения	4	8
5	на самом деле	5	7
6	для того чтобы	5	7
7	по сравнению с	2	5
8	с другой стороны	5	4
9	в конце концов	3	4
10	может быть и	2	4
11	о том что	3	4
12	не может быть	2	4
13	в настоящее время	2	3
14	в данном случае	3	3
15	в том же	3	3
16	не подлежит сомнению	2	3
17	в связи с	5	3
18	с одной стороны	4	2
19	и все что	3	2
20	во всяком случае	2	2
21	но все же	2	2
22	то же время	13	2
23	как и в	2	2
24	в то же	13	2
25	как и все	5	2
26	только то что	2	2
27	в свою очередь	2	2
