N	3gram	Medvedev_F	slovoVRo
1	и т п	11	72
2	не может быть	11	19
3	в то же	13	18
4	то же время	13	18
5	с точки зрения	17	15
6	в отличие от	2	14
7	в большинстве случаев	5	11
8	с одной стороны	5	11
9	и т д	11	10
10	более или менее	7	9
11	т п в	2	8
12	во всяком случае	6	8
13	в зависимости от	4	8
14	но в то	3	7
15	в значительной степени	3	7
16	так и в	6	6
17	с другой стороны	4	6
18	и в то	4	6
19	но все же	2	6
20	а вовсе не	2	5
21	в том что	3	5
22	в этом отношении	7	5
23	может быть и	4	5
24	по отношению к	4	5
25	одной стороны и	4	4
26	в лучшем случае	3	4
27	для того чтобы	3	4
28	и не может	5	4
29	до сих пор	7	4
30	в свою очередь	6	4
31	не могут быть	4	4
32	в широком смысле	2	3
33	до известной степени	3	3
34	как мы видели	5	3
35	к тому что	3	3
36	между этими двумя	2	3
37	в данном случае	2	3
38	в истории литературы	4	3
39	в связи с	9	3
40	и не в	2	3
41	того или иного	6	3
42	сама по себе	2	3
43	в самом предмете	2	3
44	как если бы	2	3
45	и в частности	2	2
46	не только не	2	2
47	мы не можем	3	2
48	взаимодействии с другими	2	2
49	до последнего времени	2	2
50	языка как такового	5	2
51	же время и	2	2
52	и литературный язык	2	2
53	с самого начала	2	2
54	как бы ни	3	2
55	но и в	4	2
56	во всех своих	2	2
57	всех своих моментах	2	2
58	и в этом	6	2
59	но в этом	2	2
60	бы ни были	2	2
61	тем не менее	2	2
62	и наконец в	2	2
