N	2gram	Vygotskiy_	Poddanst
1	не только	24	17
2	и в	55	14
3	и не	19	12
4	в области	2	11
5	в этом	30	10
6	в отношении	2	10
7	но в	7	9
8	то же	16	9
9	в том	50	9
10	в качестве	2	9
11	хотя бы	5	8
12	в пределах	3	8
13	в то	6	7
14	только в	12	7
15	же время	2	7
16	но и	16	6
17	было бы	15	6
18	в ней	5	6
19	с другой	12	5
20	не в	12	5
21	и о	5	5
22	в которых	4	5
23	может быть	34	5
24	по себе	13	4
25	что в	43	4
26	если бы	21	4
27	и потому	8	4
28	в своем	12	4
29	том что	46	4
30	мы должны	10	4
31	в котором	5	4
32	и к	5	4
33	как бы	33	4
34	и если	13	4
35	то что	69	4
36	не может	15	4
37	а в	7	4
38	же в	3	4
39	что мы	12	3
40	и как	10	3
41	с тем	10	3
42	но не	9	3
43	это не	9	3
44	с точки	5	3
45	сводится к	7	3
46	сами по	2	3
47	столь же	3	3
48	мы не	8	3
49	для того	45	3
50	в себе	13	3
51	точки зрения	15	3
52	потому что	48	3
53	одной стороны	15	3
54	в нем	13	3
55	между тем	4	3
56	вслед за	3	3
57	она есть	2	3
58	могут быть	8	3
59	прежде всего	6	3
60	и т	12	3
61	тот же	5	3
62	с одной	15	3
63	заключается в	13	3
64	для нас	9	2
65	должно быть	6	2
66	да и	4	2
67	в них	7	2
68	является в	2	2
69	в жизни	2	2
70	одна из	6	2
71	есть не	7	2
72	отношения к	2	2
73	которое в	2	2
74	никак не	10	2
75	в эту	2	2
76	стороны и	5	2
77	и мы	28	2
78	и это	13	2
79	есть нечто	3	2
80	которую мы	2	2
81	и тем	6	2
82	и других	2	2
83	в его	8	2
84	с этим	4	2
85	по сравнению	4	2
86	и вот	7	2
87	со стороны	3	2
88	осуществляется в	2	2
89	именно в	9	2
90	в виде	3	2
91	еще более	2	2
92	все это	8	2
93	в частности	6	2
94	как на	15	2
95	а не	16	2
96	не было	2	2
97	мысль о	5	2
98	и есть	7	2
99	например в	2	2
100	из важнейших	2	2
101	и с	3	2
102	может и	2	2
103	во всех	6	2
104	в ее	3	2
105	в полной	2	2
106	заключает в	7	2
107	как раз	19	2
108	того что	12	2
109	думать что	3	2
110	в силу	3	2
111	главным образом	3	2
112	из них	7	2
