N	2gram	Tiupa_Narr	RusskieA
1	и в	19	79
2	в том	18	64
3	том что	14	59
4	что в	3	57
5	не только	32	41
6	в этом	17	33
7	состоит в	13	32
8	как бы	4	31
9	но и	23	31
10	как и	7	28
11	может быть	25	28
12	и на	3	28
13	одна из	3	24
14	о том	6	23
15	при этом	9	22
16	это не	2	20
17	как мы	3	20
18	а в	11	20
19	из них	3	19
20	представляют собой	2	18
21	то что	11	17
22	один из	3	15
23	будто бы	3	15
24	не менее	3	14
25	как это	6	14
26	тем не	3	14
27	и не	20	14
28	и с	4	14
29	не может	10	13
30	еще не	7	13
31	как в	7	13
32	уже не	5	13
33	между собой	2	12
34	мы имеем	2	12
35	тем что	3	12
36	что на	2	11
37	не имеет	2	11
38	далеко не	5	11
39	его в	2	10
40	так и	9	10
41	по существу	2	10
42	между тем	3	10
43	все же	7	10
44	а также	7	10
45	представляет собой	13	10
46	или в	2	10
47	данном случае	4	9
48	о чем	2	9
49	но в	6	9
50	и все	2	9
51	что они	3	9
52	то же	4	9
53	но не	6	9
54	так же	2	8
55	того что	2	8
56	одно из	2	8
57	в данном	5	8
58	на себя	3	8
59	же в	4	8
60	связи с	4	8
61	что это	3	8
62	не все	5	8
63	подобно тому	2	8
64	что по	2	8
65	тому как	2	8
66	в своем	2	7
67	ничего не	2	7
68	не в	14	7
69	а с	3	7
70	к нему	5	7
71	было бы	4	7
72	из этих	3	7
73	и как	5	7
74	только в	4	7
75	как будто	3	7
76	а не	12	7
77	в этой	5	6
78	не всегда	2	6
79	она не	2	6
80	к тому	7	6
81	в нем	4	6
82	же как	3	6
83	все эти	2	6
84	в качестве	21	6
85	а иногда	2	6
86	приводит к	2	6
87	в таком	2	6
88	и потому	2	5
89	вплоть до	2	5
90	к себе	5	5
91	что он	6	5
92	прежде всего	4	5
93	и др	2	5
94	в свою	3	5
95	в то	3	5
96	тогда как	12	5
97	в связи	2	5
98	не было	2	5
99	например в	2	5
100	в его	9	5
101	можно было	2	5
102	как правило	4	5
103	в особенности	4	5
104	не с	3	5
105	и для	2	5
106	с другой	8	5
107	отнюдь не	5	5
108	или даже	2	5
109	если в	3	4
110	и ее	2	4
111	иное как	2	4
112	не что	2	4
113	они и	2	4
114	своего рода	12	4
115	отличие от	5	4
116	не столько	4	4
117	могут быть	3	4
118	и до	2	4
119	не на	2	4
120	во всей	2	4
121	по полю	2	4
122	этого слова	2	4
123	в основе	5	4
124	по всей	2	4
125	несмотря на	2	4
126	та же	2	4
127	что иное	2	4
128	в отличие	5	4
129	но все	4	4
130	переход от	4	4
131	что у	2	4
132	именно в	6	4
133	себя внимание	3	4
134	уже в	3	4
135	в ней	3	4
136	и после	2	4
137	никогда не	3	3
138	смерти и	2	3
139	каждый из	2	3
140	в форме	5	3
141	то есть	19	3
142	обращает на	3	3
143	это и	3	3
144	или менее	2	3
145	более или	2	3
146	на другой	2	3
147	точки зрения	10	3
148	же не	4	3
149	в области	2	3
150	в какой	2	3
151	в ее	3	3
152	свою очередь	3	3
153	нет и	2	3
154	хотя и	3	3
155	имеет место	4	3
156	совершенно очевидно	2	3
157	независимо от	2	3
158	о воскресении	2	3
159	по отношению	7	3
160	другой день	2	3
161	на него	3	3
162	на первый	2	3
163	жизни в	3	3
164	а именно	3	3
165	отношению к	6	3
166	что касается	2	3
167	с одной	7	3
168	есть в	2	3
169	восходит к	3	3
170	когда он	3	3
171	из которых	4	3
172	с точки	2	3
173	сводится к	3	3
174	говорит о	2	3
175	здесь не	4	3
176	и его	5	3
177	что именно	2	3
178	тому же	5	3
179	в область	2	2
180	в себе	8	2
181	перед нами	4	2
182	вокруг него	2	2
183	не как	2	2
184	в силу	4	2
185	отношение к	2	2
186	одним из	2	2
187	и тем	4	2
188	между ними	2	2
189	в частности	14	2
190	самом деле	2	2
191	при всех	2	2
192	они не	2	2
193	в церкви	4	2
194	точка зрения	6	2
195	на свой	2	2
196	одной стороны	7	2
197	исходя из	2	2
198	о своей	2	2
199	между двумя	5	2
200	и когда	2	2
201	себя и	2	2
202	в двух	2	2
203	можно сказать	5	2
204	который в	2	2
205	для него	2	2
206	с его	6	2
207	сказать что	4	2
208	пока еще	4	2
209	все то	2	2
210	собой не	2	2
211	который по	3	2
212	он не	3	2
213	когда мы	2	2
214	другой стороны	4	2
215	и он	3	2
216	ту или	2	2
217	тем более	2	2
218	его как	2	2
219	особенно в	3	2
220	в четверг	2	2
221	в прошлом	3	2
222	и даже	3	2
223	этом отношении	3	2
224	не является	8	2
225	совершенно не	2	2
226	от одного	2	2
227	в пределах	2	2
228	не могло	2	2
229	как известно	2	2
230	не случайно	2	2
231	или иную	2	2
232	оно не	2	2
233	следует признать	2	2
234	по себе	5	2
235	к другому	2	2
236	говорить о	2	2
237	у него	4	2
