N	2gram	Vygotskiy_	Problemy
1	и в	65	106
2	и не	20	90
3	как бы	29	70
4	может быть	33	66
5	в его	11	56
6	в этом	37	52
7	в нем	8	51
8	не может	17	49
9	что он	23	44
10	как и	12	44
11	но и	6	40
12	точки зрения	19	40
13	для него	4	39
14	и его	8	39
15	а не	11	38
16	не только	16	36
17	то же	17	36
18	то что	61	33
19	но в	5	33
20	прежде всего	2	32
21	в то	5	29
22	все это	12	29
23	он не	11	29
24	и все	14	28
25	не в	12	27
26	в одном	9	27
27	к себе	2	26
28	к нему	2	25
29	в сущности	16	25
30	с точки	11	25
31	и т	19	25
32	в самом	41	25
33	и с	4	25
34	самом деле	33	24
35	вовсе не	11	24
36	слова и	3	23
37	и на	7	23
38	таким образом	21	22
39	по себе	5	22
40	как мы	12	21
41	там где	7	21
42	никогда не	9	20
43	все же	10	20
44	потому что	26	20
45	только в	9	20
46	что в	36	19
47	с его	2	19
48	что же	3	19
49	на самом	3	18
50	в себе	9	18
51	т п	7	18
52	о нем	2	18
53	все эти	7	18
54	уже не	2	18
55	еще не	3	18
56	но не	3	18
57	это не	7	17
58	в том	46	17
59	так и	3	17
60	а в	9	17
61	и к	5	17
62	с ним	6	17
63	так же	12	16
64	в другом	6	16
65	если бы	22	16
66	в своей	6	16
67	до конца	5	15
68	о мире	2	15
69	и наконец	2	15
70	и для	4	15
71	у него	6	15
72	так как	13	14
73	в своем	8	14
74	в конце	5	14
75	я не	9	14
76	с другим	2	14
77	как раз	14	14
78	его в	5	13
79	перед нами	12	13
80	в романе	2	13
81	и это	13	13
82	в целом	8	13
83	в мире	3	13
84	на него	3	13
85	но все	2	13
86	том что	28	12
87	в одной	2	12
88	слово в	2	12
89	даже в	2	12
90	в плане	4	12
91	ничего не	4	12
92	так что	10	12
93	к тому	18	12
94	между тем	10	12
95	что и	7	12
96	при этом	10	12
97	было бы	22	12
98	во всяком	6	12
99	так сказать	6	12
100	но это	6	12
101	и даже	4	12
102	и как	10	12
103	как в	8	12
104	в котором	7	12
105	и что	29	12
106	у меня	2	12
107	не могут	2	11
108	она не	10	11
109	дело идет	2	11
110	этого слова	5	11
111	бы и	2	11
112	рассказа в	4	11
113	бы в	3	11
114	а я	5	11
115	тем что	7	11
116	или как	2	11
117	с другой	8	11
118	их в	4	11
119	мы уже	12	11
120	как будто	13	11
121	отношение к	2	10
122	говорит он	3	10
123	что не	5	10
124	самого начала	10	10
125	как не	3	10
126	до сих	7	10
127	сих пор	6	10
128	далеко не	3	10
129	в самой	9	10
130	той же	6	10
131	с самого	10	9
132	или в	6	9
133	в них	4	9
134	другой стороны	5	9
135	хотя бы	3	9
136	друг с	2	9
137	из одного	3	9
138	что у	7	9
139	ни в	6	9
140	всяком случае	6	9
141	в той	8	9
142	но он	5	9
143	мы должны	3	8
144	но как	3	8
145	никак не	12	8
146	как к	6	8
147	одним из	2	8
148	это и	4	8
149	вот как	2	8
150	и о	6	8
151	того что	9	8
152	здесь не	3	8
153	несмотря на	7	8
154	нам кажется	2	8
155	и до	4	8
156	должна быть	5	8
157	что это	19	8
158	все время	36	8
159	и он	5	8
160	мы увидим	14	8
161	был бы	4	8
162	в результате	3	8
163	о том	17	8
164	и так	4	8
165	с другом	2	8
166	из них	10	8
167	были бы	5	7
168	его к	2	7
169	и следовательно	2	7
170	от него	2	7
171	в этих	3	7
172	но эта	3	7
173	с которым	2	7
174	в их	3	7
175	в виде	5	7
176	к своему	2	7
177	в виду	6	7
178	он в	3	7
179	к самому	4	7
180	только на	3	7
181	он с	2	7
182	себя как	3	7
183	что все	10	7
184	что они	9	7
185	и ее	4	7
186	например в	5	7
187	тот же	5	7
188	сказать что	14	7
189	кажется что	2	7
190	в жизни	6	7
191	друг другу	2	7
192	что она	34	7
193	мысли и	2	7
194	отличается от	2	7
195	т д	6	7
196	и их	2	7
197	такой же	2	7
198	во всех	4	7
199	на этот	2	7
200	автора и	2	7
201	если же	3	7
202	не было	4	7
203	уже говорили	4	7
204	он все	4	6
205	здесь с	3	6
206	идет о	8	6
207	все те	5	6
208	как он	2	6
209	а с	4	6
210	по существу	4	6
211	рассказ в	4	6
212	на его	2	6
213	и во	3	6
214	во время	4	6
215	и здесь	9	6
216	одна из	6	6
217	для этого	9	6
218	как же	2	6
219	с этим	11	6
220	можно было	7	6
221	в рассказ	2	6
222	во всем	2	6
223	кроме того	2	6
224	и вот	6	6
225	в драме	2	6
226	человек и	2	6
227	и только	8	6
228	слова как	3	6
229	в этой	20	6
230	на то	25	6
231	он может	2	6
232	в своих	6	6
233	этот вопрос	5	6
234	в которых	9	6
235	на этом	6	6
236	жизни и	6	6
237	конечно не	6	6
238	в основе	5	6
239	как на	9	6
240	не мог	4	6
241	отношения к	3	6
242	но с	2	6
243	нисколько не	3	5
244	слов в	2	5
245	и то	10	5
246	поэтому он	2	5
247	когда я	3	5
248	с таким	4	5
249	к которому	3	5
250	он как	2	5
251	бы его	2	5
252	была бы	5	5
253	со всеми	2	5
254	здесь мы	6	5
255	по своему	6	5
256	с тем	14	5
257	но так	2	5
258	тому что	10	5
259	они не	2	5
260	в общем	4	5
261	того же	4	5
262	благодаря этому	2	5
263	в чем	3	5
264	один из	7	5
265	лежит в	4	5
266	в такой	5	5
267	мы не	7	5
268	в ее	9	5
269	слов и	2	5
270	те же	2	5
271	все то	15	5
272	но при	2	5
273	в глаза	3	5
274	то есть	30	5
275	по своим	2	5
276	та же	6	5
277	в речи	3	5
278	совершенно не	8	5
279	где он	3	5
280	тому же	2	5
281	именно в	3	5
282	когда он	8	5
283	в обычном	2	5
284	не могу	3	5
285	сам по	2	5
286	в ней	23	5
287	вместе с	10	5
288	мире в	2	4
289	тому чтобы	4	4
290	конечно в	3	4
291	и прежде	2	4
292	он должен	2	4
293	а вовсе	2	4
294	и вдруг	2	4
295	из которых	6	4
296	он хочет	3	4
297	и кажется	2	4
298	смысле этого	5	4
299	каждый из	3	4
300	не то	7	4
301	заставляет его	3	4
302	мы видели	7	4
303	в эту	2	4
304	но только	10	4
305	и говорит	4	4
306	в сторону	2	4
307	и без	2	4
308	что оно	5	4
309	рассказ и	4	4
310	то это	5	4
311	здесь в	4	4
312	для автора	2	4
313	связи с	2	4
314	при чем	2	4
315	он был	3	4
316	в первом	3	4
317	во всей	3	4
318	эти слова	5	4
319	материал и	2	4
320	которую он	2	4
321	в первой	2	4
322	всего этого	3	4
323	одно и	4	4
324	даны в	3	4
325	совпадает с	2	4
326	время как	6	4
327	что с	4	4
328	характер и	2	4
329	то и	3	4
330	это в	3	4
331	в словах	2	4
332	всех этих	2	4
333	в которой	8	4
334	это было	4	4
335	с ее	5	4
336	к концу	4	4
337	только что	10	4
338	автора в	2	4
339	как если	3	4
340	что если	6	4
341	об этом	4	4
342	бы не	5	4
343	с этой	5	4
344	нами в	3	4
345	в рассказе	9	4
346	жизнь и	2	4
347	сами по	3	4
348	что такое	2	4
349	героев в	2	4
350	все что	2	4
351	еще более	2	4
352	образом и	3	4
353	и если	13	4
354	и действительно	2	4
355	дано в	4	4
356	есть конечно	3	4
357	данном случае	5	3
358	чтобы не	2	3
359	и самая	2	3
360	ни одной	2	3
361	есть только	3	3
362	которых мы	6	3
363	к чему	6	3
364	и всегда	2	3
365	это все	2	3
366	мы знаем	3	3
367	что даже	2	3
368	бы сказать	4	3
369	увидим что	11	3
370	художественного построения	2	3
371	согласиться с	4	3
372	как я	2	3
373	в повести	2	3
374	на который	2	3
375	он говорит	9	3
376	могли бы	6	3
377	может служить	8	3
378	именно как	3	3
379	что этот	5	3
380	как ты	2	3
381	что на	4	3
382	почти не	2	3
383	и та	3	3
384	между собой	2	3
385	признания и	2	3
386	всего романа	2	3
387	совсем не	3	3
388	того чтобы	21	3
389	тему о	2	3
390	между двумя	3	3
391	и по	2	3
392	же в	2	3
393	можно сказать	2	3
394	признать что	2	3
395	ее в	7	3
396	того как	4	3
397	мы видим	15	3
398	очень часто	2	3
399	с которыми	2	3
400	и мы	19	3
401	того или	2	3
402	в данном	5	3
403	дело и	3	3
404	только то	3	3
405	что так	2	3
406	из этих	6	3
407	а к	2	3
408	говорить о	3	3
409	и еще	2	3
410	то время	4	3
411	вводит в	2	3
412	по преимуществу	2	3
413	и больше	2	3
414	и уже	5	3
415	реакции на	2	3
416	который не	7	3
417	все они	3	3
418	не является	2	3
419	она в	4	3
420	и есть	3	3
421	у нас	4	3
422	себе что	2	3
423	что его	3	3
424	но они	2	3
425	мы можем	12	3
426	том и	3	3
427	не с	2	3
428	есть в	3	3
429	этими двумя	2	3
430	раз в	7	3
431	на тему	4	3
432	если мы	19	3
433	так ли	2	3
434	места в	2	3
435	но что	3	3
436	и одновременно	2	3
437	только не	3	3
438	не должна	2	3
439	автор как	3	3
440	говорит о	6	3
441	в один	4	3
442	этот второй	3	3
443	это знает	2	3
444	в таком	6	3
445	именно на	3	3
446	и эта	3	3
447	будто бы	3	3
448	своих героев	4	3
449	однако не	3	3
450	мы будем	4	3
451	от этой	2	3
452	оно является	2	3
453	материалом для	2	3
454	к рассказу	3	2
455	еще и	2	2
456	рассказа и	12	2
457	все более	4	2
458	что тогда	2	2
459	и заставляет	3	2
460	ясно и	3	2
461	из всех	3	2
462	к этим	2	2
463	указывает на	8	2
464	слова а	2	2
465	она может	4	2
466	на всю	2	2
467	этой точки	2	2
468	без всяких	3	2
469	можем сказать	2	2
470	одного и	2	2
471	к этому	5	2
472	должны были	2	2
473	он приводит	4	2
474	или же	2	2
475	должен быть	4	2
476	и эти	2	2
477	уже с	2	2
478	благодаря чему	2	2
479	и других	5	2
480	от своего	2	2
481	ни одно	2	2
482	свою очередь	3	2
483	тогда когда	2	2
484	героев или	2	2
485	рассказу и	3	2
486	своей жизни	2	2
487	мы говорили	3	2
488	с каким-то	2	2
489	одно из	4	2
490	надо было	3	2
491	над ним	2	2
492	не так	4	2
493	эти три	2	2
494	до крайности	4	2
495	от этого	4	2
496	этом рассказе	3	2
497	другом и	2	2
498	лучшем случае	2	2
499	она была	5	2
500	уже как	2	2
501	как она	8	2
502	заметить что	2	2
503	в лучшем	2	2
504	показать что	13	2
505	же самый	2	2
506	и там	2	2
507	на одну	2	2
508	мы сразу	2	2
509	при том	2	2
510	же мы	2	2
511	для чего	2	2
512	не могла	2	2
513	такое же	3	2
514	в прямом	2	2
515	отнюдь не	2	2
516	и совершенно	9	2
517	действительно не	3	2
518	что такой	2	2
519	же как	3	2
520	когда она	4	2
521	и очень	3	2
522	с теми	4	2
523	со всем	2	2
524	почти всегда	3	2
525	к его	2	2
526	автор не	2	2
527	и между	4	2
528	или не	3	2
529	плане и	2	2
530	можно найти	2	2
531	независимо от	2	2
532	ли это	3	2
533	ее на	2	2
534	бы быть	2	2
535	и этот	6	2
536	художественного произведения	2	2
537	развивается в	2	2
538	переходит к	2	2
539	целый ряд	6	2
540	одна и	2	2
541	что здесь	2	2
542	что как	4	2
543	из нее	3	2
544	эпизод с	2	2
545	в качестве	2	2
546	для того	18	2
547	ее с	5	2
548	в истории	3	2
549	и другие	3	2
550	для нас	14	2
551	отказаться от	2	2
552	заключено в	2	2
553	силы и	3	2
554	к ней	3	2
555	она и	2	2
556	с одной	7	2
557	в какой	8	2
558	сюжета и	2	2
559	иначе как	3	2
560	не имеет	8	2
561	что рассказ	2	2
562	о самом	2	2
563	не к	5	2
564	или еще	2	2
565	что для	6	2
566	мысль что	4	2
567	столь же	5	2
568	ничем не	3	2
569	как с	2	2
570	в свою	6	2
571	весь этот	3	2
572	как все	4	2
573	был не	2	2
574	в музыке	2	2
575	и она	4	2
576	много раз	2	2
577	роль в	2	2
578	материала в	3	2
579	только как	2	2
580	из этого	10	2
581	из него	4	2
582	начала и	2	2
583	не следует	3	2
584	же самое	14	2
585	быть не	2	2
586	что сам	2	2
587	что касается	2	2
588	на их	3	2
589	и тут	2	2
