N	2gram	Voloshinov	VelikijI
1	и не	42	20
2	и в	32	16
3	так как	5	9
4	то что	12	9
5	еще не	7	8
6	в истории	5	8
7	и потому	7	7
8	а не	15	7
9	не есть	6	6
10	как бы	31	5
11	но и	17	5
12	все это	4	5
13	того что	5	5
14	что все	3	4
15	и все	8	4
16	как и	19	4
17	в котором	6	4
18	потому что	2	4
19	в нем	17	4
20	в ней	5	4
21	что не	4	4
22	в его	10	4
23	говорить о	2	4
24	в этом	27	4
25	что он	5	4
26	и есть	3	4
27	так и	21	4
28	никогда не	7	3
29	превращается в	2	3
30	в жизни	2	3
31	что в	5	3
32	в том	13	3
33	и для	15	3
34	от этого	3	3
35	не имеет	6	3
36	тому что	6	3
37	но в	13	3
38	к тому	8	3
39	ни в	7	3
40	нет ничего	4	3
41	бы и	2	3
42	должно быть	4	3
43	хотя бы	8	3
44	в своей	5	3
45	во всех	13	3
46	в конце	5	3
47	жизни и	4	3
48	что и	5	3
49	не было	6	3
50	лишь в	17	3
51	и что	2	3
52	не в	13	3
53	все эти	8	3
54	что во	2	3
55	в этих	2	3
56	должна быть	6	3
57	в чем	2	3
58	тот же	4	3
59	с его	6	3
60	и то	4	2
61	они и	3	2
62	одна из	6	2
63	не так	2	2
64	но не	2	2
65	нет и	4	2
66	по которым	2	2
67	и это	6	2
68	это не	5	2
69	ее в	2	2
70	не только	18	2
71	не могут	4	2
72	является в	5	2
73	а в	5	2
74	том что	12	2
75	его к	4	2
76	и во	2	2
77	от него	4	2
78	во всяком	8	2
79	и тогда	2	2
80	уже не	2	2
81	мы это	2	2
82	нем нет	4	2
83	могут быть	4	2
84	не к	3	2
85	в духе	2	2
86	значения и	4	2
87	нет еще	2	2
88	превращаются в	2	2
89	не будет	7	2
90	для них	2	2
91	людей так	3	2
92	того чтобы	9	2
93	тем что	3	2
94	мы не	6	2
95	конечно не	9	2
96	что было	2	2
97	можно было	2	2
98	только в	14	2
99	в форме	3	2
100	его и	3	2
101	прежде всего	19	2
102	его не	2	2
103	между тем	8	2
104	для него	18	2
105	не с	2	2
