N	3gram	Bakhtin_Fr	StatiiOP
1	в том что	4	47
2	о том что	4	29
3	в этом отношении	3	24
4	до сих пор	3	19
5	с точки зрения	4	14
6	с другой стороны	2	13
7	в то же	12	9
8	в самом деле	3	9
9	то же время	12	9
10	можно было бы	2	9
11	дело в том	2	9
12	в конце концов	5	7
13	по отношению к	3	6
14	так и в	3	6
15	в одном из	2	6
16	за то что	4	5
17	нужно сказать что	3	5
18	после того как	6	5
19	в свое время	2	5
20	но и в	2	5
21	то что в	2	5
22	в другом месте	3	4
23	в связи с	2	4
24	с одной стороны	3	4
25	прежде всего в	4	3
26	в той же	5	3
27	таким образом в	2	3
28	в том числе	4	3
29	но все это	2	3
30	более или менее	3	3
31	о том как	3	3
32	в значительной степени	3	3
33	что у него	2	3
34	мы имеем в	2	2
35	как мы видели	4	2
36	это прежде всего	3	2
37	сам по себе	2	2
38	но в то	3	2
39	а также и	3	2
40	в чем же	2	2
41	как и в	2	2
42	не только с	2	2
43	до нас не	4	2
44	том числе и	2	2
45	но и с	2	2
46	в свою очередь	3	2
