N	2gram	Medvedev_V	FransuaR
1	и в	26	367
2	в этом	29	112
3	и не	20	101
4	таким образом	32	100
5	и его	6	99
6	в его	15	98
7	прежде всего	13	92
8	не только	26	87
9	но и	10	84
10	как бы	5	82
11	все эти	8	79
12	вовсе не	3	77
13	в романе	4	77
14	как и	7	76
15	в нем	7	75
16	но в	2	75
17	и др	10	72
18	в том	15	71
19	то же	10	66
20	так и	6	65
21	в этой	4	65
22	в них	5	65
23	во время	4	63
24	в то	6	63
25	все это	13	62
26	во всех	7	62
27	же время	5	55
28	что в	11	52
29	в своем	8	51
30	только в	8	48
31	том что	8	45
32	в году	7	44
33	то что	7	41
34	жизни и	3	40
35	у него	6	40
36	в самом	4	38
37	точки зрения	3	37
38	в ней	2	37
39	с его	4	36
40	может быть	23	35
41	о том	10	35
42	до нас	2	34
43	сказать что	5	34
44	и даже	2	34
45	в себе	6	34
46	в конце	3	32
47	он не	2	32
48	мы видели	3	32
49	для него	9	32
50	в своей	4	31
51	так же	3	30
52	никогда не	5	30
53	и потому	2	30
54	один из	6	30
55	не может	17	29
56	еще не	2	29
57	его в	3	29
58	не в	6	29
59	в одном	5	29
60	в особенности	2	29
61	связи с	5	29
62	что он	4	29
63	из них	11	28
64	всех этих	3	28
65	также и	2	28
66	и к	3	28
67	роль в	4	27
68	в образах	2	27
69	сих пор	2	27
70	до сих	2	27
71	и их	3	27
72	том числе	2	27
73	все же	6	27
74	все они	2	26
75	образов в	2	26
76	и образы	3	25
77	в области	2	25
78	мира и	3	25
79	того чтобы	3	24
80	в ее	4	24
81	и от	3	24
82	в частности	12	24
83	например в	3	24
84	но не	2	24
85	и у	2	24
86	он и	2	24
87	так сказать	2	23
88	и для	2	23
89	это не	7	23
90	в их	5	23
91	еще и	2	23
92	даже в	5	22
93	а в	3	22
94	что и	3	22
95	вместе с	8	22
96	не было	7	22
97	именно в	3	21
98	в своих	2	21
99	в качестве	12	21
100	и наконец	2	21
101	одним из	5	21
102	и как	3	21
103	образов и	4	20
104	в образе	2	20
105	как раз	4	20
106	одной из	2	20
107	этом отношении	14	20
108	в виду	4	20
109	в значительной	3	20
110	в связи	4	20
111	в форме	3	19
112	их в	7	19
113	хотя и	2	19
114	к этому	9	19
115	было бы	8	19
116	далеко не	3	19
117	с другой	11	19
118	на этом	2	18
119	это и	6	18
120	перед нами	5	18
121	одна из	4	18
122	в плане	5	17
123	числе и	2	17
124	для того	3	17
125	того что	3	17
126	можно было	2	17
127	в результате	5	17
128	связана с	2	17
129	меньшей степени	2	17
130	большей или	3	17
131	и образов	5	17
132	а не	7	17
133	в большей	2	17
134	между тем	6	16
135	или меньшей	3	16
136	не подлежит	2	16
137	между ними	3	16
138	в другом	2	16
139	они не	2	16
140	с одной	2	16
141	как на	3	15
142	а затем	2	15
143	в которой	2	15
144	из этих	7	15
145	по существу	4	14
146	и он	3	14
147	и по	3	14
148	в чем	2	14
149	в котором	3	14
150	образом в	3	14
151	как он	3	13
152	что все	4	13
153	или в	3	13
154	с этим	3	13
155	бы в	3	13
156	в жизни	2	13
157	и есть	5	13
158	и сам	2	13
159	в книге	2	13
160	в известной	2	13
161	о чем	2	13
162	в основном	7	13
163	они и	2	13
164	одной стороны	2	13
165	этот процесс	3	13
166	подчеркнуть что	2	13
167	лишь в	2	12
168	только для	2	12
169	у нас	3	12
170	не могут	10	12
171	начиная с	2	12
172	образы и	5	12
173	во всей	2	12
174	другом месте	2	12
175	в пределах	5	12
176	и ее	4	12
177	главным образом	7	12
178	он в	2	12
179	можно сказать	4	12
180	другой стороны	8	12
181	об этом	9	12
182	в творчестве	3	12
183	так например	2	11
184	ни с	2	11
185	в общем	2	11
186	он говорит	5	11
187	того как	2	11
188	формы и	2	11
189	в системе	2	11
190	отметить что	2	11
191	момент в	3	11
192	между собою	2	11
193	в течение	2	11
194	с ними	4	11
195	что они	3	11
196	или иной	2	10
197	в процессе	17	10
198	человека и	3	10
199	конце концов	2	10
200	к тому	5	10
201	ту же	2	10
202	что для	4	10
203	по отношению	7	10
204	даже и	3	10
205	в целом	5	10
206	да и	2	10
207	все его	2	10
208	что не	3	9
209	как известно	2	9
210	говорит о	7	9
211	относится к	2	9
212	но как	3	9
213	вплоть до	2	9
214	как это	12	9
215	некоторые из	3	9
216	на время	2	9
217	отношению к	7	9
218	том же	6	9
219	в которых	3	9
220	же в	7	9
221	чем же	4	9
222	с тем	4	8
223	дель арте	2	8
224	если бы	3	8
225	после того	2	8
226	по поводу	4	8
227	др в	3	8
228	одном из	4	8
229	и при	5	8
230	более или	6	8
231	понятно что	2	8
232	видели что	3	8
233	но с	2	8
234	или менее	6	8
235	не менее	2	8
236	как о	3	8
237	к этим	2	7
238	связанное с	2	7
239	а как	2	7
240	в целях	2	7
241	никак не	3	7
242	себе и	2	7
243	искусства и	2	7
244	что у	3	7
245	должен быть	4	7
246	тому как	3	7
247	его не	3	7
248	только с	2	7
249	по этому	10	7
250	во всяком	2	7
251	к ним	2	7
252	вот как	4	7
253	подобно тому	3	7
254	из которых	2	7
255	том как	3	7
256	на него	2	7
257	значительной мере	3	7
258	всех его	2	7
259	от них	2	7
260	в различных	2	7
261	нет и	3	7
262	же и	3	7
263	у них	2	6
264	мы знаем	3	6
265	в искусстве	6	6
266	смысле слова	2	6
267	вот это	2	6
268	пародия на	2	6
269	нет ни	2	6
270	как у	2	6
271	он может	2	6
272	ее в	4	6
273	эти явления	2	6
274	лица и	2	6
275	могут быть	8	6
276	для них	2	6
277	было в	2	6
278	что она	2	6
279	в противоположность	3	6
280	к его	2	6
281	мы наблюдаем	2	6
