N	3gram	Bakhtin_Fr	KulturaY
1	для того чтобы	2	38
2	с точки зрения	6	36
3	в том что	6	33
4	во всяком случае	2	19
5	до сих пор	7	14
6	по отношению к	2	13
7	в этом отношении	5	11
8	не может быть	5	11
9	о том что	3	10
10	на самом деле	2	8
11	не только в	5	8
12	с одной стороны	2	7
13	в то же	5	6
14	той или иной	5	6
15	то же время	5	6
16	в свое время	5	6
17	в отличие от	4	6
18	на этот вопрос	2	5
19	но все же	3	5
20	так и в	3	5
21	как мы видели	2	5
22	и вовсе не	2	4
23	сих пор еще	4	4
24	в большей или	7	3
25	не могут быть	2	3
26	при этом что	2	3
27	или меньшей степени	7	3
28	как раз и	2	3
29	большей или меньшей	7	3
30	и прежде всего	4	2
31	так и не	3	2
32	в применении к	3	2
33	вовсе не в	2	2
34	в своей статье	2	2
35	в большинстве случаев	2	2
36	в другом месте	2	2
37	в собственном смысле	3	2
38	как и всякая	2	2
39	в том числе	10	2
40	в узком смысле	2	2
41	в известной мере	6	2
42	и в других	2	2
43	и в том	2	2
44	можно сказать что	3	2
45	но даже и	2	2
46	и в то	2	2
47	в той или	5	2
48	по сравнению с	2	2
