N	2gram	Losev_Prob	VrazhdaK
1	в году	9	18
2	не только	28	9
3	и что	9	8
4	в этом	31	8
5	и в	48	8
6	что в	12	7
7	но и	21	7
8	и все	12	7
9	то что	26	7
10	но в	17	6
11	как и	10	6
12	в котором	5	6
13	в начале	6	6
14	в нем	8	6
15	и с	10	6
16	все же	12	6
17	в романе	2	6
18	и даже	24	6
19	и не	29	5
20	не было	4	5
21	об этом	11	5
22	в россии	2	5
23	то же	6	5
24	в то	6	5
25	у него	13	5
26	между тем	2	5
27	для нас	14	4
28	уже в	4	4
29	несмотря на	7	4
30	у достоевского	4	4
31	в своих	3	4
32	это не	8	4
33	в виду	3	4
34	все это	8	4
35	при этом	6	4
36	о том	17	4
37	в ней	4	4
38	как бы	10	4
39	так же	7	4
40	что он	12	4
41	с ним	4	4
42	может быть	11	4
43	человека в	3	3
44	и у	8	3
45	в том	25	3
46	в чем	3	3
47	его в	9	3
48	далеко не	6	3
49	что у	6	3
50	и уже	2	3
51	и во	2	3
52	в своем	16	3
53	том что	29	3
54	в его	19	3
55	в связи	11	3
56	и о	9	3
57	раз в	2	3
58	и его	11	3
59	в те	2	3
60	и как	10	3
61	в этот	4	3
62	он был	5	3
63	в русской	4	3
64	он не	4	3
65	о себе	3	3
66	связи с	11	3
67	к этому	2	3
68	но он	5	3
69	на то	2	3
70	я не	3	3
71	русской литературе	3	3
72	наряду с	2	3
73	в конце	10	3
74	с его	3	3
75	тем что	2	3
76	никогда не	7	2
77	же не	4	2
78	и то	6	2
79	в них	5	2
80	уже не	12	2
81	а н	3	2
82	к ним	3	2
83	на кавказ	2	2
84	в той	5	2
85	для него	2	2
86	при помощи	12	2
87	и это	3	2
88	с точки	13	2
89	а в	8	2
90	а также	8	2
91	он сам	3	2
92	в этой	14	2
93	том же	2	2
94	его с	2	2
95	в нашей	3	2
96	в своей	29	2
97	как раз	7	2
98	он пишет	2	2
99	же в	4	2
100	но как	3	2
101	и он	5	2
102	в себе	7	2
103	еще не	4	2
104	и а	4	2
105	точки зрения	17	2
106	о чем	2	2
107	тем более	2	2
108	это в	2	2
109	таким образом	20	2
110	россии в	2	2
111	и ее	2	2
112	в период	4	2
113	в свою	4	2
114	по мнению	3	2
115	на это	2	2
116	не может	6	2
117	из них	4	2
118	в это	3	2
119	не менее	8	2
120	его на	3	2
121	там же	2	2
122	но это	7	2
123	об этой	2	2
124	с которым	2	2
125	отнюдь не	14	2
126	а с	4	2
127	не мог	5	2
128	вместе с	15	2
129	в известном	2	2
130	он тоже	2	2
131	отношение к	3	2
