N	2gram	Medvedev_V	KFilosof
1	может быть	23	45
2	в его	15	42
3	в нем	7	32
4	не может	17	29
5	и не	20	28
6	и в	26	28
7	по отношению	7	26
8	в котором	3	24
9	отношению к	7	22
10	в себе	6	21
11	и его	6	18
12	только в	8	18
13	в своем	8	17
14	в ее	4	17
15	а не	7	17
16	в этом	29	15
17	не в	6	13
18	для него	9	13
19	точки зрения	3	13
20	но не	2	12
21	в своей	4	11
22	во всех	7	11
23	из себя	2	11
24	все эти	8	11
25	это не	7	10
26	в целом	5	10
27	и для	2	10
28	все это	13	10
29	и есть	5	10
30	в их	5	9
31	но и	10	9
32	единого и	2	9
33	как бы	5	9
34	если бы	3	8
35	не было	7	8
36	лишь в	2	8
37	в единстве	4	8
38	жизни и	3	8
39	было бы	8	8
40	должен быть	4	7
41	то что	7	7
42	отнюдь не	4	7
43	что и	3	7
44	момент в	3	7
45	вовсе не	3	7
46	на основе	5	7
47	должно быть	2	6
48	в том	15	6
49	и их	3	6
50	он не	2	6
51	никогда не	5	5
52	от его	2	5
53	его в	3	5
54	все же	6	5
55	не только	26	5
56	мы имеем	3	5
57	но как	3	5
58	хотя бы	20	5
59	то же	10	5
60	еще не	2	5
61	а в	3	5
62	но в	2	5
63	как и	7	5
64	именно в	3	5
65	в одном	5	5
66	том что	8	4
67	что в	11	4
68	не по	2	4
69	и весь	2	4
70	прежде всего	13	4
71	в чем	2	4
72	к ним	2	4
73	могло бы	2	4
74	в своих	2	4
75	мира и	3	4
76	с ними	4	4
77	познания и	4	4
78	во всей	2	4
79	должна быть	2	4
80	между тем	6	4
81	того или	2	3
82	в то	6	3
83	человека и	3	3
84	всех этих	3	3
85	в каждом	2	3
86	в другом	2	3
87	от того	2	3
88	это и	6	3
89	бы не	2	3
90	для того	3	3
91	в виду	4	3
92	себе и	2	3
93	нет и	3	3
94	и этот	2	3
95	не менее	2	3
96	только с	2	3
97	о том	10	3
98	в конкретной	2	3
99	в ней	2	3
100	стороны в	2	3
101	могут быть	8	3
102	но для	2	3
103	тогда когда	2	3
104	действительной жизни	3	3
105	что не	3	3
106	того что	3	3
107	и может	2	3
108	не быть	2	3
109	из его	4	3
110	на язык	2	3
111	бы и	6	3
112	не о	2	2
113	чтобы не	2	2
114	своем содержании	3	2
115	ее как	2	2
116	или иной	2	2
117	и потому	2	2
118	ли это	2	2
119	говорить о	2	2
120	и ее	4	2
121	автора как	2	2
122	к этому	9	2
123	и как	3	2
124	а как	2	2
125	а значит	3	2
126	все они	2	2
127	это только	4	2
128	в области	2	2
129	что он	4	2
130	из которых	2	2
131	всех его	2	2
132	а для	2	2
133	так и	6	2
134	познания в	4	2
135	всех других	3	2
136	в жизни	2	2
137	с тем	4	2
138	в сознании	4	2
139	тому что	7	2
140	можно ли	2	2
141	она не	3	2
142	он может	2	2
143	ни одна	2	2
144	в процессе	17	2
145	он и	2	2
146	один из	6	2
147	по себе	2	2
148	и просто	2	2
149	может не	2	2
150	того чтобы	3	2
151	сводится к	3	2
152	и мир	3	2
153	не следует	8	2
154	в качестве	12	2
155	же время	5	2
156	в этой	4	2
157	с его	4	2
