N	2gram	Propp_Russ	Poddanst
1	не только	28	17
2	и в	59	14
3	и не	6	12
4	в области	3	11
5	в этом	18	10
6	н а	5	10
7	но в	5	9
8	то же	6	9
9	в том	33	9
10	в качестве	5	9
11	в пределах	2	8
12	в то	3	7
13	только в	4	7
14	но и	20	6
15	было бы	3	6
16	в ней	3	6
17	а н	21	5
18	не в	2	5
19	и о	4	5
20	в которых	8	5
21	и пр	4	5
22	может быть	14	5
23	что в	35	4
24	и потому	3	4
25	в своем	3	4
26	том что	33	4
27	а также	6	4
28	мы должны	3	4
29	в котором	2	4
30	и к	3	4
31	как бы	18	4
32	то что	10	4
33	не может	6	4
34	а в	16	4
35	же в	5	4
36	и как	2	3
37	с тем	14	3
38	но не	7	3
39	это не	14	3
40	т е	41	3
41	с точки	3	3
42	в россии	4	3
43	мы не	11	3
44	для того	6	3
45	точки зрения	3	3
46	потому что	15	3
47	в нем	3	3
48	между тем	9	3
49	могут быть	3	3
50	прежде всего	2	3
51	и т	13	3
52	хотя и	3	3
53	тот же	2	3
54	с ними	6	3
55	для нас	12	2
56	должно быть	2	2
57	переход от	3	2
58	и и	2	2
59	в них	10	2
60	в жизни	2	2
61	если в	3	2
62	одна из	12	2
63	которое в	2	2
64	в е	2	2
65	для них	5	2
66	не к	3	2
67	в эту	3	2
68	в русском	4	2
69	и это	2	2
70	и других	9	2
71	в его	3	2
72	с этим	4	2
73	в xix	13	2
74	не менее	3	2
75	говорить о	2	2
76	церкви и	3	2
77	именно в	3	2
78	в виде	10	2
79	все это	12	2
80	в частности	2	2
81	как на	2	2
82	а не	3	2
83	во всей	2	2
84	не было	3	2
85	например в	3	2
86	и с	12	2
87	не будем	5	2
88	во всех	6	2
89	ii в	2	2
90	между прочим	2	2
91	есть в	2	2
92	того что	6	2
93	думать что	3	2
94	в силу	2	2
95	главным образом	5	2
96	из них	12	2
97	не столько	3	2
98	отнюдь не	3	2
