N	3gram	Tiupa_Teor	Vladivir
1	в том что	10	29
2	тем не менее	3	18
3	в связи с	3	12
4	более или менее	6	11
5	в то же	8	10
6	с точки зрения	3	10
7	не может быть	5	10
8	то же время	8	9
9	в этом смысле	3	9
10	том что он	2	6
11	в данном случае	5	6
12	в отличие от	7	6
13	с другой стороны	6	6
14	так или иначе	5	6
15	бы то ни	2	5
16	и в то	2	5
17	можно сказать что	3	4
18	с одной стороны	3	4
19	для того чтобы	5	4
20	в том числе	3	3
21	в самом деле	2	3
22	так и не	5	3
23	не только не	2	3
24	а с другой	2	3
25	к тому что	2	3
26	в свою очередь	3	3
27	и то же	2	2
28	может быть и	2	2
29	но в то	2	2
30	так и его	2	2
31	одно и то	2	2
32	в таком случае	2	2
33	то ни было	2	2
