N	3gram	Losev_Prob	Morfolog
1	и т д	12	60
2	в этих случаях	3	14
3	в этом случае	6	10
4	не может быть	5	9
5	в связи с	7	9
6	с точки зрения	3	6
7	тем не менее	25	6
8	мы увидим ниже	2	6
9	подобно тому как	2	5
10	а также и	2	5
11	с другой стороны	7	5
12	как мы увидим	2	5
13	связи с этим	2	5
14	на самом деле	6	4
15	в том что	7	4
16	не может считаться	2	4
17	о том что	16	3
18	бы то ни	2	3
19	то время как	2	3
20	в том случае	2	3
21	в настоящее время	17	3
22	в то время	2	3
23	для того чтобы	9	3
24	на первый взгляд	2	3
25	на то что	12	3
26	в таких случаях	2	2
27	вопрос о том	2	2
28	и в других	3	2
29	во всяком случае	11	2
30	то что в	4	2
31	не что иное	5	2
32	в данном случае	10	2
33	что иное как	5	2
34	более или менее	7	2
35	мы не будем	2	2
36	в этом отношении	2	2
37	тем и другим	2	2
38	друг к другу	2	2
39	и тем не	8	2
40	точно так же	7	2
41	о том как	2	2
42	может быть и	5	2
43	хотя и не	2	2
44	можно было бы	4	2
45	с одной стороны	4	2
