N	2gram	Propp_Russ	Freidism
1	и не	6	34
2	таким образом	10	34
3	точки зрения	3	31
4	не может	6	30
5	и пр	4	29
6	может быть	14	28
7	и в	59	28
8	в этом	18	28
9	прежде всего	2	26
10	в его	3	25
11	и его	2	22
12	мы можем	2	20
13	как бы	18	19
14	как мы	11	18
15	то что	10	17
16	так как	25	15
17	с точки	3	15
18	все эти	5	15
19	так и	8	14
20	с ним	2	14
21	во всех	6	13
22	и все	4	13
23	но в	5	13
24	как и	19	13
25	и потому	3	12
26	том что	33	12
27	то же	6	12
28	что он	2	12
29	мы видели	3	12
30	и наконец	2	12
31	все это	12	12
32	его в	9	11
33	только в	4	11
34	и с	12	10
35	не только	28	10
36	но и	20	10
37	не в	2	10
38	в том	33	10
39	мы уже	2	10
40	все что	2	10
41	один из	10	10
42	тот же	2	10
43	мы должны	3	9
44	могут быть	3	9
45	к этому	7	9
46	и др	4	9
47	к нему	3	9
48	уже не	9	9
49	и на	14	9
50	мы не	11	9
51	а не	3	9
52	все же	7	8
53	с этим	4	8
54	было бы	3	8
55	еще не	7	8
56	с другими	3	8
57	а в	16	8
58	в ней	3	8
59	на этом	6	8
60	при этом	11	8
61	до конца	5	7
62	в жизни	2	7
63	в то	3	7
64	что в	35	7
65	и ее	3	7
66	и для	3	7
67	быть и	3	7
68	не является	2	7
69	того что	6	7
70	и у	5	7
71	но не	7	7
72	что все	2	7
73	об этом	11	7
74	в нем	3	7
75	и к	3	7
76	из них	12	7
77	в этой	4	7
78	одно из	6	6
79	на самом	3	6
80	для этого	6	6
81	мы имеем	7	6
82	из этих	6	6
83	всех этих	2	6
84	не менее	3	6
85	для того	6	6
86	в таком	5	6
87	и о	4	6
88	в пределах	2	6
89	она не	4	6
90	к тому	4	6
91	не можем	5	6
92	в свою	3	6
93	большинстве случаев	2	6
94	и что	8	6
95	во время	23	6
96	что это	4	5
97	ничего не	4	5
98	в заключение	2	5
99	что она	4	5
100	в которой	3	5
101	и по	10	5
102	на первый	3	5
103	и те	3	5
104	в этих	3	5
105	как это	11	5
106	увидим что	2	5
107	что и	8	5
108	ее в	7	5
109	тому что	4	5
110	в более	2	5
111	далеко не	5	5
112	в своих	3	5
113	в большинстве	2	5
114	это не	14	5
115	отнюдь не	3	5
116	того чтобы	6	5
117	не было	3	5
118	с ними	6	5
119	и до	3	5
120	говорить о	2	5
121	в период	2	5
122	вместе с	16	5
123	данном случае	8	4
124	одна из	12	4
