N	3gram	Losev_Dial	KulturaY
1	и т д	38	42
2	с точки зрения	25	36
3	в том что	12	33
4	в самом деле	6	29
5	во всяком случае	3	19
6	тем не менее	10	19
7	с другой стороны	3	17
8	в зависимости от	3	16
9	по крайней мере	10	13
10	в связи с	3	12
11	в этом отношении	2	11
12	не может быть	12	11
13	о том что	6	10
14	того или иного	3	9
15	не в том	5	8
16	т е как	2	8
17	само по себе	8	8
18	с одной стороны	3	7
19	и тем не	2	7
20	в то же	3	6
21	той или иной	2	6
22	к тому же	2	6
23	только тогда когда	6	6
24	этой точки зрения	4	6
25	то же время	3	6
26	не говоря уже	6	6
27	т е в	4	5
28	то или иное	4	5
29	говоря уже о	6	5
30	в данном случае	3	5
31	и в этом	4	5
32	с этой точки	4	5
33	и пр и	2	5
34	не потому что	2	5
35	тот или иной	2	4
36	точно так же	3	4
37	сам по себе	6	4
38	т д и	8	4
39	так же как	2	4
40	т е о	3	4
41	к тому что	2	4
42	на то что	3	4
43	так или иначе	2	4
44	д и т	7	4
45	от того что	4	3
46	в таком случае	11	3
47	в лучшем случае	2	3
48	все это не	2	3
49	не могут быть	3	3
50	в то время	6	3
51	а не просто	6	3
52	о том как	2	3
53	как раз и	3	3
54	тех или иных	2	3
55	уже о том	3	3
56	точки зрения в	2	3
57	сама по себе	11	3
58	и прежде всего	6	2
59	бы то ни	2	2
60	в силу этого	3	2
61	и то же	2	2
62	не что иное	6	2
63	и той же	4	2
64	не должно быть	2	2
65	вовсе не в	3	2
66	ровно ничего не	8	2
67	из того что	2	2
68	и с этой	3	2
69	потому что она	2	2
70	в каком смысле	5	2
71	ни в каком	8	2
72	что же такое	3	2
73	но что такое	4	2
74	хотя и не	2	2
75	то что мы	3	2
76	что с точки	2	2
77	иметь в виду	3	2
78	и тех же	2	2
79	одних и тех	2	2
80	выйти за пределы	2	2
81	одной и той	4	2
82	что иное как	6	2
83	т е не	4	2
84	в вопросе о	2	2
85	но они не	2	2
86	что она есть	5	2
87	т д не	3	2
88	имеется в виду	5	2
89	но даже и	3	2
90	сами по себе	3	2
91	и в то	2	2
92	в данный момент	2	2
