N	2gram	Propp_Isto	Problemy
1	и в	44	106
2	и не	19	90
3	как бы	4	70
4	может быть	31	66
5	т е	27	59
6	в его	16	56
7	в этом	20	52
8	в нем	10	51
9	не может	10	49
10	что он	29	44
11	как и	12	44
12	но и	16	40
13	точки зрения	3	40
14	для него	2	39
15	и его	15	39
16	а не	5	38
17	не только	17	36
18	то же	9	36
19	в пределах	5	35
20	то что	16	33
21	но в	7	33
22	прежде всего	7	32
23	в то	5	29
24	все это	4	29
25	он не	5	29
26	и все	4	28
27	не в	11	27
28	в одном	2	27
29	к себе	3	26
30	к нему	5	25
31	и т	39	25
32	и с	8	25
33	самом деле	2	24
34	не как	5	24
35	героя и	3	24
36	вовсе не	6	24
37	и на	11	23
38	таким образом	21	22
39	по себе	2	22
40	как мы	9	21
41	там где	11	21
42	никогда не	5	20
43	все же	17	20
44	потому что	18	20
45	только в	8	20
46	что в	18	19
47	с его	3	19
48	отношению к	2	19
49	по отношению	2	18
50	о нем	3	18
51	все эти	11	18
52	уже не	14	18
53	еще не	16	18
54	но не	8	18
55	это не	8	17
56	в том	13	17
57	так и	9	17
58	а в	9	17
59	и к	3	17
60	с ним	9	17
61	так же	14	16
62	в другом	2	16
63	если бы	5	16
64	в своей	3	16
65	и наконец	2	15
66	и для	3	15
67	у него	7	15
68	так как	19	14
69	в своем	3	14
70	лишь в	2	14
71	и сам	2	14
72	а как	3	14
73	его в	17	13
74	перед нами	2	13
75	героя в	11	13
76	и это	5	13
77	в целом	4	13
78	с другими	4	13
79	на него	10	13
80	но все	8	13
81	том что	12	12
82	в одной	5	12
83	даже в	4	12
84	ничего не	4	12
85	так что	2	12
86	что и	11	12
87	при этом	4	12
88	было бы	2	12
89	но это	10	12
90	и даже	4	12
91	и как	5	12
92	как в	11	12
93	себе и	2	12
94	в котором	2	12
95	и что	13	12
96	не могут	2	11
97	в форме	5	11
98	сливается с	2	11
99	она не	7	11
100	тем что	12	11
101	или как	3	11
102	с другой	11	11
103	их в	7	11
104	входит в	5	11
105	мы уже	6	11
106	как будто	2	11
107	отношение к	3	10
108	в него	5	10
109	говорит он	2	10
110	что не	3	10
111	до сих	7	10
112	сих пор	7	10
113	приводит к	2	10
114	той же	2	10
115	и потому	2	9
116	или в	7	9
117	могут быть	9	9
118	в них	3	9
119	другой стороны	10	9
120	хотя бы	2	9
121	друг с	2	9
122	человека в	5	9
123	что у	6	9
124	ни в	2	9
125	но он	2	9
126	мы должны	7	8
127	но как	2	8
128	уже в	4	8
129	одним из	4	8
130	это и	3	8
131	и о	2	8
132	того что	3	8
133	здесь не	3	8
134	несмотря на	3	8
135	с ними	4	8
136	должна быть	3	8
137	из его	2	8
138	что это	8	8
139	и он	9	8
140	знает и	2	8
141	мы увидим	6	8
142	о том	11	8
143	и у	3	8
144	с другом	2	8
145	из них	4	8
146	вопрос о	5	7
147	его к	3	7
148	от него	2	7
149	в этих	7	7
150	но эта	2	7
151	с которым	3	7
152	в виде	13	7
153	к своему	2	7
154	от себя	2	7
155	и др	6	7
156	его и	2	7
157	он в	3	7
158	все его	2	7
159	только на	2	7
160	мира и	2	7
161	между ними	2	7
162	из своего	4	7
163	что все	4	7
164	что они	3	7
165	например в	11	7
166	сказать что	2	7
167	его с	3	7
168	что она	3	7
169	т д	36	7
170	такой же	3	7
171	во всех	3	7
172	на этот	2	7
173	не было	2	7
174	в себя	3	7
175	героя но	2	6
176	как он	6	6
177	на вопрос	3	6
178	а с	2	6
179	по существу	2	6
180	не менее	6	6
181	но эти	4	6
182	и этим	6	6
183	себя в	6	6
184	во время	12	6
185	о герое	2	6
186	и здесь	12	6
187	на них	2	6
188	одна из	6	6
189	для этого	3	6
190	с этим	7	6
191	за ним	4	6
192	во всем	4	6
193	превращается в	10	6
194	и вот	4	6
195	него в	2	6
196	но для	4	6
197	друг друга	5	6
198	и пр	6	6
199	в этой	5	6
200	на то	3	6
201	он может	4	6
202	в своих	4	6
203	этот вопрос	2	6
204	в другой	5	6
205	в которых	4	6
206	на этом	5	6
207	жизни и	4	6
208	в основе	3	6
209	как на	3	6
210	не мог	3	6
211	и то	5	5
212	он это	2	5
213	есть и	3	5
214	здесь мы	7	5
215	с тем	9	5
216	но так	3	5
217	они не	5	5
218	того же	3	5
219	на себя	4	5
220	однако в	2	5
221	один из	6	5
222	меня не	2	5
223	мы не	6	5
224	в ее	4	5
225	в последнем	2	5
226	но при	2	5
227	ним и	2	5
228	та же	2	5
229	совершенно не	2	5
230	с человеком	2	5
231	человека с	2	5
232	подобно тому	2	5
233	когда он	7	5
234	это он	2	5
235	как можно	2	5
236	тому как	2	5
237	же что	2	5
238	с собой	6	5
239	в ней	8	5
240	вместе с	26	5
241	тем не	6	4
242	под влиянием	2	4
243	он должен	2	4
244	в одно	2	4
245	из которых	7	4
246	в формах	2	4
247	мы видели	9	4
248	им и	2	4
249	от них	2	4
250	даже и	2	4
251	по мере	4	4
252	что оно	4	4
253	то это	8	4
254	на котором	3	4
255	они уже	2	4
256	находится в	2	4
257	связи с	10	4
258	он был	2	4
259	не знал	2	4
260	уже и	3	4
261	одно и	2	4
262	нет в	2	4
263	герой не	3	4
264	время как	3	4
265	то в	2	4
266	что с	2	4
267	него и	6	4
268	особенно в	2	4
269	всех этих	2	4
270	в которой	4	4
271	это было	2	4
272	его за	2	4
273	в свете	5	4
274	только что	3	4
275	с миром	2	4
276	об этом	6	4
277	с этой	4	4
278	то он	2	4
279	также и	2	4
280	все что	5	4
281	со своим	2	4
282	если не	4	4
283	еще в	2	4
284	и действительно	6	4
285	таким же	5	4
286	здесь нет	3	4
287	за собой	5	4
