N	2gram	Losev_Prob	Sovremen
1	не может	14	17
2	точки зрения	14	12
3	может быть	39	12
4	таким образом	13	11
5	мы не	15	9
6	не можем	5	7
7	и в	62	7
8	в этом	25	7
9	и не	56	6
10	ничего не	4	6
11	как и	15	6
12	в результате	8	6
13	каждый раз	7	6
14	мы можем	11	6
15	что же	9	5
16	с точки	9	5
17	все эти	14	5
18	и наконец	2	5
19	в условиях	7	5
20	прежде всего	13	5
21	вопрос о	2	4
22	мы видели	2	4
23	зависимости от	3	4
24	это не	10	4
25	не только	33	4
26	в том	35	4
27	в зависимости	3	4
28	мы должны	13	4
29	как бы	11	4
30	их в	2	4
31	так как	14	4
32	же это	2	4
33	если мы	24	4
34	в целом	9	4
35	жизни и	7	4
36	вместе с	3	4
37	а в	9	4
38	из них	4	4
39	для нас	23	3
40	этим мы	2	3
41	он может	2	3
42	когда мы	24	3
43	и потому	13	3
44	но в	17	3
45	при этом	9	3
46	состоит из	6	3
47	не в	21	3
48	все же	10	3
49	он в	3	3
50	как он	2	3
51	было бы	14	3
52	в области	2	3
53	уже в	5	3
54	в себе	23	3
55	еще не	12	3
56	у нас	17	3
57	и все	13	3
58	все это	9	3
59	в нем	13	3
60	в наших	3	3
61	между собой	3	3
62	а не	28	3
63	и к	9	3
64	что она	5	3
65	в этой	10	3
66	при таком	2	3
67	то же	23	3
68	в одном	4	3
69	отличается от	8	3
70	можем назвать	2	3
71	отнюдь не	16	3
72	в конце	7	3
73	ясно что	11	3
74	может иметь	4	2
75	но все	5	2
76	только так	2	2
77	на этот	4	2
78	и по	3	2
79	не знаем	2	2
80	же самое	20	2
81	всяком случае	8	2
82	что все	2	2
83	значение в	3	2
84	быть и	3	2
85	не менее	24	2
86	той же	2	2
87	дает нам	2	2
88	в его	10	2
89	с этим	5	2
90	говорить об	2	2
91	и что	9	2
92	то и	9	2
93	во всяком	14	2
94	и во	5	2
95	что такое	4	2
96	такого рода	14	2
97	что при	5	2
98	тот или	4	2
99	ее на	2	2
100	в самом	4	2
101	она может	2	2
102	и есть	9	2
103	в виде	20	2
104	еще более	3	2
105	что в	11	2
106	времени и	4	2
107	в настоящее	4	2
108	совершенно не	7	2
109	все те	2	2
110	ни одна	2	2
111	в таком	11	2
112	в которой	3	2
113	самом деле	6	2
114	уже не	12	2
115	свою собственную	3	2
116	по мнению	2	2
117	то ни	7	2
118	если же	4	2
119	в нашем	13	2
120	не будем	4	2
121	говорим о	5	2
122	для его	4	2
123	могут быть	2	2
124	в отличие	2	2
125	отличие от	3	2
126	представлять себе	2	2
127	как угодно	2	2
128	это за	3	2
129	настоящее время	4	2
130	с одной	3	2
131	как мы	12	2
132	говорить о	7	2
133	что это	3	2
134	и будет	2	2
135	или иной	20	2
136	тем не	23	2
137	на котором	2	2
138	из которых	6	2
139	и даже	21	2
140	и именно	2	2
141	тем же	2	2
